sq_thr,sq_lb,vol_x,mode,n,avg_ret,win_rate,median_ret,avg_hold
12,5,1.5,any,182,0.08,33.0,-1.11,5.1
12,5,1.5,shenglongquan,66,0.45,36.4,-0.87,5.7
12,5,1.5,open_breakout,167,-0.09,31.7,-1.23,5.0
12,5,2.0,any,144,-0.04,34.0,-0.95,5.1
12,5,2.0,shenglongquan,66,0.45,36.4,-0.87,5.7
12,5,2.0,open_breakout,109,-0.62,29.4,-1.38,4.5
12,10,1.0,any,181,-0.26,33.7,-1.11,5.3
12,10,1.0,shenglongquan,57,0.05,35.1,-0.93,5.7
12,10,1.0,open_breakout,176,-0.39,33.5,-1.12,5.2
12,10,1.5,any,152,-0.31,31.6,-1.17,5.2
12,10,1.5,shenglongquan,57,0.05,35.1,-0.93,5.7
12,10,1.5,open_breakout,140,-0.48,30.7,-1.3,5.1
12,10,2.0,any,124,-0.35,31.5,-1.17,5.2
12,10,2.0,shenglongquan,57,0.05,35.1,-0.93,5.7
12,10,2.0,open_breakout,94,-0.92,26.6,-1.65,4.6
12,15,1.0,any,153,-0.28,33.3,-1.22,5.4
12,15,1.0,shenglongquan,50,-0.06,36.0,-1.22,5.8
12,15,1.0,open_breakout,148,-0.44,33.1,-1.23,5.4
12,15,1.5,any,129,-0.27,31.8,-1.24,5.4
12,15,1.5,shenglongquan,50,-0.06,36.0,-1.22,5.8
12,15,1.5,open_breakout,119,-0.46,30.3,-1.38,5.5
12,15,2.0,any,107,-0.42,31.8,-1.25,5.3
12,15,2.0,shenglongquan,50,-0.06,36.0,-1.22,5.8
12,15,2.0,open_breakout,81,-1.12,25.9,-2.13,4.8
15,5,1.0,any,283,0.23,37.8,-0.91,5.0
15,5,1.0,shenglongquan,74,0.77,39.2,-0.69,5.9
15,5,1.0,open_breakout,278,0.15,37.8,-0.95,5.0
15,5,1.5,any,230,0.27,36.1,-1.02,4.8
15,5,1.5,shenglongquan,74,0.77,39.2,-0.69,5.9
