ticker,signal_date,entry_date,entry_price,exit_date,exit_price,hold_days,ret_pct
2352,2026-05-05,2026-05-06,25.05,2026-05-08,25.1,2,0.2
2352,2026-05-22,2026-05-25,29.3,2026-06-12,30.9,14,5.46
2353,2026-05-22,2026-05-25,31.8,2026-06-12,38.0,14,19.5
2355,2026-05-14,2026-05-15,56.0,2026-06-12,62.8,20,12.14
2356,2026-05-05,2026-05-06,47.3,2026-05-11,50.3,3,6.34
2356,2026-05-12,2026-05-13,48.65,2026-05-18,52.5,3,7.91
2356,2026-05-19,2026-05-20,52.6,2026-06-12,68.5,17,30.23
2357,2026-05-15,2026-05-18,637.0,2026-05-20,645.0,2,1.26
2360,2026-05-15,2026-05-18,2125.0,2026-05-20,2090.0,2,-1.65
2362,2026-05-08,2026-05-11,39.95,2026-05-13,39.65,2,-0.75
2363,2026-05-05,2026-05-06,57.5,2026-05-08,58.0,2,0.87
2363,2026-05-19,2026-05-20,60.8,2026-06-12,58.0,17,-4.61
2365,2026-05-22,2026-05-25,39.35,2026-06-12,33.95,14,-13.72
2375,2026-05-22,2026-05-25,142.0,2026-06-12,173.0,14,21.83
2376,2026-05-06,2026-05-07,311.0,2026-05-13,317.5,4,2.09
2376,2026-05-14,2026-05-15,330.0,2026-05-19,320.0,2,-3.03
2379,2026-05-11,2026-05-12,581.0,2026-05-14,559.0,2,-3.79
2382,2026-05-06,2026-05-07,349.0,2026-05-11,350.0,2,0.29
2385,2026-05-05,2026-05-06,131.5,2026-05-14,129.0,6,-1.9
2387,2026-05-05,2026-05-06,41.8,2026-05-08,41.65,2,-0.36
2388,2026-05-22,2026-05-25,90.3,2026-06-12,67.9,14,-24.81
2390,2026-05-22,2026-05-25,10.65,2026-06-12,12.4,14,16.43
2392,2026-05-11,2026-05-12,39.15,2026-05-14,34.4,2,-12.13
2392,2026-05-22,2026-05-25,38.65,2026-06-12,39.1,14,1.16
2393,2026-05-06,2026-05-07,73.1,2026-05-11,74.5,2,1.92
2395,2026-05-04,2026-05-05,391.0,2026-05-14,461.0,7,17.9
2399,2026-05-22,2026-05-25,47.1,2026-06-12,47.6,14,1.06
2401,2026-05-05,2026-05-06,25.65,2026-05-08,25.55,2,-0.39
2401,2026-05-19,2026-05-20,25.15,2026-06-12,28.35,17,12.72
2404,2026-05-19,2026-05-20,1030.0,2026-06-12,1280.0,17,24.27
2405,2026-05-05,2026-05-06,15.7,2026-05-08,15.35,2,-2.23
2405,2026-05-22,2026-05-25,16.9,2026-06-12,18.95,14,12.13
2406,2026-05-04,2026-05-05,32.9,2026-05-07,33.2,2,0.91
2406,2026-05-08,2026-05-11,33.0,2026-05-13,34.1,2,3.33
2408,2026-05-08,2026-05-11,300.5,2026-05-18,300.0,5,-0.17
2409,2026-05-22,2026-05-25,24.35,2026-06-12,24.6,14,1.03
2412,2026-05-14,2026-05-15,137.5,2026-05-19,137.0,2,-0.36
2420,2026-05-07,2026-05-08,55.0,2026-05-14,56.3,4,2.36
2421,2026-05-22,2026-05-25,163.0,2026-06-12,146.5,14,-10.12
2425,2026-05-08,2026-05-11,32.85,2026-05-18,34.3,5,4.41
2425,2026-05-22,2026-05-25,35.0,2026-06-12,40.05,14,14.43
2426,2026-05-18,2026-05-19,65.0,2026-06-12,67.5,18,3.85
2428,2026-05-15,2026-05-18,203.0,2026-05-20,215.0,2,5.91
2428,2026-05-22,2026-05-25,252.0,2026-06-12,294.5,14,16.87
2436,2026-05-22,2026-05-25,80.1,2026-06-12,66.5,14,-16.98
2451,2026-05-15,2026-05-18,328.0,2026-05-20,312.0,2,-4.88
2454,2026-05-05,2026-05-06,3470.0,2026-05-08,3320.0,2,-4.32
2457,2026-05-22,2026-05-25,27.15,2026-06-12,29.65,14,9.21
2458,2026-05-22,2026-05-25,167.0,2026-06-12,150.0,14,-10.18
2461,2026-05-22,2026-05-25,16.8,2026-06-12,19.15,14,13.99
2467,2026-05-15,2026-05-18,579.0,2026-05-20,578.0,2,-0.17
2476,2026-05-22,2026-05-25,123.0,2026-06-12,123.0,14,0.0
2478,2026-05-15,2026-05-18,83.7,2026-06-12,189.0,19,125.81
2480,2026-05-08,2026-05-11,150.0,2026-05-13,148.0,2,-1.33
2480,2026-05-14,2026-05-15,151.0,2026-05-19,149.0,2,-1.32
2480,2026-05-22,2026-05-25,150.0,2026-06-12,159.0,14,6.0
2481,2026-05-15,2026-05-18,115.5,2026-06-12,143.0,19,23.81
2483,2026-05-11,2026-05-12,23.95,2026-05-14,23.6,2,-1.46
2488,2026-05-22,2026-05-25,54.5,2026-06-12,52.5,14,-3.67
2489,2026-05-22,2026-05-25,56.5,2026-06-12,42.8,14,-24.25
2492,2026-05-05,2026-05-06,153.0,2026-05-11,158.5,3,3.59
2492,2026-05-12,2026-05-13,184.5,2026-05-18,210.0,3,13.82
2492,2026-05-19,2026-05-20,224.0,2026-06-12,457.5,17,104.24
2495,2026-05-22,2026-05-25,45.05,2026-06-12,50.6,14,12.32
2520,2026-05-15,2026-05-18,30.85,2026-05-20,30.5,2,-1.13
2535,2026-05-08,2026-05-11,72.7,2026-05-13,74.7,2,2.75
2542,2026-05-15,2026-05-18,43.6,2026-05-20,43.5,2,-0.23
2545,2026-05-04,2026-05-05,37.8,2026-05-07,38.75,2,2.51
2597,2026-05-15,2026-05-18,162.0,2026-05-20,162.0,2,0.0
2597,2026-05-22,2026-05-25,165.0,2026-06-12,200.0,14,21.21
2603,2026-05-08,2026-05-11,213.5,2026-05-13,215.0,2,0.7
2603,2026-05-14,2026-05-15,208.0,2026-05-19,197.5,2,-5.05
2603,2026-05-22,2026-05-25,220.0,2026-06-12,227.0,14,3.18
2606,2026-05-05,2026-05-06,64.6,2026-05-08,65.3,2,1.08
2606,2026-05-11,2026-05-12,65.3,2026-05-14,64.9,2,-0.61
2606,2026-05-22,2026-05-25,65.9,2026-06-12,67.9,14,3.03
2609,2026-05-22,2026-05-25,53.0,2026-06-12,51.8,14,-2.26
2612,2026-05-06,2026-05-07,58.5,2026-05-11,57.8,2,-1.2
2615,2026-05-11,2026-05-12,78.4,2026-05-14,74.3,2,-5.23
2615,2026-05-22,2026-05-25,84.4,2026-06-12,84.5,14,0.12
2618,2026-05-22,2026-05-25,36.0,2026-06-12,38.1,14,5.83
2634,2026-05-07,2026-05-08,49.5,2026-05-12,47.2,2,-4.65
2636,2026-05-07,2026-05-08,68.2,2026-05-12,68.4,2,0.29
2637,2026-05-04,2026-05-05,73.4,2026-05-07,77.0,2,4.9
2637,2026-05-08,2026-05-11,75.0,2026-05-13,73.5,2,-2.0
2641,2026-05-07,2026-05-08,18.55,2026-05-12,18.25,2,-1.62
2645,2026-05-07,2026-05-08,160.0,2026-05-12,158.0,2,-1.25
2646,2026-05-22,2026-05-25,20.45,2026-06-12,20.4,14,-0.24
2704,2026-05-11,2026-05-12,43.05,2026-05-14,43.25,2,0.46
2727,2026-05-15,2026-05-18,235.5,2026-05-20,234.0,2,-0.64
2816,2026-05-19,2026-05-20,30.95,2026-06-12,33.0,17,6.62
2849,2026-05-06,2026-05-07,13.6,2026-05-11,14.1,2,3.68
2850,2026-05-19,2026-05-20,136.5,2026-06-12,152.5,17,11.72
2851,2026-05-08,2026-05-11,31.4,2026-05-15,33.35,4,6.21
2851,2026-05-18,2026-05-19,34.45,2026-06-12,36.55,18,6.1
2852,2026-05-08,2026-05-11,26.15,2026-05-13,26.3,2,0.57
2852,2026-05-14,2026-05-15,26.6,2026-06-12,27.65,20,3.95
2855,2026-05-04,2026-05-05,37.6,2026-05-08,40.35,3,7.31
2867,2026-05-07,2026-05-08,7.81,2026-05-12,7.79,2,-0.26
2881,2026-05-08,2026-05-11,96.7,2026-05-13,93.5,2,-3.31
2881,2026-05-14,2026-05-15,96.5,2026-05-19,95.7,2,-0.83
2882,2026-05-05,2026-05-06,77.7,2026-05-08,79.5,2,2.32
2882,2026-05-11,2026-05-12,78.7,2026-05-14,76.9,2,-2.29
2882,2026-05-22,2026-05-25,79.9,2026-06-12,102.0,14,27.66
2883,2026-05-08,2026-05-11,22.9,2026-05-13,21.5,2,-6.11
2886,2026-05-08,2026-05-11,40.2,2026-05-13,39.35,2,-2.11
2886,2026-05-19,2026-05-20,41.0,2026-06-12,43.45,17,5.98
2891,2026-05-08,2026-05-11,56.0,2026-05-13,53.5,2,-4.46
2891,2026-05-22,2026-05-25,58.2,2026-06-12,67.8,14,16.49
2892,2026-05-08,2026-05-11,29.5,2026-05-13,29.35,2,-0.51
2892,2026-05-14,2026-05-15,29.55,2026-05-19,28.75,2,-2.71
2897,2026-05-11,2026-05-12,10.25,2026-05-14,10.1,2,-1.46
2905,2026-05-22,2026-05-25,13.7,2026-06-12,14.7,14,7.3
2908,2026-05-08,2026-05-11,20.95,2026-05-13,20.5,2,-2.15
2908,2026-05-22,2026-05-25,21.15,2026-06-12,21.2,14,0.24
2910,2026-05-08,2026-05-11,22.85,2026-05-13,22.15,2,-3.06
2911,2026-05-15,2026-05-18,5.94,2026-06-12,8.92,19,50.17
2912,2026-05-08,2026-05-11,231.5,2026-05-13,225.0,2,-2.81
3003,2026-05-05,2026-05-06,56.0,2026-05-08,55.7,2,-0.54
