ticker,trade_date,market_regime,open,high,low,close,volume,avg_volume_20,volume_ratio,close_pos,prior_high_60,breakout_next_not_low_open,breakout_next_low_open,ret_10d_net,ret_20d_net,overhead_supply_layer,breakout_strength_pct,pre_rank_score,intraday_rows,intraday_strong_attack,below_open_after_1130,intraday_attack_failure,intraday_close_pos,intraday_return_pct,scanner_score,rank_in_date
4919,2026-05-11,bull,163.0,184.0,156.0,184.0,50067134,20545022.45,2.436947154564925,1.0,179.0,False,False,,,0.0,2.7932960893854775,83.0,266.0,True,False,False,1.0,12.883,97.0,1
5483,2026-05-11,bull,151.0,163.5,150.0,163.5,33877465,20242501.55,1.6735809512634074,1.0,158.0,False,False,,,0.0,3.4810126582278444,83.0,263.0,True,False,False,1.0,8.278,97.0,2
2492,2026-05-11,bull,158.5,171.5,151.5,171.5,30310516,16602134.2,1.825699975368227,1.0,164.5,False,False,,,0.0,4.255319148936176,83.0,266.0,True,False,False,1.0,8.202,97.0,3
6173,2026-05-11,bull,120.0,134.0,115.5,134.0,29078982,13253082.7,2.194129672185627,1.0,122.0,False,False,,,0.0,9.836065573770503,83.0,252.0,True,False,False,1.0,11.667,97.0,4
2855,2026-05-11,bull,40.7,44.0,40.7,43.7,20966805,8046751.9,2.6056233944531084,0.9090909090909098,40.55,False,False,,,0.0,7.768187422934658,83.0,262.0,True,False,False,0.909,7.371,97.0,5
6016,2026-05-11,bull,23.6,24.05,23.6,24.05,15507962,8147639.3,1.9033687463312225,1.0,22.25,False,False,,,0.0,8.089887640449444,83.0,204.0,True,False,False,1.0,1.907,97.0,6
1809,2026-05-11,bull,36.25,39.6,35.2,39.6,12762844,7980764.8,1.5992006179658371,1.0,37.4,False,False,,,0.0,5.882352941176472,83.0,218.0,True,False,False,1.0,9.241,97.0,7
8213,2026-05-11,bull,39.0,41.8,39.0,41.8,6809218,1128814.7,6.032184024534763,1.0,39.8,False,False,,,0.0,5.025125628140703,83.0,235.0,True,False,False,1.0,7.179,97.0,8
1560,2026-05-11,bull,584.0,629.0,581.0,629.0,4553067,2865296.3,1.589038802025466,1.0,617.0,False,False,,,0.0,1.944894651539708,83.0,123.0,True,False,False,1.0,7.705,97.0,9
3356,2026-05-11,bull,54.8,59.9,54.3,59.7,3170822,946863.85,3.3487623379010616,0.9642857142857151,57.6,False,False,,,0.0,3.645833333333326,83.0,229.0,True,False,False,0.964,8.942,97.0,10
5464,2026-05-11,bull,52.6,57.6,50.5,57.6,2779145,1350077.65,2.058507523622808,1.0,52.4,False,False,,,0.0,9.92366412213741,83.0,54.0,True,False,False,1.0,9.506,97.0,11
2472,2026-05-11,bull,219.0,228.0,203.5,225.0,16591811,5446341.15,3.0464141968043994,0.8775510204081632,221.5,False,False,,,0.0,1.5801354401805856,83.0,264.0,True,False,False,0.878,2.74,93.0,12
4749,2026-05-11,bull,1145.0,1190.0,1075.0,1175.0,9112557,3323602.9,2.741770685059879,0.8695652173913043,1085.0,False,False,,,0.0,8.294930875576046,83.0,259.0,True,False,False,0.87,2.62,93.0,13
5425,2026-05-11,bull,77.4,80.3,72.3,80.3,37393342,10238542.35,3.652213442277748,1.0,74.9,False,False,,,0.0,7.20961281708945,83.0,265.0,True,True,False,1.0,3.747,87.0,14
1721,2026-05-11,bull,28.9,31.35,27.1,31.35,12326720,6537694.75,1.8854841762075234,1.0,30.0,False,False,,,0.0,4.500000000000015,83.0,247.0,True,True,False,1.0,8.478,87.0,15
3003,2026-05-11,bull,56.4,59.3,56.0,59.1,2446931,904915.95,2.7040422925466174,0.9393939393939407,57.1,False,False,,,0.0,3.5026269702276736,83.0,,,,,,,83.0,16
6138,2026-05-11,bull,265.0,286.0,254.0,285.0,2370897,887879.75,2.670290655913709,0.96875,274.0,False,False,,,0.0,4.014598540145986,83.0,,,,,,,83.0,17
6432,2026-05-11,bull,44.35,48.6,42.7,48.6,3042570,1458460.3,2.086152087924505,1.0,47.9,False,False,,,0.0,1.4613778705636848,77.0,,,,,,,77.0,18
2302,2026-05-11,bull,20.0,21.5,19.95,21.5,4993779,1420629.4,3.515187704829986,1.0,20.65,False,False,,,3.0,4.1162227602905554,75.0,,,,,,,75.0,19
5009,2026-05-11,bull,38.55,40.15,38.5,40.15,18608056,4089940.95,4.549712630936639,1.0,37.15,False,False,,,4.0,8.075370121130554,67.0,,,,,,,67.0,20
4966,2026-05-11,bull,700.0,735.0,695.0,735.0,7155634,2628082.35,2.7227586685021494,1.0,669.0,False,False,,,13.0,9.865470852017943,67.0,,,,,,,67.0,21
6206,2026-05-11,bull,128.0,130.5,127.0,130.5,5058880,1404370.9,3.602239265994475,1.0,123.5,False,False,,,4.0,5.668016194331993,67.0,,,,,,,67.0,22
3032,2026-05-11,bull,71.0,77.7,70.7,77.7,4040512,836824.05,4.828388954643452,1.0,76.3,False,False,,,32.0,1.8348623853211121,67.0,,,,,,,67.0,23
8114,2026-05-11,bull,209.5,218.0,208.0,218.0,3561304,851885.95,4.180493879491733,1.0,200.5,False,False,,,24.0,8.728179551122196,67.0,,,,,,,67.0,24
3450,2026-05-08,bull,376.0,414.5,375.0,410.0,40990138,23974464.45,1.7097415496178061,0.8860759493670886,397.0,True,False,,,0.0,3.2745591939546514,93.0,264.0,True,False,False,0.886,9.043,100.0,1
6278,2026-05-08,bull,181.5,201.0,176.5,201.0,30433241,13494564.35,2.255222192482264,1.0,191.0,True,False,,,0.0,5.235602094240832,93.0,255.0,True,False,False,1.0,10.744,100.0,2
3702,2026-05-08,bull,105.5,113.5,105.5,113.5,25183767,15715765.65,1.6024524392166664,1.0,105.0,True,False,,,0.0,8.095238095238088,93.0,253.0,True,False,False,1.0,7.583,100.0,3
4722,2026-05-08,bull,216.0,236.5,213.0,236.5,10764769,3088406.15,3.4855418870345147,1.0,223.5,True,False,,,0.0,5.8165548098433995,93.0,223.0,True,False,False,1.0,9.491,100.0,4
2379,2026-05-08,bull,555.0,592.0,551.0,592.0,9246415,3798451.25,2.434259226046405,1.0,575.0,True,False,,,1.0,2.9565217391304355,93.0,252.0,True,False,False,1.0,6.667,100.0,5
6669,2026-05-08,bull,4920.0,5250.0,4890.0,5200.0,4060772,2599602.2,1.5620743819958298,0.8611111111111112,5060.0,True,False,,,0.0,2.7667984189723382,93.0,262.0,True,False,False,0.861,5.691,100.0,6
2472,2026-05-08,bull,198.5,221.5,197.5,221.5,10762892,5250610.1,2.0498364561482103,1.0,205.0,False,True,,,0.0,8.048780487804885,83.0,222.0,True,False,False,1.0,11.587,97.0,7
3709,2026-05-08,bull,85.3,92.9,83.6,92.9,9430972,5244895.95,1.7981237549621931,1.0,90.5,False,True,,,0.0,2.6519337016574607,83.0,262.0,True,False,False,1.0,8.91,97.0,8
3034,2026-05-08,bull,464.0,498.0,455.5,498.0,20155564,4555479.45,4.424466013121846,1.0,453.0,True,False,,,18.0,9.933774834437092,77.0,253.0,True,False,False,1.0,7.328,91.0,9
6695,2026-05-08,bull,48.95,52.9,48.55,52.9,7375991,2166214.35,3.4050143745008428,1.0,51.5,True,False,,,10.0,2.7184466019417375,77.0,254.0,True,False,False,1.0,8.069,91.0,10
8926,2026-05-08,bull,48.0,49.2,47.8,49.1,6852068,1792790.35,3.8220129866272425,0.9285714285714278,47.8,True,False,,,5.0,2.7196652719665426,77.0,262.0,True,False,False,0.929,2.292,91.0,11
6834,2026-05-08,bull,48.0,48.1,45.8,48.1,5906614,1169710.4,5.049637927473331,1.0,43.75,False,True,,,0.0,9.942857142857143,83.0,158.0,False,False,False,1.0,0.208,87.0,12
4966,2026-05-08,bull,610.0,669.0,605.0,669.0,5861432,2386682.6,2.455890867097284,1.0,660.0,True,False,,,18.0,1.3636363636363669,71.0,172.0,True,False,False,1.0,9.672,85.0,13
3026,2026-05-08,bull,313.5,330.0,297.0,330.0,22732968,9937681.7,2.2875524379091354,1.0,300.0,False,True,,,0.0,10.000000000000009,83.0,239.0,False,False,True,1.0,5.263,77.0,14
6532,2026-05-08,bull,112.0,114.0,109.0,114.0,5313911,2722827.25,1.951615182344014,1.0,111.5,True,False,,,0.0,2.2421524663677195,93.0,212.0,False,True,True,1.0,1.786,77.0,15
6182,2026-05-07,bull,51.5,55.6,51.0,55.6,69286091,42486862.45,1.630765064884192,1.0,53.0,True,False,,,0.0,4.9056603773584895,93.0,263.0,True,False,False,1.0,7.961,100.0,1
2301,2026-05-07,bull,188.0,203.5,185.5,203.5,53993413,33240442.15,1.624328965190976,1.0,200.0,True,False,,,0.0,1.750000000000007,93.0,264.0,True,False,False,1.0,8.245,100.0,2
3090,2026-05-07,bull,107.5,116.0,105.5,116.0,18920314,7014137.1,2.6974542599117433,1.0,114.5,True,False,,,0.0,1.3100436681222627,87.0,256.0,True,False,False,1.0,7.907,100.0,3
6016,2026-05-07,bull,20.9,22.1,20.6,21.9,15943211,7350296.45,2.1690568684478024,0.8666666666666648,20.6,True,False,,,0.0,6.31067961165046,93.0,257.0,True,False,False,0.867,4.785,100.0,4
5864,2026-05-07,bull,34.25,34.3,33.1,34.3,10211512,3551726.1,2.8750843146378884,1.0,31.2,True,False,,,0.0,9.935897435897424,93.0,175.0,True,False,False,1.0,0.146,100.0,5
8042,2026-05-07,bull,79.4,85.0,77.3,85.0,10045137,4578865.3,2.1938048712636293,1.0,77.8,True,False,,,0.0,9.254498714652959,93.0,188.0,True,False,False,1.0,7.053,100.0,6
3094,2026-05-07,bull,32.85,33.35,32.0,33.35,7117486,1699446.25,4.188120689312769,1.0,30.35,True,False,,,0.0,9.8846787479407,93.0,151.0,True,False,False,1.0,1.522,100.0,7
6526,2026-05-07,bull,687.0,720.0,671.0,720.0,6365852,1763687.5,3.609399057372692,1.0,655.0,True,False,,,0.0,9.92366412213741,93.0,177.0,True,False,False,1.0,4.803,100.0,8
8016,2026-05-07,bull,244.0,265.5,242.0,265.5,5281178,1533486.85,3.4439017197962927,1.0,248.5,True,False,,,0.0,6.841046277665996,93.0,249.0,True,False,False,1.0,8.811,100.0,9
2070,2026-05-07,bull,68.5,72.6,67.3,72.6,4388262,1318395.2,3.328487543037171,1.0,66.0,True,False,,,0.0,9.999999999999986,93.0,220.0,True,False,False,1.0,5.985,100.0,10
3122,2026-05-07,bull,37.5,39.9,37.5,39.9,3205589,840727.55,3.812874931956256,1.0,36.3,True,False,,,0.0,9.917355371900838,93.0,138.0,True,False,False,1.0,6.4,100.0,11
8227,2026-05-07,bull,200.0,204.0,199.5,204.0,2892255,1814086.55,1.5943313178745524,1.0,190.5,True,False,,,1.0,7.086614173228356,93.0,101.0,True,False,False,1.0,2.0,100.0,12
3526,2026-05-07,bull,367.5,377.5,355.0,377.5,2659780,1317087.85,2.019440085184902,1.0,371.5,True,False,,,0.0,1.6150740242261152,93.0,161.0,True,False,False,1.0,2.721,100.0,13
6834,2026-05-07,bull,40.9,43.75,40.2,43.75,2483119,1068282.3,2.3244033903772436,1.0,40.95,True,False,,,0.0,6.8376068376068355,93.0,120.0,True,False,False,1.0,6.968,100.0,14
8150,2026-05-07,bull,90.0,98.1,84.5,98.1,80749867,36968867.8,2.18426670345582,1.0,92.5,True,False,,,0.0,6.054054054054059,93.0,260.0,True,False,True,1.0,9.0,97.0,15
1785,2026-05-07,bull,179.0,185.0,167.5,185.0,98221825,24423958.95,4.021535787915333,1.0,180.0,False,True,,,0.0,2.777777777777768,83.0,,,,,,,83.0,16
4919,2026-05-07,bull,162.0,177.0,151.5,177.0,49800900,16949575.6,2.9381797618578718,1.0,172.0,False,True,,,0.0,2.9069767441860517,83.0,,,,,,,83.0,17
4540,2026-05-07,bull,72.9,75.7,71.0,75.7,22444945,10883464.0,2.0622979044171967,1.0,73.0,False,True,,,0.0,3.698630136986303,83.0,,,,,,,83.0,18
3162,2026-05-07,bull,88.6,97.2,84.6,95.9,20302387,8280378.2,2.45186711399245,0.8968253968253971,91.3,False,True,,,0.0,5.038335158817087,83.0,,,,,,,83.0,19
2342,2026-05-07,bull,41.75,45.95,40.6,45.95,16079768,4663387.05,3.4480878013331533,1.0,43.6,False,True,,,0.0,5.389908256880727,83.0,,,,,,,83.0,20
3529,2026-05-07,bull,4335.0,4785.0,4245.0,4705.0,1712961,977912.2,1.7516511195994897,0.8518518518518519,4570.0,False,True,,,0.0,2.9540481400437635,83.0,,,,,,,83.0,21
3141,2026-05-07,bull,52.2,56.1,51.5,56.1,3253113,908218.55,3.58186143632499,1.0,53.1,True,False,,,11.0,5.649717514124286,77.0,,,,,,,77.0,22
3033,2026-05-06,bull,40.8,42.4,40.45,42.4,51739018,6376285.35,8.114288360698914,1.0,38.75,True,False,,,0.0,9.419354838709681,93.0,266.0,True,False,False,1.0,3.922,100.0,1
6274,2026-05-06,bull,1275.0,1340.0,1160.0,1315.0,16724084,7946371.75,2.104618878420834,0.8611111111111112,1220.0,True,False,,,0.0,7.786885245901631,93.0,261.0,True,False,False,0.861,3.137,100.0,2
3532,2026-05-06,bull,242.0,250.5,214.0,250.5,16611741,3894870.55,4.265030323023188,1.0,228.0,True,False,,,0.0,9.868421052631572,93.0,232.0,True,False,False,1.0,3.512,100.0,3
6108,2026-05-06,bull,20.2,22.0,19.8,22.0,10594363,2022921.0,5.237161016174136,1.0,21.25,True,False,,,0.0,3.529411764705892,93.0,227.0,True,False,False,1.0,8.911,100.0,4
8215,2026-05-06,bull,30.95,31.2,29.95,31.2,8642517,4466290.0,1.9350550456866884,1.0,29.25,True,False,,,0.0,6.666666666666665,93.0,211.0,True,False,False,1.0,0.808,100.0,5
3094,2026-05-06,bull,28.3,30.35,28.15,30.35,7112616,1354871.0,5.249662883034621,1.0,29.0,True,False,,,0.0,4.655172413793118,93.0,214.0,True,False,False,1.0,7.244,100.0,6
6526,2026-05-06,bull,642.0,655.0,640.0,655.0,5119621,1520180.75,3.3677712337825616,1.0,623.0,True,False,,,0.0,5.136436597110761,93.0,147.0,True,False,False,1.0,2.025,100.0,7
4556,2026-05-06,bull,41.3,43.25,39.6,43.25,2340212,871532.05,2.6851703273562917,1.0,41.3,True,False,,,0.0,4.72154963680389,93.0,124.0,True,False,False,1.0,4.722,100.0,8
8042,2026-05-06,bull,75.0,77.8,71.5,77.3,25650434,3328348.0,7.706656275125077,0.9206349206349206,70.8,True,False,,,0.0,9.180790960451969,93.0,260.0,True,False,True,0.921,3.067,97.0,9
6488,2026-05-06,bull,660.0,732.0,629.0,721.0,28039698,9220510.4,3.041013651478556,0.8932038834951457,666.0,False,True,,,0.0,8.258258258258255,83.0,264.0,True,False,False,0.893,9.242,93.0,10
2354,2026-05-06,bull,62.0,64.3,60.2,64.3,83280910,8325082.2,10.003614138488626,1.0,60.7,True,False,,,33.0,5.930807248764403,77.0,266.0,True,False,False,1.0,3.71,91.0,11
3023,2026-05-06,bull,296.5,306.0,295.0,305.5,5173612,2132762.9,2.425779255631275,0.9545454545454546,302.0,True,False,,,0.0,1.1589403973509826,87.0,249.0,True,False,True,0.955,3.035,91.0,12
3706,2026-05-06,bull,85.3,88.3,83.6,87.8,36666496,11332006.85,3.235657768773763,0.8936170212765958,86.2,True,False,,,33.0,1.8561484918793392,77.0,266.0,True,False,False,0.894,2.931,87.0,13
6173,2026-05-06,bull,94.0,101.0,90.3,101.0,36342289,10639197.3,3.4158863657881406,1.0,95.0,True,False,,,0.0,6.315789473684208,93.0,263.0,False,False,True,1.0,7.447,87.0,14
6831,2026-05-06,bull,535.0,569.0,490.0,561.0,3268307,1618382.45,2.0194898925158267,0.8987341772151899,555.0,True,False,,,0.0,1.08108108108107,87.0,211.0,True,True,False,0.899,4.86,87.0,15
