date,minute,stock_id,open,high,low,close,volume
2025-08-15,09:00:00,1717,35.5,35.75,35.25,35.65,5694
2025-08-15,09:01:00,1717,35.65,35.7,35.0,35.1,3659
2025-08-15,09:02:00,1717,35.1,35.15,34.5,34.75,1554
2025-08-15,09:03:00,1717,34.7,35.15,34.55,34.8,2233
2025-08-15,09:04:00,1717,34.8,34.9,34.55,34.7,924
2025-08-15,09:05:00,1717,34.7,34.75,34.5,34.55,787
2025-08-15,09:06:00,1717,34.55,34.65,34.4,34.5,1029
2025-08-15,09:07:00,1717,34.6,35.5,34.5,35.35,1135
2025-08-15,09:08:00,1717,35.35,35.7,35.2,35.6,1298
2025-08-15,09:09:00,1717,35.6,36.05,35.5,36.05,2460
2025-08-15,09:10:00,1717,36.0,36.15,35.95,36.0,1552
2025-08-15,09:11:00,1717,36.0,36.1,35.9,36.05,889
2025-08-15,09:12:00,1717,36.05,36.5,36.0,36.35,2744
2025-08-15,09:13:00,1717,36.35,36.5,36.2,36.35,1458
2025-08-15,09:14:00,1717,36.3,36.4,36.2,36.3,987
2025-08-15,09:15:00,1717,36.25,36.6,36.25,36.55,1654
2025-08-15,09:16:00,1717,36.55,36.85,36.55,36.85,2177
2025-08-15,09:17:00,1717,36.85,36.9,36.6,36.7,1557
2025-08-15,09:18:00,1717,36.7,36.7,36.1,36.25,1588
2025-08-15,09:19:00,1717,36.25,36.25,35.85,36.0,1439
2025-08-15,09:20:00,1717,36.0,36.0,35.8,35.95,755
2025-08-15,09:21:00,1717,35.95,36.15,35.95,36.15,391
2025-08-15,09:22:00,1717,36.2,36.3,36.1,36.3,759
2025-08-15,09:23:00,1717,36.3,36.6,36.2,36.55,827
2025-08-15,09:24:00,1717,36.6,36.6,36.3,36.3,303
2025-08-15,09:25:00,1717,36.35,36.45,36.3,36.4,361
2025-08-15,09:26:00,1717,36.4,36.7,36.4,36.6,1025
2025-08-15,09:27:00,1717,36.7,36.7,36.55,36.6,621
2025-08-15,09:28:00,1717,36.6,36.9,36.5,36.85,1357
2025-08-15,09:29:00,1717,36.85,37.0,36.8,36.95,1347
2025-08-15,09:30:00,1717,37.0,37.1,36.75,37.1,2056
2025-08-15,09:31:00,1717,37.05,37.2,36.8,36.9,1202
2025-08-15,09:32:00,1717,36.9,37.1,36.85,37.1,711
2025-08-15,09:33:00,1717,37.1,37.1,36.75,36.8,645
2025-08-15,09:34:00,1717,36.8,36.8,36.5,36.55,466
2025-08-15,09:35:00,1717,36.55,36.65,36.5,36.65,271
2025-08-15,09:36:00,1717,36.7,36.7,36.5,36.5,412
2025-08-15,09:37:00,1717,36.5,36.55,36.2,36.25,883
2025-08-15,09:38:00,1717,36.25,36.55,36.25,36.55,452
2025-08-15,09:39:00,1717,36.55,36.6,36.55,36.6,292
2025-08-15,09:40:00,1717,36.6,36.75,36.55,36.75,415
2025-08-15,09:41:00,1717,36.75,36.75,36.65,36.75,267
2025-08-15,09:42:00,1717,36.75,36.9,36.6,36.9,701
2025-08-15,09:43:00,1717,36.85,36.85,36.6,36.7,277
2025-08-15,09:44:00,1717,36.75,36.75,36.6,36.7,110
2025-08-15,09:45:00,1717,36.65,36.65,36.45,36.45,305
2025-08-15,09:46:00,1717,36.45,36.55,36.45,36.5,129
2025-08-15,09:47:00,1717,36.45,36.5,36.4,36.45,157
2025-08-15,09:48:00,1717,36.4,36.65,36.2,36.6,746
2025-08-15,09:49:00,1717,36.6,36.75,36.55,36.7,251
2025-08-15,09:50:00,1717,36.75,36.9,36.7,36.8,519
2025-08-15,09:51:00,1717,36.75,36.8,36.65,36.7,118
2025-08-15,09:52:00,1717,36.7,36.7,36.55,36.65,185
2025-08-15,09:53:00,1717,36.65,36.7,36.6,36.7,73
2025-08-15,09:54:00,1717,36.7,36.7,36.6,36.6,68
2025-08-15,09:55:00,1717,36.55,36.75,36.5,36.75,196
2025-08-15,09:56:00,1717,36.75,36.9,36.6,36.85,397
2025-08-15,09:57:00,1717,36.9,37.2,36.8,37.15,1521
2025-08-15,09:58:00,1717,37.15,37.35,37.1,37.15,1180
2025-08-15,09:59:00,1717,37.15,37.3,36.75,36.9,610
2025-08-15,10:00:00,1717,36.9,37.0,36.85,36.95,222
2025-08-15,10:01:00,1717,36.95,37.1,36.9,37.0,294
2025-08-15,10:02:00,1717,37.0,37.05,36.9,37.0,252
2025-08-15,10:03:00,1717,37.0,37.05,36.9,36.9,251
2025-08-15,10:04:00,1717,36.9,36.95,36.75,36.75,215
2025-08-15,10:05:00,1717,36.75,36.8,36.6,36.6,294
2025-08-15,10:06:00,1717,36.6,36.65,36.55,36.6,176
2025-08-15,10:07:00,1717,36.6,36.7,36.6,36.65,225
2025-08-15,10:08:00,1717,36.65,36.75,36.65,36.7,83
2025-08-15,10:09:00,1717,36.65,37.0,36.65,36.95,399
2025-08-15,10:10:00,1717,36.9,36.9,36.8,36.9,46
2025-08-15,10:11:00,1717,36.9,36.95,36.85,36.85,182
2025-08-15,10:12:00,1717,36.95,36.95,36.7,36.8,210
2025-08-15,10:13:00,1717,36.7,36.8,36.7,36.75,74
2025-08-15,10:14:00,1717,36.75,36.85,36.65,36.85,78
2025-08-15,10:15:00,1717,36.75,36.8,36.75,36.75,18
2025-08-15,10:16:00,1717,36.75,36.75,36.7,36.7,46
2025-08-15,10:17:00,1717,36.7,36.9,36.7,36.85,124
2025-08-15,10:18:00,1717,36.9,37.25,36.9,37.25,1302
2025-08-15,10:19:00,1717,37.25,37.3,37.15,37.3,561
2025-08-15,10:20:00,1717,37.3,37.3,37.0,37.1,207
2025-08-15,10:21:00,1717,37.1,37.3,37.05,37.3,330
2025-08-15,10:22:00,1717,37.3,37.35,37.2,37.25,365
2025-08-15,10:23:00,1717,37.3,37.35,37.2,37.35,280
2025-08-15,10:24:00,1717,37.35,37.4,37.2,37.2,681
2025-08-15,10:25:00,1717,37.2,37.25,37.0,37.1,398
2025-08-15,10:26:00,1717,37.1,37.15,37.05,37.1,104
2025-08-15,10:27:00,1717,37.1,37.15,37.05,37.1,165
2025-08-15,10:28:00,1717,37.15,37.3,37.1,37.3,271
2025-08-15,10:29:00,1717,37.3,37.45,37.2,37.2,572
2025-08-15,10:30:00,1717,37.3,37.35,37.2,37.3,299
2025-08-15,10:31:00,1717,37.3,37.3,37.25,37.3,142
2025-08-15,10:32:00,1717,37.3,37.3,37.2,37.25,102
2025-08-15,10:33:00,1717,37.25,37.25,37.1,37.2,191
2025-08-15,10:34:00,1717,37.2,37.25,37.15,37.2,125
2025-08-15,10:35:00,1717,37.2,37.5,37.2,37.5,873
2025-08-15,10:36:00,1717,37.45,37.5,37.4,37.5,296
2025-08-15,10:37:00,1717,37.5,37.65,37.45,37.65,1260
2025-08-15,10:38:00,1717,37.7,37.75,37.5,37.55,741
2025-08-15,10:39:00,1717,37.55,37.55,37.45,37.55,257
2025-08-15,10:40:00,1717,37.55,37.65,37.55,37.55,285
2025-08-15,10:41:00,1717,37.55,37.6,37.5,37.6,141
2025-08-15,10:42:00,1717,37.6,37.65,37.55,37.55,112
2025-08-15,10:43:00,1717,37.6,37.6,37.55,37.6,132
2025-08-15,10:44:00,1717,37.55,37.6,37.45,37.45,295
2025-08-15,10:45:00,1717,37.45,37.45,37.3,37.4,347
2025-08-15,10:46:00,1717,37.35,37.4,37.15,37.25,248
2025-08-15,10:47:00,1717,37.3,37.35,37.2,37.2,111
2025-08-15,10:48:00,1717,37.2,37.2,37.15,37.15,202
2025-08-15,10:49:00,1717,37.15,37.2,37.1,37.1,217
2025-08-15,10:50:00,1717,37.1,37.3,37.1,37.3,175
2025-08-15,10:51:00,1717,37.3,37.3,37.0,37.0,454
2025-08-15,10:52:00,1717,37.0,37.05,36.9,36.9,285
2025-08-15,10:53:00,1717,36.95,37.0,36.95,36.95,149
2025-08-15,10:54:00,1717,36.95,36.95,36.85,36.9,180
2025-08-15,10:55:00,1717,36.85,36.9,36.8,36.85,214
2025-08-15,10:56:00,1717,36.85,36.9,36.8,36.9,165
2025-08-15,10:57:00,1717,36.85,36.9,36.85,36.85,72
2025-08-15,10:58:00,1717,36.85,36.9,36.8,36.8,95
2025-08-15,10:59:00,1717,36.8,36.85,36.8,36.8,58
2025-08-15,11:00:00,1717,36.8,36.85,36.75,36.75,285
2025-08-15,11:01:00,1717,36.75,36.8,36.65,36.65,348
2025-08-15,11:02:00,1717,36.65,36.8,36.65,36.8,349
2025-08-15,11:03:00,1717,36.85,36.85,36.8,36.85,67
2025-08-15,11:04:00,1717,36.8,36.9,36.8,36.9,53
2025-08-15,11:05:00,1717,36.9,36.9,36.85,36.85,70
2025-08-15,11:06:00,1717,36.9,36.9,36.8,36.85,97
2025-08-15,11:07:00,1717,36.85,36.9,36.8,36.8,53
2025-08-15,11:08:00,1717,36.8,36.85,36.8,36.8,131
2025-08-15,11:09:00,1717,36.8,36.8,36.75,36.75,92
2025-08-15,11:10:00,1717,36.8,36.85,36.75,36.8,38
2025-08-15,11:11:00,1717,36.8,36.85,36.8,36.85,42
2025-08-15,11:12:00,1717,36.8,36.85,36.8,36.8,14
2025-08-15,11:13:00,1717,36.8,36.8,36.75,36.8,102
2025-08-15,11:14:00,1717,36.8,36.8,36.75,36.75,50
2025-08-15,11:15:00,1717,36.75,36.8,36.75,36.8,36
2025-08-15,11:16:00,1717,36.8,36.8,36.75,36.75,33
2025-08-15,11:17:00,1717,36.75,36.8,36.6,36.6,449
2025-08-15,11:18:00,1717,36.55,36.6,36.5,36.55,277
2025-08-15,11:19:00,1717,36.55,36.55,36.3,36.3,551
2025-08-15,11:20:00,1717,36.35,36.45,36.3,36.45,346
2025-08-15,11:21:00,1717,36.45,36.5,36.45,36.45,120
2025-08-15,11:22:00,1717,36.4,36.55,36.4,36.5,175
2025-08-15,11:23:00,1717,36.55,36.65,36.55,36.65,41
2025-08-15,11:24:00,1717,36.65,36.7,36.6,36.6,162
2025-08-15,11:25:00,1717,36.65,36.65,36.6,36.65,28
2025-08-15,11:26:00,1717,36.6,36.7,36.6,36.6,73
2025-08-15,11:27:00,1717,36.65,36.7,36.6,36.7,63
2025-08-15,11:28:00,1717,36.7,36.75,36.7,36.75,90
2025-08-15,11:29:00,1717,36.7,36.75,36.7,36.7,35
2025-08-15,11:30:00,1717,36.7,36.75,36.65,36.7,119
2025-08-15,11:31:00,1717,36.75,36.95,36.7,36.95,275
2025-08-15,11:32:00,1717,36.95,37.0,36.9,37.0,308
2025-08-15,11:33:00,1717,37.0,37.0,36.85,36.85,83
2025-08-15,11:34:00,1717,36.85,37.0,36.85,36.95,101
2025-08-15,11:35:00,1717,36.95,37.0,36.9,36.95,84
2025-08-15,11:36:00,1717,36.95,36.95,36.9,36.9,67
2025-08-15,11:37:00,1717,36.9,37.25,36.9,37.2,591
2025-08-15,11:38:00,1717,37.2,37.25,37.05,37.1,107
2025-08-15,11:39:00,1717,37.1,37.2,37.1,37.15,94
2025-08-15,11:40:00,1717,37.1,37.2,37.1,37.2,122
2025-08-15,11:41:00,1717,37.2,37.25,37.15,37.15,111
2025-08-15,11:42:00,1717,37.15,37.15,37.1,37.1,49
2025-08-15,11:43:00,1717,37.1,37.25,37.05,37.2,183
2025-08-15,11:44:00,1717,37.2,37.25,37.1,37.1,93
2025-08-15,11:45:00,1717,37.15,37.25,37.1,37.2,162
2025-08-15,11:46:00,1717,37.25,37.3,37.2,37.25,164
2025-08-15,11:47:00,1717,37.25,37.3,37.2,37.2,47
2025-08-15,11:48:00,1717,37.25,37.4,37.2,37.25,522
2025-08-15,11:49:00,1717,37.3,37.4,37.25,37.35,128
2025-08-15,11:50:00,1717,37.35,37.4,37.35,37.35,101
2025-08-15,11:51:00,1717,37.35,37.4,37.3,37.4,120
2025-08-15,11:52:00,1717,37.4,37.5,37.4,37.5,508
2025-08-15,11:53:00,1717,37.45,37.7,37.45,37.65,814
2025-08-15,11:54:00,1717,37.7,37.75,37.65,37.75,610
2025-08-15,11:55:00,1717,37.75,37.8,37.7,37.75,255
2025-08-15,11:56:00,1717,37.75,38.2,37.7,38.0,2394
2025-08-15,11:57:00,1717,38.05,38.2,37.95,38.05,595
2025-08-15,11:58:00,1717,38.0,38.1,37.95,38.0,170
2025-08-15,11:59:00,1717,38.0,38.05,37.9,38.05,191
2025-08-15,12:00:00,1717,38.0,38.05,37.95,37.95,159
2025-08-15,12:01:00,1717,38.0,38.1,37.95,38.0,313
2025-08-15,12:02:00,1717,38.05,38.05,37.95,38.0,189
2025-08-15,12:03:00,1717,38.0,38.15,38.0,38.15,295
2025-08-15,12:04:00,1717,38.15,38.2,38.05,38.15,158
2025-08-15,12:05:00,1717,38.1,38.15,37.95,37.95,168
2025-08-15,12:06:00,1717,38.0,38.0,37.85,37.9,159
2025-08-15,12:07:00,1717,37.9,38.1,37.9,38.05,258
2025-08-15,12:08:00,1717,38.05,38.1,38.0,38.0,67
2025-08-15,12:09:00,1717,38.0,38.1,38.0,38.1,130
2025-08-15,12:10:00,1717,38.05,38.1,38.05,38.1,182
2025-08-15,12:11:00,1717,38.1,38.15,38.0,38.05,180
2025-08-15,12:12:00,1717,38.0,38.05,38.0,38.05,95
2025-08-15,12:13:00,1717,38.0,38.05,37.9,38.0,105
2025-08-15,12:14:00,1717,38.0,38.05,37.95,38.05,148
2025-08-15,12:15:00,1717,38.0,38.1,38.0,38.05,96
2025-08-15,12:16:00,1717,38.05,38.1,38.0,38.05,62
2025-08-15,12:17:00,1717,38.05,38.1,38.0,38.05,172
2025-08-15,12:18:00,1717,38.05,38.1,38.05,38.05,37
2025-08-15,12:19:00,1717,38.05,38.1,38.0,38.0,52
2025-08-15,12:20:00,1717,38.05,38.05,38.0,38.05,228
2025-08-15,12:21:00,1717,38.1,38.35,38.0,38.2,1417
2025-08-15,12:22:00,1717,38.2,38.3,38.15,38.2,157
2025-08-15,12:23:00,1717,38.25,38.3,38.15,38.2,220
2025-08-15,12:24:00,1717,38.2,38.2,38.15,38.2,20
2025-08-15,12:25:00,1717,38.2,38.25,38.15,38.2,109
2025-08-15,12:26:00,1717,38.15,38.15,38.15,38.15,27
2025-08-15,12:27:00,1717,38.15,38.25,38.1,38.15,132
2025-08-15,12:28:00,1717,38.2,38.25,38.15,38.2,62
2025-08-15,12:29:00,1717,38.2,38.25,38.15,38.2,96
2025-08-15,12:30:00,1717,38.2,38.3,38.15,38.3,156
2025-08-15,12:31:00,1717,38.25,38.55,38.25,38.55,7899
2025-08-15,12:32:00,1717,38.55,38.55,38.55,38.55,738
2025-08-15,12:33:00,1717,38.55,38.55,38.55,38.55,206
2025-08-15,12:34:00,1717,38.55,38.55,38.55,38.55,197
2025-08-15,12:35:00,1717,38.55,38.55,38.55,38.55,203
2025-08-15,12:36:00,1717,38.55,38.55,38.55,38.55,233
2025-08-15,12:37:00,1717,38.55,38.55,38.55,38.55,100
2025-08-15,12:38:00,1717,38.55,38.55,38.55,38.55,116
2025-08-15,12:39:00,1717,38.55,38.55,38.55,38.55,97
2025-08-15,12:40:00,1717,38.55,38.55,38.55,38.55,55
2025-08-15,12:41:00,1717,38.55,38.55,38.55,38.55,17
2025-08-15,12:42:00,1717,38.55,38.55,38.55,38.55,43
2025-08-15,12:43:00,1717,38.55,38.55,38.55,38.55,268
2025-08-15,12:44:00,1717,38.55,38.55,38.55,38.55,293
2025-08-15,12:45:00,1717,38.55,38.55,38.55,38.55,34
2025-08-15,12:46:00,1717,38.55,38.55,38.55,38.55,282
2025-08-15,12:47:00,1717,38.55,38.55,38.55,38.55,26
2025-08-15,12:48:00,1717,38.55,38.55,38.55,38.55,73
2025-08-15,12:49:00,1717,38.55,38.55,38.55,38.55,57
2025-08-15,12:50:00,1717,38.55,38.55,38.55,38.55,28
2025-08-15,12:51:00,1717,38.55,38.55,38.55,38.55,68
2025-08-15,12:52:00,1717,38.55,38.55,38.55,38.55,37
2025-08-15,12:53:00,1717,38.55,38.55,38.55,38.55,31
2025-08-15,12:54:00,1717,38.55,38.55,38.55,38.55,50
2025-08-15,12:55:00,1717,38.55,38.55,38.55,38.55,135
2025-08-15,12:56:00,1717,38.55,38.55,38.55,38.55,45
2025-08-15,12:57:00,1717,38.55,38.55,38.55,38.55,50
2025-08-15,12:58:00,1717,38.55,38.55,38.55,38.55,28
2025-08-15,12:59:00,1717,38.55,38.55,38.55,38.55,34
2025-08-15,13:00:00,1717,38.55,38.55,38.55,38.55,17
2025-08-15,13:01:00,1717,38.55,38.55,38.55,38.55,66
2025-08-15,13:02:00,1717,38.55,38.55,38.55,38.55,59
2025-08-15,13:03:00,1717,38.55,38.55,38.55,38.55,56
2025-08-15,13:04:00,1717,38.55,38.55,38.55,38.55,24
2025-08-15,13:05:00,1717,38.55,38.55,38.55,38.55,19
2025-08-15,13:06:00,1717,38.55,38.55,38.55,38.55,30
2025-08-15,13:07:00,1717,38.55,38.55,38.55,38.55,14
2025-08-15,13:08:00,1717,38.55,38.55,38.55,38.55,8
2025-08-15,13:09:00,1717,38.55,38.55,38.55,38.55,23
2025-08-15,13:10:00,1717,38.55,38.55,38.55,38.55,81
2025-08-15,13:11:00,1717,38.55,38.55,38.55,38.55,29
2025-08-15,13:12:00,1717,38.55,38.55,38.55,38.55,8
2025-08-15,13:13:00,1717,38.55,38.55,38.55,38.55,42
2025-08-15,13:14:00,1717,38.55,38.55,38.55,38.55,78
2025-08-15,13:15:00,1717,38.55,38.55,38.55,38.55,26
2025-08-15,13:16:00,1717,38.55,38.55,38.55,38.55,24
2025-08-15,13:17:00,1717,38.55,38.55,38.55,38.55,9
2025-08-15,13:18:00,1717,38.55,38.55,38.55,38.55,21
2025-08-15,13:19:00,1717,38.55,38.55,38.55,38.55,61
2025-08-15,13:20:00,1717,38.55,38.55,38.55,38.55,9
2025-08-15,13:21:00,1717,38.55,38.55,38.55,38.55,16
2025-08-15,13:22:00,1717,38.55,38.55,38.55,38.55,20
2025-08-15,13:23:00,1717,38.55,38.55,38.55,38.55,29
2025-08-15,13:24:00,1717,38.55,38.55,38.55,38.55,25
2025-08-15,13:30:00,1717,38.55,38.55,38.55,38.55,122
