date,minute,stock_id,open,high,low,close,volume
2026-01-22,09:00:00,1519,1045.0,1045.0,1035.0,1045.0,288
2026-01-22,09:01:00,1519,1045.0,1050.0,1035.0,1040.0,179
2026-01-22,09:02:00,1519,1040.0,1040.0,1020.0,1020.0,221
2026-01-22,09:03:00,1519,1020.0,1025.0,1020.0,1025.0,74
2026-01-22,09:04:00,1519,1025.0,1030.0,1020.0,1025.0,72
2026-01-22,09:05:00,1519,1025.0,1025.0,1015.0,1015.0,150
2026-01-22,09:06:00,1519,1015.0,1015.0,1010.0,1015.0,49
2026-01-22,09:07:00,1519,1010.0,1015.0,1000.0,1010.0,115
2026-01-22,09:08:00,1519,1010.0,1015.0,1010.0,1015.0,44
2026-01-22,09:09:00,1519,1015.0,1015.0,1010.0,1010.0,55
2026-01-22,09:10:00,1519,1015.0,1020.0,1010.0,1020.0,44
2026-01-22,09:11:00,1519,1020.0,1020.0,1020.0,1020.0,91
2026-01-22,09:12:00,1519,1020.0,1020.0,1020.0,1020.0,50
2026-01-22,09:13:00,1519,1025.0,1030.0,1020.0,1030.0,190
2026-01-22,09:14:00,1519,1030.0,1030.0,1025.0,1030.0,55
2026-01-22,09:15:00,1519,1030.0,1030.0,1025.0,1030.0,57
2026-01-22,09:16:00,1519,1030.0,1030.0,1025.0,1025.0,27
2026-01-22,09:17:00,1519,1025.0,1025.0,1020.0,1020.0,97
2026-01-22,09:18:00,1519,1020.0,1020.0,1020.0,1020.0,37
2026-01-22,09:19:00,1519,1020.0,1020.0,1015.0,1015.0,20
2026-01-22,09:20:00,1519,1020.0,1020.0,1015.0,1015.0,41
2026-01-22,09:21:00,1519,1015.0,1025.0,1015.0,1025.0,36
2026-01-22,09:22:00,1519,1025.0,1025.0,1020.0,1020.0,8
2026-01-22,09:23:00,1519,1020.0,1025.0,1020.0,1025.0,14
2026-01-22,09:24:00,1519,1025.0,1025.0,1020.0,1020.0,17
2026-01-22,09:25:00,1519,1020.0,1025.0,1020.0,1025.0,7
2026-01-22,09:26:00,1519,1025.0,1025.0,1025.0,1025.0,13
2026-01-22,09:27:00,1519,1025.0,1025.0,1025.0,1025.0,16
2026-01-22,09:28:00,1519,1025.0,1030.0,1025.0,1030.0,46
2026-01-22,09:29:00,1519,1030.0,1035.0,1025.0,1030.0,72
2026-01-22,09:30:00,1519,1030.0,1030.0,1030.0,1030.0,36
2026-01-22,09:31:00,1519,1030.0,1030.0,1030.0,1030.0,26
2026-01-22,09:32:00,1519,1035.0,1040.0,1030.0,1035.0,69
2026-01-22,09:33:00,1519,1040.0,1045.0,1035.0,1045.0,133
2026-01-22,09:34:00,1519,1040.0,1045.0,1035.0,1035.0,64
2026-01-22,09:35:00,1519,1035.0,1040.0,1035.0,1040.0,17
2026-01-22,09:36:00,1519,1040.0,1040.0,1035.0,1035.0,42
2026-01-22,09:37:00,1519,1035.0,1040.0,1035.0,1040.0,49
2026-01-22,09:38:00,1519,1040.0,1040.0,1035.0,1040.0,25
2026-01-22,09:39:00,1519,1040.0,1040.0,1035.0,1035.0,29
2026-01-22,09:40:00,1519,1035.0,1035.0,1035.0,1035.0,26
2026-01-22,09:41:00,1519,1035.0,1040.0,1035.0,1035.0,10
2026-01-22,09:42:00,1519,1035.0,1035.0,1035.0,1035.0,28
2026-01-22,09:43:00,1519,1035.0,1045.0,1035.0,1045.0,98
2026-01-22,09:44:00,1519,1045.0,1050.0,1045.0,1050.0,106
2026-01-22,09:45:00,1519,1050.0,1050.0,1045.0,1045.0,64
2026-01-22,09:46:00,1519,1045.0,1045.0,1040.0,1040.0,14
2026-01-22,09:47:00,1519,1040.0,1040.0,1035.0,1035.0,74
2026-01-22,09:48:00,1519,1035.0,1035.0,1035.0,1035.0,22
2026-01-22,09:49:00,1519,1040.0,1040.0,1040.0,1040.0,39
2026-01-22,09:50:00,1519,1040.0,1045.0,1040.0,1040.0,29
