date,minute,stock_id,open,high,low,close,volume
2026-04-08,09:00:00,3339,43.75,44.5,43.7,44.35,858
2026-04-08,09:01:00,3339,44.25,44.45,43.3,43.3,308
2026-04-08,09:02:00,3339,43.3,43.4,42.7,42.75,348
2026-04-08,09:03:00,3339,42.7,42.75,42.25,42.35,64
2026-04-08,09:05:00,3339,42.3,42.95,42.3,42.85,277
2026-04-08,09:06:00,3339,42.9,43.75,42.9,43.65,129
2026-04-08,09:08:00,3339,44.0,44.0,43.65,43.65,154
2026-04-08,09:09:00,3339,43.6,44.45,43.55,44.1,252
2026-04-08,09:10:00,3339,44.1,44.4,44.0,44.35,193
2026-04-08,09:11:00,3339,44.35,44.8,44.1,44.1,252
2026-04-08,09:12:00,3339,44.1,44.3,44.05,44.25,48
2026-04-08,09:13:00,3339,44.2,44.8,44.2,44.8,206
2026-04-08,09:14:00,3339,44.8,44.85,44.4,44.7,202
2026-04-08,09:15:00,3339,44.75,44.8,44.65,44.75,114
2026-04-08,09:16:00,3339,44.7,44.75,44.4,44.4,124
2026-04-08,09:17:00,3339,44.4,44.4,44.1,44.1,104
2026-04-08,09:18:00,3339,44.05,44.1,43.85,43.85,84
2026-04-08,09:19:00,3339,43.85,44.0,43.7,43.9,111
2026-04-08,09:20:00,3339,43.9,43.95,43.3,43.45,175
2026-04-08,09:21:00,3339,43.5,43.6,43.25,43.3,72
2026-04-08,09:22:00,3339,43.3,43.7,43.25,43.7,95
2026-04-08,09:23:00,3339,43.7,43.75,43.35,43.35,70
2026-04-08,09:24:00,3339,43.4,43.4,43.2,43.25,53
2026-04-08,09:25:00,3339,43.4,43.4,43.2,43.2,58
2026-04-08,09:26:00,3339,43.2,43.4,43.0,43.3,125
2026-04-08,09:27:00,3339,43.25,43.25,43.0,43.0,73
2026-04-08,09:28:00,3339,43.05,43.2,43.05,43.05,73
2026-04-08,09:29:00,3339,43.05,43.1,43.0,43.0,68
2026-04-08,09:30:00,3339,43.1,43.35,43.0,43.35,115
2026-04-08,09:31:00,3339,43.35,43.55,43.25,43.25,40
2026-04-08,09:32:00,3339,43.2,43.35,43.2,43.35,24
2026-04-08,09:33:00,3339,43.4,43.55,43.4,43.55,17
2026-04-08,09:34:00,3339,43.55,43.6,43.4,43.6,44
2026-04-08,09:35:00,3339,43.6,43.65,43.45,43.45,46
2026-04-08,09:36:00,3339,43.45,43.5,43.25,43.3,115
2026-04-08,09:37:00,3339,43.2,43.2,43.0,43.1,60
2026-04-08,09:38:00,3339,43.1,43.1,43.0,43.0,45
2026-04-08,09:39:00,3339,43.0,43.05,42.7,42.75,212
2026-04-08,09:40:00,3339,42.75,42.75,42.45,42.5,208
2026-04-08,09:41:00,3339,42.55,42.7,42.5,42.7,48
2026-04-08,09:42:00,3339,42.7,42.85,42.7,42.85,22
2026-04-08,09:43:00,3339,42.85,42.85,42.75,42.75,30
2026-04-08,09:44:00,3339,42.75,42.85,42.75,42.8,18
2026-04-08,09:45:00,3339,42.8,42.85,42.6,42.7,59
2026-04-08,09:46:00,3339,42.7,42.7,42.5,42.55,49
2026-04-08,09:47:00,3339,42.55,42.55,42.45,42.5,166
2026-04-08,09:48:00,3339,42.4,42.75,42.35,42.75,117
2026-04-08,09:49:00,3339,42.75,42.75,42.65,42.65,16
2026-04-08,09:50:00,3339,42.65,42.65,42.65,42.65,15
2026-04-08,09:51:00,3339,42.65,42.8,42.5,42.65,63
2026-04-08,09:52:00,3339,42.6,42.6,42.35,42.5,42
2026-04-08,09:53:00,3339,42.6,42.6,42.5,42.6,10
2026-04-08,09:54:00,3339,42.65,42.65,42.5,42.6,18
2026-04-08,09:55:00,3339,42.6,42.6,42.6,42.6,14
2026-04-08,09:56:00,3339,42.55,42.6,42.5,42.6,22
2026-04-08,09:57:00,3339,42.6,42.65,42.55,42.55,13
2026-04-08,09:58:00,3339,42.55,42.55,42.55,42.55,9
2026-04-08,09:59:00,3339,42.55,42.55,42.5,42.55,17
2026-04-08,10:00:00,3339,42.55,42.55,42.55,42.55,3
2026-04-08,10:01:00,3339,42.55,42.55,42.5,42.5,17
2026-04-08,10:02:00,3339,42.5,42.5,42.35,42.35,52
2026-04-08,10:03:00,3339,42.35,42.35,42.25,42.3,111
2026-04-08,10:04:00,3339,42.3,42.3,42.25,42.25,44
2026-04-08,10:05:00,3339,42.35,42.4,42.3,42.4,31
2026-04-08,10:06:00,3339,42.45,42.55,42.4,42.4,28
2026-04-08,10:07:00,3339,42.45,42.65,42.45,42.6,19
2026-04-08,10:08:00,3339,42.6,42.7,42.6,42.7,12
2026-04-08,10:09:00,3339,42.7,42.8,42.6,42.8,24
2026-04-08,10:10:00,3339,42.85,43.0,42.8,42.85,53
2026-04-08,10:11:00,3339,42.75,42.75,42.65,42.65,36
2026-04-08,10:12:00,3339,42.65,42.7,42.55,42.55,10
2026-04-08,10:13:00,3339,42.6,42.6,42.6,42.6,3
2026-04-08,10:14:00,3339,42.6,42.6,42.6,42.6,2
2026-04-08,10:15:00,3339,42.6,42.6,42.6,42.6,8
2026-04-08,10:16:00,3339,42.6,42.65,42.6,42.65,6
2026-04-08,10:17:00,3339,42.65,42.65,42.6,42.6,8
2026-04-08,10:18:00,3339,42.6,42.7,42.6,42.65,8
2026-04-08,10:19:00,3339,42.6,42.6,42.5,42.5,86
2026-04-08,10:20:00,3339,42.45,42.45,42.4,42.4,21
2026-04-08,10:21:00,3339,42.4,42.45,42.4,42.45,9
2026-04-08,10:22:00,3339,42.4,42.45,42.4,42.4,14
2026-04-08,10:23:00,3339,42.4,42.4,42.35,42.4,15
2026-04-08,10:24:00,3339,42.35,42.4,42.3,42.4,30
2026-04-08,10:25:00,3339,42.4,42.45,42.35,42.35,6
2026-04-08,10:26:00,3339,42.4,42.4,42.35,42.35,6
2026-04-08,10:27:00,3339,42.35,42.35,42.3,42.35,10
2026-04-08,10:28:00,3339,42.35,42.35,42.35,42.35,9
2026-04-08,10:29:00,3339,42.3,42.35,42.3,42.35,4
2026-04-08,10:30:00,3339,42.35,42.35,42.3,42.35,7
2026-04-08,10:31:00,3339,42.35,42.4,42.35,42.35,19
2026-04-08,10:32:00,3339,42.35,42.35,42.35,42.35,4
2026-04-08,10:33:00,3339,42.35,42.4,42.3,42.35,51
2026-04-08,10:34:00,3339,42.4,42.4,42.3,42.4,16
2026-04-08,10:35:00,3339,42.4,42.4,42.35,42.35,15
2026-04-08,10:36:00,3339,42.35,42.55,42.35,42.55,10
2026-04-08,10:37:00,3339,42.6,42.65,42.6,42.6,13
2026-04-08,10:38:00,3339,42.65,42.7,42.6,42.6,20
2026-04-08,10:39:00,3339,42.7,42.7,42.65,42.65,3
