date,minute,stock_id,open,high,low,close,volume
2026-04-17,09:00:00,3437,24.3,24.65,24.3,24.65,246
2026-04-17,09:01:00,3437,24.7,25.15,24.5,24.9,83
2026-04-17,09:03:00,3437,25.5,26.35,25.35,26.2,434
2026-04-17,09:05:00,3437,26.3,26.4,26.15,26.4,313
2026-04-17,09:06:00,3437,26.35,26.4,26.0,26.1,290
2026-04-17,09:07:00,3437,26.1,26.2,25.95,25.95,265
2026-04-17,09:08:00,3437,25.9,25.9,25.4,25.5,251
2026-04-17,09:09:00,3437,25.4,25.45,25.4,25.4,10
2026-04-17,09:11:00,3437,25.25,25.25,25.0,25.15,280
2026-04-17,09:12:00,3437,25.15,25.2,25.15,25.2,52
2026-04-17,09:13:00,3437,25.2,25.3,25.2,25.3,78
2026-04-17,09:14:00,3437,25.25,25.85,25.25,25.8,135
2026-04-17,09:15:00,3437,25.8,26.0,25.8,25.8,258
2026-04-17,09:16:00,3437,25.85,26.0,25.8,26.0,204
2026-04-17,09:17:00,3437,26.0,26.05,25.9,26.0,141
2026-04-17,09:18:00,3437,25.9,25.95,25.8,25.85,118
2026-04-17,09:19:00,3437,25.85,25.9,25.75,25.8,62
2026-04-17,09:20:00,3437,25.75,25.95,25.7,25.85,112
2026-04-17,09:21:00,3437,25.85,25.95,25.8,25.85,30
2026-04-17,09:22:00,3437,25.85,25.85,25.7,25.7,23
2026-04-17,09:23:00,3437,25.7,26.1,25.7,25.85,300
2026-04-17,09:24:00,3437,25.9,26.0,25.8,25.8,60
2026-04-17,09:25:00,3437,25.8,25.85,25.75,25.75,30
2026-04-17,09:26:00,3437,25.7,25.75,25.65,25.65,57
2026-04-17,09:27:00,3437,25.65,25.65,25.5,25.55,101
2026-04-17,09:28:00,3437,25.6,25.8,25.6,25.7,23
2026-04-17,09:29:00,3437,25.7,25.8,25.5,25.7,42
2026-04-17,09:30:00,3437,25.55,25.55,25.5,25.5,46
2026-04-17,09:31:00,3437,25.5,25.5,25.5,25.5,10
2026-04-17,09:32:00,3437,25.5,25.7,25.5,25.65,20
2026-04-17,09:33:00,3437,25.65,25.65,25.6,25.65,4
2026-04-17,09:34:00,3437,25.65,25.65,25.55,25.65,28
2026-04-17,09:35:00,3437,25.65,25.75,25.6,25.6,48
2026-04-17,09:36:00,3437,25.55,25.6,25.5,25.6,34
2026-04-17,09:37:00,3437,25.6,25.7,25.6,25.7,15
2026-04-17,09:38:00,3437,25.75,25.95,25.7,25.9,109
2026-04-17,09:39:00,3437,25.9,26.0,25.9,25.95,101
2026-04-17,09:40:00,3437,25.95,25.95,25.9,25.9,48
2026-04-17,09:41:00,3437,25.9,26.1,25.9,26.1,112
2026-04-17,09:42:00,3437,26.05,26.05,25.9,25.9,51
2026-04-17,09:43:00,3437,25.9,25.9,25.75,25.75,35
2026-04-17,09:44:00,3437,25.75,25.8,25.75,25.75,12
2026-04-17,09:45:00,3437,25.8,25.8,25.75,25.8,20
2026-04-17,09:46:00,3437,25.8,25.95,25.75,25.9,39
2026-04-17,09:47:00,3437,25.9,25.9,25.9,25.9,11
2026-04-17,09:48:00,3437,25.9,25.95,25.9,25.95,13
2026-04-17,09:49:00,3437,25.95,26.0,25.95,25.95,58
2026-04-17,09:50:00,3437,25.95,25.95,25.85,25.85,10
2026-04-17,09:51:00,3437,25.85,25.9,25.85,25.9,13
2026-04-17,09:52:00,3437,25.9,25.95,25.9,25.95,9
2026-04-17,09:53:00,3437,25.95,26.1,25.95,26.05,107
2026-04-17,09:54:00,3437,26.05,26.05,25.7,25.75,67
2026-04-17,09:55:00,3437,25.9,25.9,25.9,25.9,1
2026-04-17,09:56:00,3437,25.9,25.9,25.9,25.9,1
2026-04-17,09:57:00,3437,25.9,26.2,25.9,26.15,209
2026-04-17,09:58:00,3437,26.15,26.5,26.15,26.4,293
2026-04-17,09:59:00,3437,26.45,26.45,26.35,26.35,69
2026-04-17,10:00:00,3437,26.35,26.35,26.15,26.2,66
2026-04-17,10:01:00,3437,26.2,26.25,26.15,26.15,20
2026-04-17,10:02:00,3437,26.2,26.35,26.15,26.35,62
2026-04-17,10:03:00,3437,26.35,26.35,26.15,26.2,83
2026-04-17,10:04:00,3437,26.15,26.2,26.1,26.15,23
2026-04-17,10:05:00,3437,26.15,26.25,26.1,26.25,42
2026-04-17,10:06:00,3437,26.25,26.3,26.25,26.25,31
2026-04-17,10:07:00,3437,26.25,26.4,26.25,26.35,24
2026-04-17,10:08:00,3437,26.3,26.6,26.3,26.6,420
2026-04-17,10:09:00,3437,26.55,26.7,26.55,26.7,81
2026-04-17,10:10:00,3437,26.7,26.7,26.6,26.65,71
2026-04-17,10:11:00,3437,26.65,26.7,26.55,26.55,90
2026-04-17,10:12:00,3437,26.55,26.55,26.45,26.5,52
2026-04-17,10:13:00,3437,26.5,26.5,26.5,26.5,11
2026-04-17,10:14:00,3437,26.5,26.65,26.5,26.6,20
2026-04-17,10:15:00,3437,26.6,26.85,26.6,26.75,225
2026-04-17,10:16:00,3437,26.3,26.7,26.15,26.55,132
2026-04-17,10:17:00,3437,26.6,26.65,26.5,26.6,15
2026-04-17,10:18:00,3437,26.6,26.6,26.4,26.45,51
2026-04-17,10:19:00,3437,26.5,26.5,26.35,26.35,19
2026-04-17,10:20:00,3437,26.4,26.4,26.4,26.4,7
2026-04-17,10:21:00,3437,26.45,26.5,26.45,26.5,20
2026-04-17,10:22:00,3437,26.45,26.45,26.25,26.3,41
2026-04-17,10:23:00,3437,26.25,26.3,26.2,26.2,41
2026-04-17,10:24:00,3437,26.3,26.35,26.15,26.2,46
2026-04-17,10:25:00,3437,26.2,26.25,26.2,26.25,14
2026-04-17,10:26:00,3437,26.25,26.25,26.0,26.0,101
2026-04-17,10:27:00,3437,26.1,26.1,26.05,26.1,20
2026-04-17,10:28:00,3437,26.1,26.15,26.05,26.1,8
2026-04-17,10:29:00,3437,26.1,26.25,26.1,26.15,28
2026-04-17,10:30:00,3437,26.15,26.15,26.1,26.15,11
2026-04-17,10:31:00,3437,26.15,26.15,26.1,26.1,32
2026-04-17,10:32:00,3437,26.15,26.15,26.15,26.15,5
2026-04-17,10:33:00,3437,26.2,26.4,26.2,26.4,60
2026-04-17,10:34:00,3437,26.4,26.4,26.3,26.35,15
2026-04-17,10:35:00,3437,26.3,26.3,26.2,26.2,15
2026-04-17,10:36:00,3437,26.2,26.2,26.15,26.15,8
2026-04-17,10:37:00,3437,26.15,26.15,26.15,26.15,3
2026-04-17,10:38:00,3437,26.15,26.15,26.15,26.15,9
2026-04-17,10:39:00,3437,26.2,26.2,26.2,26.2,1
2026-04-17,10:40:00,3437,26.2,26.2,26.1,26.1,59
2026-04-17,10:41:00,3437,26.1,26.15,26.1,26.15,22
2026-04-17,10:42:00,3437,26.1,26.15,26.1,26.15,3
2026-04-17,10:43:00,3437,26.05,26.1,26.05,26.1,13
2026-04-17,10:44:00,3437,26.1,26.1,26.0,26.0,36
2026-04-17,10:45:00,3437,26.0,26.0,25.95,25.95,39
2026-04-17,10:46:00,3437,25.95,25.95,25.85,25.85,38
2026-04-17,10:47:00,3437,25.85,25.95,25.85,25.95,11
2026-04-17,10:48:00,3437,25.85,25.9,25.85,25.9,9
2026-04-17,10:49:00,3437,25.95,25.95,25.95,25.95,1
2026-04-17,10:50:00,3437,25.9,25.95,25.85,25.85,29
2026-04-17,10:51:00,3437,25.95,25.95,25.95,25.95,5
2026-04-17,10:52:00,3437,25.9,25.9,25.9,25.9,2
2026-04-17,10:53:00,3437,25.95,25.95,25.95,25.95,2
2026-04-17,10:54:00,3437,25.95,25.95,25.85,25.85,21
2026-04-17,10:55:00,3437,25.85,25.9,25.85,25.9,4
2026-04-17,10:56:00,3437,25.9,25.9,25.85,25.85,38
2026-04-17,10:57:00,3437,25.85,25.85,25.85,25.85,10
2026-04-17,10:58:00,3437,25.85,25.85,25.8,25.8,33
2026-04-17,10:59:00,3437,25.8,25.8,25.75,25.8,12
2026-04-17,11:00:00,3437,25.8,25.9,25.8,25.9,8
2026-04-17,11:01:00,3437,25.9,25.9,25.9,25.9,7
2026-04-17,11:02:00,3437,25.9,25.9,25.85,25.85,4
2026-04-17,11:03:00,3437,25.85,25.85,25.85,25.85,6
2026-04-17,11:04:00,3437,25.85,25.85,25.8,25.8,2
2026-04-17,11:05:00,3437,25.8,25.8,25.8,25.8,17
2026-04-17,11:06:00,3437,25.8,25.85,25.8,25.8,5
2026-04-17,11:07:00,3437,25.8,25.8,25.8,25.8,6
2026-04-17,11:08:00,3437,25.8,25.8,25.8,25.8,4
2026-04-17,11:09:00,3437,25.75,25.8,25.75,25.8,9
2026-04-17,11:10:00,3437,25.8,25.8,25.75,25.8,4
2026-04-17,11:11:00,3437,25.85,25.85,25.85,25.85,18
2026-04-17,11:12:00,3437,25.9,25.9,25.85,25.9,4
2026-04-17,11:13:00,3437,25.9,25.9,25.9,25.9,6
2026-04-17,11:15:00,3437,25.9,26.0,25.9,25.95,23
2026-04-17,11:16:00,3437,25.95,25.95,25.95,25.95,3
2026-04-17,11:18:00,3437,25.95,26.0,25.95,26.0,35
2026-04-17,11:19:00,3437,26.0,26.1,26.0,26.1,2
2026-04-17,11:20:00,3437,26.1,26.45,26.1,26.4,124
2026-04-17,11:21:00,3437,26.4,26.75,26.4,26.6,212
2026-04-17,11:22:00,3437,26.65,26.65,26.5,26.55,28
2026-04-17,11:23:00,3437,26.55,26.55,26.45,26.5,40
2026-04-17,11:24:00,3437,26.5,26.7,26.5,26.6,82
2026-04-17,11:25:00,3437,26.6,26.7,26.6,26.6,132
2026-04-17,11:26:00,3437,26.55,26.8,26.55,26.75,79
2026-04-17,11:27:00,3437,26.8,27.0,26.8,26.85,552
2026-04-17,11:28:00,3437,26.8,26.8,26.5,26.75,67
2026-04-17,11:29:00,3437,26.7,26.75,26.65,26.65,22
2026-04-17,11:30:00,3437,26.65,27.05,26.65,27.0,342
2026-04-17,11:31:00,3437,27.0,27.1,27.0,27.1,187
2026-04-17,11:32:00,3437,27.1,27.2,27.05,27.15,1247
2026-04-17,11:33:00,3437,27.15,27.2,27.1,27.2,1317
2026-04-17,11:34:00,3437,27.2,27.2,27.2,27.2,86
2026-04-17,11:35:00,3437,27.2,27.2,27.2,27.2,48
2026-04-17,11:36:00,3437,27.2,27.2,27.2,27.2,94
2026-04-17,11:37:00,3437,27.2,27.2,27.2,27.2,51
2026-04-17,11:38:00,3437,27.2,27.2,27.2,27.2,13
2026-04-17,11:39:00,3437,27.2,27.2,27.2,27.2,27
2026-04-17,11:40:00,3437,27.2,27.2,27.2,27.2,19
2026-04-17,11:41:00,3437,27.2,27.2,27.2,27.2,62
2026-04-17,11:42:00,3437,27.2,27.2,27.2,27.2,26
2026-04-17,11:43:00,3437,27.2,27.2,27.2,27.2,29
2026-04-17,11:44:00,3437,27.2,27.2,27.2,27.2,17
2026-04-17,11:45:00,3437,27.2,27.2,27.2,27.2,83
2026-04-17,11:46:00,3437,27.2,27.2,27.2,27.2,29
2026-04-17,11:47:00,3437,27.2,27.2,27.2,27.2,9
2026-04-17,11:48:00,3437,27.2,27.2,27.2,27.2,16
2026-04-17,11:49:00,3437,27.2,27.2,27.2,27.2,10
2026-04-17,11:50:00,3437,27.2,27.2,27.2,27.2,7
2026-04-17,11:51:00,3437,27.2,27.2,27.2,27.2,1
2026-04-17,11:52:00,3437,27.2,27.2,27.2,27.2,18
2026-04-17,11:53:00,3437,27.2,27.2,27.2,27.2,16
2026-04-17,11:54:00,3437,27.2,27.2,27.2,27.2,1
2026-04-17,11:55:00,3437,27.2,27.2,27.2,27.2,4
2026-04-17,11:56:00,3437,27.2,27.2,27.2,27.2,48
2026-04-17,11:57:00,3437,27.2,27.2,27.2,27.2,7
2026-04-17,11:58:00,3437,27.2,27.2,27.2,27.2,13
2026-04-17,11:59:00,3437,27.2,27.2,27.2,27.2,62
2026-04-17,12:00:00,3437,27.2,27.2,27.2,27.2,10
2026-04-17,12:01:00,3437,27.2,27.2,27.2,27.2,9
2026-04-17,12:02:00,3437,27.2,27.2,27.2,27.2,16
2026-04-17,12:03:00,3437,27.2,27.2,27.2,27.2,23
2026-04-17,12:05:00,3437,27.2,27.2,27.2,27.2,36
2026-04-17,12:06:00,3437,27.2,27.2,27.2,27.2,42
2026-04-17,12:07:00,3437,27.2,27.2,27.2,27.2,14
2026-04-17,12:08:00,3437,27.2,27.2,27.2,27.2,7
2026-04-17,12:09:00,3437,27.2,27.2,27.2,27.2,52
2026-04-17,12:10:00,3437,27.2,27.2,27.2,27.2,8
2026-04-17,12:11:00,3437,27.2,27.2,27.2,27.2,4
2026-04-17,12:12:00,3437,27.2,27.2,27.2,27.2,12
2026-04-17,12:13:00,3437,27.2,27.2,27.2,27.2,12
2026-04-17,12:14:00,3437,27.2,27.2,27.2,27.2,9
2026-04-17,12:15:00,3437,27.2,27.2,27.2,27.2,4
2026-04-17,12:16:00,3437,27.2,27.2,27.2,27.2,5
2026-04-17,12:17:00,3437,27.2,27.2,27.2,27.2,20
2026-04-17,12:18:00,3437,27.2,27.2,27.2,27.2,6
2026-04-17,12:19:00,3437,27.2,27.2,27.2,27.2,18
2026-04-17,12:20:00,3437,27.2,27.2,27.2,27.2,20
2026-04-17,12:21:00,3437,27.2,27.2,27.2,27.2,16
2026-04-17,12:22:00,3437,27.2,27.2,27.2,27.2,2
2026-04-17,12:23:00,3437,27.2,27.2,27.2,27.2,2
2026-04-17,12:24:00,3437,27.2,27.2,27.2,27.2,3
2026-04-17,12:25:00,3437,27.2,27.2,27.2,27.2,5
2026-04-17,12:26:00,3437,27.2,27.2,27.2,27.2,20
2026-04-17,12:27:00,3437,27.2,27.2,27.2,27.2,14
2026-04-17,12:28:00,3437,27.2,27.2,27.2,27.2,10
2026-04-17,12:29:00,3437,27.2,27.2,27.2,27.2,5
2026-04-17,12:30:00,3437,27.2,27.2,27.2,27.2,10
2026-04-17,12:31:00,3437,27.2,27.2,27.2,27.2,6
