date,minute,stock_id,open,high,low,close,volume
2025-11-26,09:00:00,2903,23.95,24.0,23.95,23.95,152
2025-11-26,09:01:00,2903,24.0,24.0,23.8,23.8,167
2025-11-26,09:02:00,2903,23.75,23.9,23.75,23.9,37
2025-11-26,09:03:00,2903,23.9,23.9,23.9,23.9,17
2025-11-26,09:04:00,2903,23.9,23.9,23.9,23.9,1
2025-11-26,09:05:00,2903,23.85,23.85,23.85,23.85,1
2025-11-26,09:06:00,2903,23.85,23.85,23.85,23.85,1
2025-11-26,09:09:00,2903,23.9,23.9,23.9,23.9,1
2025-11-26,09:12:00,2903,23.9,23.9,23.9,23.9,6
2025-11-26,09:13:00,2903,23.9,23.9,23.9,23.9,1
2025-11-26,09:15:00,2903,23.85,23.85,23.8,23.85,58
2025-11-26,09:18:00,2903,23.85,24.0,23.85,24.0,63
2025-11-26,09:19:00,2903,24.0,24.15,24.0,24.15,166
2025-11-26,09:20:00,2903,24.15,24.2,24.15,24.2,182
2025-11-26,09:21:00,2903,24.2,24.25,24.2,24.25,29
2025-11-26,09:22:00,2903,24.25,24.25,24.2,24.2,15
2025-11-26,09:23:00,2903,24.2,24.2,24.2,24.2,24
2025-11-26,09:24:00,2903,24.25,24.25,24.25,24.25,11
2025-11-26,09:25:00,2903,24.25,24.3,24.25,24.25,39
2025-11-26,09:26:00,2903,24.25,24.3,24.25,24.25,21
2025-11-26,09:27:00,2903,24.25,24.3,24.25,24.25,58
2025-11-26,09:28:00,2903,24.25,24.3,24.2,24.2,93
2025-11-26,09:29:00,2903,24.2,24.2,24.2,24.2,83
2025-11-26,09:30:00,2903,24.2,24.2,24.2,24.2,12
2025-11-26,09:31:00,2903,24.2,24.25,24.2,24.2,46
2025-11-26,09:32:00,2903,24.2,24.2,24.2,24.2,19
2025-11-26,09:33:00,2903,24.25,24.25,24.2,24.25,10
2025-11-26,09:34:00,2903,24.2,24.2,24.2,24.2,18
2025-11-26,09:35:00,2903,24.2,24.25,24.2,24.2,21
2025-11-26,09:36:00,2903,24.2,24.3,24.2,24.3,153
2025-11-26,09:37:00,2903,24.3,24.3,24.25,24.25,14
2025-11-26,09:38:00,2903,24.25,24.3,24.25,24.25,50
2025-11-26,09:39:00,2903,24.3,24.35,24.3,24.3,236
2025-11-26,09:40:00,2903,24.35,24.35,24.3,24.3,29
2025-11-26,09:41:00,2903,24.3,24.35,24.3,24.3,119
2025-11-26,09:42:00,2903,24.3,24.3,24.25,24.25,27
2025-11-26,09:43:00,2903,24.3,24.3,24.25,24.3,28
2025-11-26,09:44:00,2903,24.25,24.3,24.25,24.25,7
2025-11-26,09:45:00,2903,24.3,24.3,24.25,24.25,12
2025-11-26,09:46:00,2903,24.3,24.3,24.15,24.2,77
2025-11-26,09:48:00,2903,24.2,24.2,24.2,24.2,15
2025-11-26,09:49:00,2903,24.2,24.2,24.2,24.2,10
2025-11-26,09:50:00,2903,24.2,24.2,24.15,24.15,29
2025-11-26,09:51:00,2903,24.2,24.25,24.2,24.25,6
2025-11-26,09:52:00,2903,24.2,24.25,24.2,24.2,35
2025-11-26,09:53:00,2903,24.2,24.2,24.2,24.2,2
2025-11-26,09:55:00,2903,24.2,24.2,24.2,24.2,2
2025-11-26,09:56:00,2903,24.2,24.2,24.15,24.15,4
2025-11-26,09:57:00,2903,24.15,24.2,24.15,24.15,40
2025-11-26,09:58:00,2903,24.1,24.1,24.1,24.1,9
2025-11-26,09:59:00,2903,24.1,24.15,24.05,24.05,19
2025-11-26,10:00:00,2903,24.15,24.15,24.05,24.05,5
2025-11-26,10:01:00,2903,24.15,24.15,24.15,24.15,1
2025-11-26,10:02:00,2903,24.05,24.1,24.05,24.1,44
2025-11-26,10:03:00,2903,24.05,24.1,24.05,24.1,3
2025-11-26,10:04:00,2903,24.1,24.1,24.1,24.1,2
2025-11-26,10:05:00,2903,24.1,24.1,24.05,24.05,9
2025-11-26,10:06:00,2903,24.05,24.05,24.05,24.05,40
