date,minute,stock_id,open,high,low,close,volume
2026-04-10,09:00:00,1717,77.6,78.2,76.7,77.9,6776
2026-04-10,09:01:00,1717,77.7,78.0,76.2,76.4,4759
2026-04-10,09:02:00,1717,76.3,76.5,75.0,75.1,3646
2026-04-10,09:03:00,1717,75.2,75.2,74.9,74.9,1772
2026-04-10,09:05:00,1717,74.9,74.9,73.9,74.2,3610
2026-04-10,09:06:00,1717,74.2,74.4,73.4,74.2,3539
2026-04-10,09:07:00,1717,74.1,75.0,73.8,74.3,2648
2026-04-10,09:08:00,1717,74.3,74.5,73.4,73.7,2632
2026-04-10,09:09:00,1717,73.7,74.7,73.6,74.7,1662
2026-04-10,09:10:00,1717,74.6,74.9,74.4,74.9,1179
2026-04-10,09:11:00,1717,74.9,74.9,74.1,74.4,1236
2026-04-10,09:12:00,1717,74.3,74.3,73.2,73.2,1962
2026-04-10,09:13:00,1717,73.1,73.3,72.5,72.6,2164
2026-04-10,09:14:00,1717,72.6,72.7,72.0,72.2,1593
2026-04-10,09:15:00,1717,72.2,72.4,71.8,72.3,1515
2026-04-10,09:16:00,1717,72.4,73.0,71.8,73.0,1252
2026-04-10,09:17:00,1717,73.0,73.2,72.5,72.5,1064
2026-04-10,09:18:00,1717,72.5,73.2,72.4,73.1,394
2026-04-10,09:19:00,1717,73.2,73.2,72.6,72.6,700
2026-04-10,09:20:00,1717,72.6,72.7,72.0,72.1,713
2026-04-10,09:21:00,1717,72.2,72.7,72.1,72.2,484
2026-04-10,09:22:00,1717,72.1,72.8,72.1,72.4,650
2026-04-10,09:23:00,1717,72.3,72.8,72.1,72.8,361
2026-04-10,09:24:00,1717,72.7,73.0,72.2,73.0,610
2026-04-10,09:25:00,1717,72.7,72.9,71.9,71.9,1143
2026-04-10,09:26:00,1717,72.0,72.0,71.1,71.4,2063
2026-04-10,09:27:00,1717,71.4,71.5,70.7,70.8,4069
2026-04-10,09:28:00,1717,70.9,71.2,70.7,70.8,1091
2026-04-10,09:29:00,1717,70.9,70.9,70.5,70.8,972
2026-04-10,09:30:00,1717,70.8,70.9,70.3,70.4,1737
2026-04-10,09:31:00,1717,70.4,71.1,70.4,71.0,1415
2026-04-10,09:32:00,1717,71.0,71.2,70.8,71.1,573
