ticker,signal_date,signal_type,prev_date,prev_close,prev_high,prev_low,prev_volume,prev_vol_ma5,today_open,today_open_gap_pct,stop_loss
6614,2026-05-15,bearish_exit,2026-05-14,40.3,41.05,39.9,116476.0,95246.8,40.3,0.0,
6662,2026-05-15,bearish_exit,2026-05-14,30.5,30.5,29.0,20023.0,13101.0,29.85,-0.0213,
6767,2026-05-15,bearish_exit,2026-05-14,27.0,27.0,26.3,25600.0,24365.4,26.95,-0.0019,
6834,2026-05-15,bearish_exit,2026-05-14,48.25,48.25,44.45,5442591.0,4957520.2,48.2,-0.001,
6844,2026-05-15,bearish_exit,2026-05-14,64.6,64.6,63.5,40468.0,23176.4,64.2,-0.0062,
6904,2026-05-15,bearish_exit,2026-05-13,114.0,116.5,112.0,5081.0,4827.6,113.0,-0.0088,
6908,2026-05-15,bearish_exit,2026-05-14,39.0,40.35,38.5,25012.0,17508.4,38.6,-0.0103,
6949,2026-05-15,bearish_exit,2026-05-14,716.0,745.0,677.0,321683.0,184187.8,715.0,-0.0014,
6957,2026-05-15,bearish_exit,2026-05-14,159.0,159.0,153.5,206816.0,113181.0,157.0,-0.0126,
7708,2026-05-15,bearish_exit,2026-05-14,94.4,94.9,91.5,27283.0,18061.0,93.8,-0.0064,
7744,2026-05-15,bearish_exit,2026-05-14,608.0,618.0,582.0,231575.0,193022.6,592.0,-0.0263,
7823,2026-05-15,bearish_exit,2026-05-14,98.5,99.1,90.0,219792.0,73919.0,97.1,-0.0142,
8016,2026-05-15,bearish_exit,2026-05-14,294.5,294.5,270.5,6691189.0,4126555.8,293.5,-0.0034,
8040,2026-05-15,bearish_exit,2026-05-14,87.9,88.5,83.3,4538995.0,2920503.6,87.9,0.0,
8069,2026-05-15,bearish_exit,2026-05-14,226.0,231.0,208.5,51749320.0,36079224.2,226.0,0.0,
8071,2026-05-15,bearish_exit,2026-05-14,18.3,18.45,16.6,5228522.0,1203512.2,18.15,-0.0082,
8076,2026-05-15,bearish_exit,2026-05-14,25.05,25.3,23.9,3349464.0,1968104.8,25.05,0.0,
8087,2026-05-15,bearish_exit,2026-05-14,35.35,36.3,33.0,418056.0,190270.0,34.3,-0.0297,
8091,2026-05-15,bearish_exit,2026-05-14,215.5,215.5,191.0,1782016.0,1450052.2,215.5,0.0,
8093,2026-05-15,bearish_exit,2026-05-14,19.3,19.7,17.05,75249.0,37151.8,18.6,-0.0363,
8299,2026-05-15,bearish_exit,2026-05-14,2880.0,2880.0,2815.0,9894970.0,9894929.2,2850.0,-0.0104,
8404,2026-05-15,bearish_exit,2026-05-14,16.5,16.7,16.3,574535.0,412834.2,16.5,0.0,
8442,2026-05-15,bearish_exit,2026-05-14,45.1,46.0,45.0,664459.0,160061.4,44.95,-0.0033,
8472,2026-05-15,bearish_exit,2026-05-14,71.0,71.7,70.0,28041.0,14360.2,70.0,-0.0141,
8923,2026-05-15,bearish_exit,2026-05-12,19.4,19.4,19.2,4036.0,2800.8,19.3,-0.0052,
9927,2026-05-15,bearish_exit,2026-05-14,68.2,68.7,68.1,138211.0,114186.6,68.2,0.0,
9937,2026-05-15,bearish_exit,2026-05-14,56.3,56.4,56.0,51103.0,38922.6,56.3,0.0,
1101,2026-05-15,bullish_entry,2026-05-14,24.55,24.8,24.4,29408138.0,26852131.8,24.6,0.002,24.4
1103,2026-05-15,bullish_entry,2026-05-14,13.05,13.25,13.0,445299.0,327402.2,13.1,0.0038,13.0
1201,2026-05-15,bullish_entry,2026-05-14,12.15,12.3,12.15,449124.0,399389.6,12.15,0.0,12.15
1220,2026-05-15,bullish_entry,2026-05-14,12.1,12.25,12.05,224064.0,158371.8,12.1,0.0,12.05
1227,2026-05-15,bullish_entry,2026-05-14,28.55,28.95,28.55,1327841.0,1031373.8,28.6,0.0018,28.55
1232,2026-05-15,bullish_entry,2026-05-14,147.5,149.0,147.5,106714.0,105661.6,149.0,0.0102,147.5
1234,2026-05-15,bullish_entry,2026-05-14,34.0,34.6,33.9,533226.0,259118.8,34.05,0.0015,33.9
1235,2026-05-15,bullish_entry,2026-05-14,40.0,42.45,40.0,22895.0,18932.8,40.0,0.0,40.0
1294,2026-05-15,bullish_entry,2026-05-14,77.8,78.4,77.6,37704.0,32041.6,77.8,0.0,77.6
1305,2026-05-15,bullish_entry,2026-05-14,12.65,12.8,12.5,3694618.0,3275225.2,12.65,0.0,12.5
1312,2026-05-15,bullish_entry,2026-05-14,10.65,11.05,10.6,6970686.0,6384060.0,10.75,0.0094,10.6
1313,2026-05-15,bullish_entry,2026-05-14,10.55,11.05,10.55,4731651.0,3526886.2,10.65,0.0095,10.55
1315,2026-05-15,bullish_entry,2026-05-14,61.1,61.4,60.7,32711.0,24862.4,61.4,0.0049,60.7
1338,2026-05-15,bullish_entry,2026-05-14,15.45,15.95,15.25,256287.0,178166.8,15.5,0.0032,15.25
1342,2026-05-15,bullish_entry,2026-05-14,93.5,95.2,93.1,310006.0,305394.6,93.6,0.0011,93.1
1414,2026-05-15,bullish_entry,2026-05-14,15.75,16.05,15.6,445649.0,323872.8,15.9,0.0095,15.6
1416,2026-05-15,bullish_entry,2026-05-14,11.25,11.35,11.2,370156.0,213776.4,11.25,0.0,11.2
1418,2026-05-15,bullish_entry,2026-05-14,18.35,18.7,18.2,22233.0,14382.8,18.55,0.0109,18.2
1419,2026-05-15,bullish_entry,2026-05-14,62.7,65.3,62.7,177677.0,99185.4,67.2,0.0718,62.7
1434,2026-05-15,bullish_entry,2026-05-14,15.35,15.6,15.3,2990966.0,2393958.8,15.35,0.0,15.3
1437,2026-05-15,bullish_entry,2026-05-14,28.2,28.6,28.15,253958.0,163370.6,28.2,0.0,28.15
1440,2026-05-15,bullish_entry,2026-05-14,11.65,11.8,11.6,2601272.0,2221655.8,11.65,0.0,11.6
1443,2026-05-15,bullish_entry,2026-05-14,26.35,27.1,26.35,46387.0,32987.0,26.95,0.0228,26.35
1445,2026-05-15,bullish_entry,2026-05-14,11.8,12.0,11.75,97139.0,85268.4,11.8,0.0,11.75
1452,2026-05-15,bullish_entry,2026-05-14,11.0,11.1,10.95,97100.0,90407.0,11.05,0.0045,10.95
1454,2026-05-15,bullish_entry,2026-05-14,12.95,13.35,12.9,103412.0,77935.2,12.95,0.0,12.9
1457,2026-05-15,bullish_entry,2026-05-14,14.2,14.5,14.2,138038.0,134909.2,14.25,0.0035,14.2
1459,2026-05-15,bullish_entry,2026-05-14,11.85,12.1,11.85,242745.0,234419.6,12.05,0.0169,11.85
1465,2026-05-15,bullish_entry,2026-05-14,11.95,12.1,11.95,74040.0,64423.8,11.95,0.0,11.95
1475,2026-05-15,bullish_entry,2026-05-14,26.95,27.3,26.65,76064.0,62264.2,26.95,0.0,26.65
1504,2026-05-15,bullish_entry,2026-05-14,72.4,76.4,72.0,20939726.0,20637376.4,72.7,0.0041,72.0
1506,2026-05-15,bullish_entry,2026-05-14,10.2,10.4,10.05,315998.0,205312.4,10.3,0.0098,10.05
1519,2026-05-15,bullish_entry,2026-05-14,870.0,901.0,862.0,4959620.0,4457437.0,875.0,0.0057,862.0
1526,2026-05-15,bullish_entry,2026-05-14,14.7,15.3,14.65,274750.0,164491.0,14.7,0.0,14.65
1528,2026-05-15,bullish_entry,2026-05-14,25.25,26.3,25.1,6878801.0,6107499.8,25.25,0.0,25.1
1529,2026-05-15,bullish_entry,2026-05-14,20.85,21.8,20.75,1503514.0,1017600.2,20.85,0.0,20.75
1532,2026-05-15,bullish_entry,2026-05-14,20.2,20.5,20.05,1515750.0,993973.0,20.4,0.0099,20.05
1539,2026-05-15,bullish_entry,2026-05-14,15.55,15.9,15.55,145305.0,95521.2,15.85,0.0193,15.55
1611,2026-05-15,bullish_entry,2026-05-14,11.2,11.5,11.2,798037.0,684324.6,11.2,0.0,11.2
1614,2026-05-15,bullish_entry,2026-05-14,31.15,31.65,31.15,95316.0,78392.8,31.15,0.0,31.15
1616,2026-05-15,bullish_entry,2026-05-14,21.55,22.4,21.55,1162382.0,701528.6,21.6,0.0023,21.55
1617,2026-05-15,bullish_entry,2026-05-14,14.8,15.05,14.8,248216.0,244326.2,14.95,0.0101,14.8
1618,2026-05-15,bullish_entry,2026-05-14,38.3,39.7,38.3,822197.0,813733.6,38.45,0.0039,38.3
1742,2026-05-15,bullish_entry,2026-05-14,15.15,15.6,15.15,34007.0,26771.2,15.2,0.0033,15.15
1752,2026-05-15,bullish_entry,2026-05-14,33.0,33.3,33.0,143727.0,100463.2,33.2,0.0061,33.0
1762,2026-05-15,bullish_entry,2026-05-14,37.0,40.85,36.25,2960555.0,1640832.0,37.0,0.0,36.25
1777,2026-05-15,bullish_entry,2026-05-14,70.7,71.0,70.0,49143.0,26779.2,70.7,0.0,70.0
1786,2026-05-15,bullish_entry,2026-05-14,51.5,54.0,51.3,745079.0,441834.8,54.8,0.0641,51.3
1810,2026-05-15,bullish_entry,2026-05-14,18.75,19.4,18.6,4123225.0,2429845.8,18.9,0.008,18.6
1903,2026-05-15,bullish_entry,2026-05-14,47.55,48.3,47.55,319984.0,207327.4,47.6,0.0011,47.55
2062,2026-05-15,bullish_entry,2026-05-14,19.6,19.95,19.5,809775.0,536285.0,19.65,0.0026,19.5
2072,2026-05-15,bullish_entry,2026-05-14,171.5,173.5,162.5,1178767.0,628129.4,172.0,0.0029,162.5
2101,2026-05-15,bullish_entry,2026-05-14,32.55,34.15,32.5,2133252.0,1839248.8,32.75,0.0061,32.5
2106,2026-05-15,bullish_entry,2026-05-14,16.85,17.15,16.75,1169230.0,740917.4,16.85,0.0,16.75
2204,2026-05-15,bullish_entry,2026-05-14,52.2,53.1,52.0,3028807.0,2026989.2,52.5,0.0057,52.0
2227,2026-05-15,bullish_entry,2026-05-14,49.5,50.6,49.5,82025.0,70244.2,49.5,0.0,49.5
2228,2026-05-15,bullish_entry,2026-05-14,83.0,85.7,83.0,449212.0,307248.6,83.1,0.0012,83.0
2247,2026-05-15,bullish_entry,2026-05-14,208.0,212.0,208.0,128851.0,120667.6,208.0,0.0,208.0
2254,2026-05-15,bullish_entry,2026-05-14,58.5,60.5,58.0,45331.0,24507.6,58.5,0.0,58.0
2302,2026-05-15,bullish_entry,2026-05-14,25.25,27.3,24.85,17155105.0,8933517.8,25.25,0.0,24.85
2316,2026-05-15,bullish_entry,2026-05-14,134.0,149.5,132.0,16089050.0,10640690.0,136.5,0.0187,132.0
2331,2026-05-15,bullish_entry,2026-05-14,19.9,20.2,19.75,3270275.0,2305757.4,20.0,0.005,19.75
2348,2026-05-15,bullish_entry,2026-05-14,69.7,70.6,69.1,518389.0,289501.0,70.0,0.0043,69.1
2356,2026-05-15,bullish_entry,2026-05-14,53.2,53.9,51.6,80235506.0,63252095.6,54.4,0.0226,51.6
2360,2026-05-15,bullish_entry,2026-05-14,2260.0,2435.0,2255.0,4876389.0,3851968.6,2345.0,0.0376,2255.0
2371,2026-05-15,bullish_entry,2026-05-14,29.0,30.2,29.0,24081063.0,19834372.8,29.1,0.0034,29.0
2373,2026-05-15,bullish_entry,2026-05-14,55.7,57.3,55.7,61880.0,49434.2,56.2,0.009,55.7
2374,2026-05-15,bullish_entry,2026-05-14,80.3,82.9,80.2,11775677.0,11133362.0,81.7,0.0174,80.2
2399,2026-05-15,bullish_entry,2026-05-14,47.2,49.5,45.9,27070953.0,23981548.6,47.2,0.0,45.9
2433,2026-05-15,bullish_entry,2026-05-14,45.15,45.45,45.15,38449.0,37448.0,45.25,0.0022,45.15
2440,2026-05-15,bullish_entry,2026-05-14,16.9,18.4,16.9,1224622.0,943215.6,17.0,0.0059,16.9
2450,2026-05-15,bullish_entry,2026-05-14,29.4,29.6,29.4,198649.0,187865.4,29.4,0.0,29.4
2455,2026-05-15,bullish_entry,2026-05-14,358.5,382.5,357.0,2848611.0,2779101.6,366.0,0.0209,357.0
2471,2026-05-15,bullish_entry,2026-05-14,50.2,50.9,50.0,479147.0,318557.0,50.3,0.002,50.0
2474,2026-05-15,bullish_entry,2026-05-14,190.5,200.5,190.0,7700545.0,4469591.8,191.0,0.0026,190.0
2478,2026-05-15,bullish_entry,2026-05-14,82.1,88.7,81.5,9420807.0,6927435.4,83.5,0.0171,81.5
2481,2026-05-15,bullish_entry,2026-05-14,115.5,133.0,114.5,73640871.0,50093754.6,118.0,0.0216,114.5
2496,2026-05-15,bullish_entry,2026-05-14,64.7,65.2,64.7,41762.0,37832.8,65.2,0.0077,64.7
2606,2026-05-15,bullish_entry,2026-05-14,64.6,66.3,64.1,13884991.0,8085211.4,64.9,0.0046,64.1
2607,2026-05-15,bullish_entry,2026-05-14,47.0,47.4,47.0,593633.0,501020.0,47.0,0.0,47.0
2609,2026-05-15,bullish_entry,2026-05-14,48.6,49.2,48.3,22899538.0,17321138.6,48.9,0.0062,48.3
2613,2026-05-15,bullish_entry,2026-05-14,21.5,21.95,21.4,522317.0,409285.6,21.85,0.0163,21.4
2618,2026-05-15,bullish_entry,2026-05-14,35.0,36.2,34.95,37043843.0,30450111.8,35.2,0.0057,34.95
2705,2026-05-15,bullish_entry,2026-05-14,15.3,15.7,15.3,530750.0,345117.6,15.3,0.0,15.3
2706,2026-05-15,bullish_entry,2026-05-14,12.15,12.3,12.15,174547.0,144237.8,12.2,0.0041,12.15
2723,2026-05-15,bullish_entry,2026-05-14,65.1,66.8,65.1,421234.0,402700.4,65.6,0.0077,65.1
2724,2026-05-15,bullish_entry,2026-05-14,14.25,15.15,13.8,55600.0,32893.4,14.5,0.0175,13.8
2743,2026-05-15,bullish_entry,2026-05-14,68.4,69.7,68.4,165656.0,133829.2,69.8,0.0205,68.4
2745,2026-05-15,bullish_entry,2026-05-14,101.0,102.5,101.0,204273.0,185937.8,102.5,0.0149,101.0
