ticker,signal_date,close,bb_upper,bb_middle,bb_lower,bandwidth_prev,bandwidth_today,is_ideal_bandwidth,volume_ratio_prev,ma60_slope,second_buy_estimate,stop_loss,entry_note
1582,2026-05-19,117.0,109.99044495062752,94.82000000000001,79.6495550493725,0.26857074769586714,0.3199840740482496,False,1.5269974940959334,0.03322446221421327,108.89054050112125,109.99044495062752,突破上軌 close=117.00>109.99; prev_bw=0.269; vol×1.53
1732,2026-05-19,27.15,27.051058688801334,26.165000000000003,25.278941311198672,0.05882752631647703,0.06772854491124256,True,1.5673395792603801,-0.004559891820497541,26.78054810191332,27.051058688801334,突破上軌 close=27.15>27.05; prev_bw=0.059(理想); vol×1.57
1817,2026-05-19,40.0,39.94280723417987,38.894999999999996,37.847192765820125,0.0472673875768998,0.053878762523711064,True,8.97554567036209,0.0024739163170917067,39.54337916183807,39.94280723417987,突破上軌 close=40.00>39.94; prev_bw=0.047(理想); vol×8.98
2355,2026-05-19,63.4,58.84375205998699,53.154999999999994,47.466247940013,0.1248848028760424,0.21404391157885416,False,1.2584593289992678,0.02827391457818562,58.25531453938712,58.84375205998699,突破上軌 close=63.40>58.84; prev_bw=0.125; vol×1.26
2412,2026-05-19,142.5,139.76597023990897,136.725,133.68402976009102,0.02218064631800617,0.04448301685732635,True,6.866460439843956,0.003511149439447969,138.36831053750987,139.76597023990897,突破上軌 close=142.50>139.77; prev_bw=0.022(理想); vol×6.87
2413,2026-05-19,49.95,49.929106844193576,45.605000000000004,41.28089315580643,0.18794218669168467,0.1896330158620139,False,2.9936392138354178,0.003480593568542245,49.42981577575164,49.929106844193576,突破上軌 close=49.95>49.93; prev_bw=0.188; vol×2.99
2615,2026-05-19,80.4,79.42716788438294,75.88,72.33283211561705,0.07941359400570626,0.09349414560840653,True,1.3080299787288128,0.0020565886606196404,78.63289620553911,79.42716788438294,突破上軌 close=80.40>79.43; prev_bw=0.079(理想); vol×1.31
2886,2026-05-19,40.65,40.47351058430832,39.635,38.796489415691674,0.03542015285254972,0.04231162277322184,True,2.0891726259961985,0.0004644485728761971,40.06877547846524,40.47351058430832,突破上軌 close=40.65>40.47; prev_bw=0.035(理想); vol×2.09
2916,2026-05-19,47.5,47.29844399655426,45.6825,44.06655600344573,0.06218937079473746,0.0707467409425607,True,1.5266791652166103,0.00014241717551133348,46.82545955658872,47.29844399655426,突破上軌 close=47.50>47.30; prev_bw=0.062(理想); vol×1.53
3045,2026-05-19,116.5,115.77692903071683,112.05,108.32307096928317,0.057249749340650365,0.06652260652774354,True,2.0566830270641403,0.007181602872641024,114.61915974040966,115.77692903071683,突破上軌 close=116.50>115.78; prev_bw=0.057(理想); vol×2.06
3083,2026-05-19,27.7,27.653265995075802,26.967499999999994,26.281734004924186,0.044475297693508165,0.05085869992218845,True,3.892744917278774,-0.016628541263417174,27.376733335125046,27.653265995075802,突破上軌 close=27.70>27.65; prev_bw=0.044(理想); vol×3.89
3191,2026-05-19,14.7,14.627539368858939,13.992500000000001,13.357460631141064,0.08060012571136403,0.09076853583833297,True,1.8466524756166491,-0.008950508950509084,14.481263975170348,14.627539368858939,突破上軌 close=14.70>14.63; prev_bw=0.081(理想); vol×1.85
3362,2026-05-19,118.5,118.38190344434005,109.325,100.26809655565995,0.17782749942451928,0.16568769164125408,False,3.46454120527855,0.00794023755894413,117.19808440989665,118.38190344434005,突破上軌 close=118.50>118.38; prev_bw=0.178; vol×3.46
3379,2026-05-19,42.6,42.2356069579824,37.375,32.5143930420176,0.22831471233429124,0.26009936898902464,False,2.5844376542100362,-0.014539234552063407,41.81325088840257,42.2356069579824,突破上軌 close=42.60>42.24; prev_bw=0.228; vol×2.58
3504,2026-05-19,78.2,77.58513471408561,67.935,58.28486528591439,0.25500643405604095,0.28409905686569836,False,1.207174617999851,0.027045187300520634,76.80928336694475,77.58513471408561,突破上軌 close=78.20>77.59; prev_bw=0.255; vol×1.21
3576,2026-05-19,19.25,18.87704732528106,16.5025,14.12795267471894,0.2494491253764829,0.2877803151378349,False,5.145382932872382,0.015560165975103457,18.688276852028253,18.87704732528106,突破上軌 close=19.25>18.88; prev_bw=0.249; vol×5.15
3591,2026-05-19,25.75,25.71888122285553,23.9625,22.206118777144468,0.1769326270062947,0.14659415527224043,False,3.375222132175153,0.020247690190682066,25.461692410626974,25.71888122285553,突破上軌 close=25.75>25.72; prev_bw=0.177; vol×3.38
3663,2026-05-19,83.4,79.83717594643332,71.11,62.38282405356669,0.1916907390087334,0.24545565873810482,False,2.6417546235292377,0.016090321316614586,79.03880418696899,79.83717594643332,突破上軌 close=83.40>79.84; prev_bw=0.192; vol×2.64
3675,2026-05-19,283.5,270.98384666305327,234.525,198.06615333694674,0.27132632880824226,0.3109165049615458,False,1.375782562696755,0.04694234626381588,268.27400819642276,270.98384666305327,突破上軌 close=283.50>270.98; prev_bw=0.271; vol×1.38
3694,2026-05-19,64.8,64.5884464383724,60.18000000000001,55.77155356162761,0.13079840441386667,0.1465086885467728,False,2.425231186779268,0.0012550630383936223,63.942561973988674,64.5884464383724,突破上軌 close=64.80>64.59; prev_bw=0.131; vol×2.43
4536,2026-05-19,157.5,156.98734154646425,152.55,148.11265845353577,0.056775457586125254,0.05817556927517848,True,1.1725123863392868,-0.002299957210098569,155.4174681309996,156.98734154646425,突破上軌 close=157.50>156.99; prev_bw=0.057(理想); vol×1.17
