bucket,n,mean_10d_net_pct,win_rate_10d_pct,mean_20d_net_pct,win_rate_20d_pct
all,1664,1.168,44.05,4.901,49.34
top5,875,1.812,45.49,6.066,49.94
top10,1332,1.344,44.14,4.831,48.8
top20,1633,1.094,44.09,4.895,49.36
