bucket,n,mean_10d_net_pct,win_rate_10d_pct,mean_20d_net_pct,win_rate_20d_pct
all,1852,1.567,44.92,5.458,50.38
top5,988,2.084,46.46,6.013,49.8
top10,1489,2.05,46.47,6.075,51.04
top20,1821,1.627,45.25,5.625,50.8
