ticker,signal_date,entry_date,entry_price,exit_date,exit_price,exit_cond,hold_days,ret_pct,is_win,branches_fired
1101,2024-01-16,2024-01-17,32.55,2024-01-19,32.0,cond1_break_low,1,-1.6897,False,B1_next_day_gap_fills_up
1101,2024-04-12,2024-04-15,32.35,2024-04-22,32.0,cond1_break_low,4,-1.0819,False,B1_next_day_gap_fills_up
1101,2024-05-30,2024-05-31,32.9,2024-06-03,33.0,cond3_attack_fail,1,0.304,True,B2_next_day_gap_filled
1101,2024-07-01,2024-07-02,33.5,2024-07-09,34.0,cond3_attack_fail,5,1.4925,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1101,2024-08-02,2024-08-05,33.7,2024-08-12,34.45,cond3_attack_fail,5,2.2255,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1101,2024-08-05,2024-08-06,33.65,2024-08-12,34.45,cond3_attack_fail,4,2.3774,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1101,2024-08-14,2024-08-15,33.65,2024-08-15,32.9,cond3_attack_fail,0,-2.2288,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1101,2025-01-10,2025-01-13,30.3,2025-02-05,31.1,cond3_attack_fail,10,2.6403,True,B1_next_day_gap_fills_up
1101,2025-03-13,2025-03-14,33.45,2025-03-17,33.7,cond3_attack_fail,1,0.7474,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1101,2025-03-31,2025-04-01,32.15,2025-04-08,30.3,cond1_break_low,2,-5.7543,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1101,2025-04-07,2025-04-08,30.3,2025-04-08,29.65,cond3_attack_fail,0,-2.1452,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1101,2025-05-14,2025-05-15,30.4,2025-05-15,30.1,cond3_attack_fail,0,-0.9868,False,B1_next_day_gap_fills_up
1101,2025-06-23,2025-06-24,25.2,2025-06-25,25.7,cond3_attack_fail,1,1.9841,True,B1_next_day_gap_fills_up
1101,2025-08-14,2025-08-15,23.7,2025-08-20,23.35,cond1_break_low,2,-1.4768,False,B1_next_day_gap_fills_up
1101,2025-10-13,2025-10-14,23.1,2025-10-14,22.9,cond3_attack_fail,0,-0.8658,False,B1_next_day_gap_fills_up
1101,2026-03-04,2026-03-05,25.2,2026-03-05,24.8,cond3_attack_fail,0,-1.5873,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1101,2026-03-09,2026-03-10,24.65,2026-03-10,24.25,cond3_attack_fail,0,-1.6227,False,B2_next_day_gap_filled
1101,2026-03-23,2026-03-24,23.0,2026-03-24,22.55,cond3_attack_fail,0,-1.9565,False,B1_next_day_gap_fills_up
1102,2024-01-16,2024-01-17,39.8,2024-01-30,39.8,cond3_attack_fail,9,0.0,False,B1_next_day_gap_fills_up
1102,2024-11-13,2024-11-14,45.6,2024-11-18,45.25,cond3_attack_fail,2,-0.7675,False,B2_next_day_gap_filled
1102,2024-11-14,2024-11-15,45.5,2024-11-18,45.25,cond3_attack_fail,1,-0.5495,False,B2_next_day_gap_filled
1102,2024-12-31,2025-01-02,40.25,2025-01-03,40.1,cond3_attack_fail,1,-0.3727,False,B1_next_day_gap_fills_up
1102,2025-04-07,2025-04-08,43.35,2025-04-15,44.85,cond3_attack_fail,5,3.4602,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1102,2025-04-16,2025-04-17,44.5,2025-04-24,44.45,cond3_attack_fail,5,-0.1124,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1102,2025-07-17,2025-07-18,39.45,2025-07-29,40.1,cond3_attack_fail,7,1.6477,True,B1_next_day_gap_fills_up
1102,2026-03-04,2026-03-05,34.9,2026-03-05,34.3,cond3_attack_fail,0,-1.7192,False,B1_next_day_gap_fills_up
1216,2024-02-26,2024-02-27,75.0,2024-03-14,77.8,cond3_attack_fail,11,3.7333,True,B2_next_day_gap_filled
1216,2024-03-08,2024-03-11,76.5,2024-03-14,77.8,cond3_attack_fail,3,1.6993,True,B2_next_day_gap_filled
1216,2024-04-02,2024-04-03,75.3,2024-04-11,76.4,cond3_attack_fail,4,1.4608,True,B2_next_day_gap_filled
1216,2024-04-25,2024-04-26,75.8,2024-05-03,76.0,cond3_attack_fail,4,0.2639,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1216,2024-05-02,2024-05-03,76.5,2024-05-03,76.0,cond3_attack_fail,0,-0.6536,False,B2_next_day_gap_filled
1216,2024-05-20,2024-05-21,77.8,2024-05-30,77.0,cond1_break_low,6,-1.0283,False,B2_next_day_gap_filled
1216,2024-05-29,2024-05-30,77.0,2024-07-05,84.2,cond3_attack_fail,25,9.3506,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1216,2024-06-11,2024-06-12,80.1,2024-07-05,84.2,cond3_attack_fail,17,5.1186,True,B2_next_day_gap_filled
1216,2024-08-05,2024-08-06,78.2,2024-08-14,82.7,cond3_attack_fail,6,5.7545,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1216,2024-09-04,2024-09-05,82.3,2024-09-11,86.1,cond3_attack_fail,4,4.6173,True,B2_next_day_gap_filled
1216,2024-12-31,2025-01-02,80.4,2025-01-03,79.6,cond3_attack_fail,1,-0.995,False,B1_next_day_gap_fills_up
1216,2025-04-07,2025-04-08,76.8,2025-04-10,80.9,cond1_break_low,1,5.3385,True,B1_next_day_gap_fills_up
1216,2025-05-13,2025-05-14,79.5,2025-05-14,78.5,cond3_attack_fail,0,-1.2579,False,B1_next_day_gap_fills_up
1216,2025-07-31,2025-08-01,78.9,2025-08-07,79.1,cond3_attack_fail,4,0.2535,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
1216,2026-02-26,2026-03-02,73.5,2026-03-05,72.7,cond1_break_low,2,-1.0884,False,B1_next_day_gap_fills_up
1301,2024-01-16,2024-01-17,73.0,2024-01-19,70.9,cond1_break_low,1,-2.8767,False,B1_next_day_gap_fills_up
1301,2024-01-17,2024-01-18,71.7,2024-01-22,70.6,cond3_attack_fail,2,-1.5342,False,B1_next_day_gap_fills_up
1301,2024-02-23,2024-02-26,71.8,2024-03-04,71.1,cond1_break_low,3,-0.9749,False,B1_next_day_gap_fills_up
1301,2024-03-08,2024-03-11,68.0,2024-03-15,68.6,cond3_attack_fail,4,0.8824,True,B1_next_day_gap_fills_up
1301,2024-04-25,2024-04-26,67.7,2024-05-03,68.3,cond3_attack_fail,4,0.8863,True,B1_next_day_gap_fills_up
1301,2024-05-30,2024-05-31,66.2,2024-05-31,65.3,cond3_attack_fail,0,-1.3595,False,B1_next_day_gap_fills_up
1301,2024-08-05,2024-08-06,55.0,2024-08-14,52.8,cond1_break_low,5,-4.0,False,B1_next_day_gap_fills_up
1301,2024-08-08,2024-08-09,53.6,2024-08-14,52.8,cond1_break_low,2,-1.4925,False,B1_next_day_gap_fills_up
1301,2024-09-04,2024-09-05,47.25,2024-09-05,46.2,cond3_attack_fail,0,-2.2222,False,B1_next_day_gap_fills_up
