bucket,n,mean_10d_net_pct,win_rate_10d_pct,mean_20d_net_pct,win_rate_20d_pct
all,1831,1.455,44.68,5.352,50.19
top5,978,2.139,46.01,6.235,50.51
top10,1471,1.775,45.55,5.849,50.85
top20,1800,1.482,44.89,5.483,50.5
