bucket,n,mean_10d_net_pct,win_rate_10d_pct,mean_20d_net_pct,win_rate_20d_pct
all,1839,1.523,44.81,5.438,50.3
top5,983,2.225,46.19,6.355,50.56
top10,1479,1.858,45.71,5.953,50.98
top20,1808,1.551,45.02,5.57,50.61
