ticker,trade_date,market_regime,open,high,low,close,volume,avg_volume_20,volume_ratio,close_pos,prior_high_60,breakout_next_not_low_open,breakout_next_low_open,ret_10d_net,ret_20d_net,overhead_supply_layer,breakout_vol_capped,shakeout_strong,is_attention_stock,is_disposition_stock,breakout_strength_pct,pre_rank_score,intraday_rows,intraday_strong_attack,below_open_after_1130,intraday_attack_failure,intraday_close_pos,intraday_return_pct,scanner_score,rank_in_date
3481,2026-05-13,bull,35.8,37.95,33.85,37.5,1379646184,398159750.9,3.4650568795099175,0.8902439024390237,35.5,False,False,,,0.0,True,False,1.0,,5.633802816901401,85.0,,,,,,,85.0,1
8105,2026-05-13,bull,14.9,16.2,14.7,16.2,34255421,2544642.35,13.461782163611321,1.0,14.8,False,False,,,0.0,False,False,1.0,,9.459459459459453,85.0,,,,,,,85.0,2
8926,2026-05-13,bull,54.8,56.7,54.8,56.7,19498985,2620651.1,7.4405116346849836,1.0,52.5,False,False,,,0.0,False,False,1.0,,8.000000000000007,85.0,,,,,,,85.0,3
2302,2026-05-13,bull,24.65,26.0,24.65,26.0,17592583,1824915.7,9.640216805631077,1.0,23.65,False,False,,,0.0,False,False,1.0,,9.936575052854124,85.0,,,,,,,85.0,4
3357,2026-05-13,bull,188.0,213.0,184.5,213.0,10424282,4510928.15,2.310895153583858,1.0,201.5,False,False,,,0.0,True,False,1.0,,5.707196029776673,85.0,,,,,,,85.0,5
6166,2026-05-13,bull,107.5,111.5,102.5,111.5,8698467,2921186.65,2.9777169493774047,1.0,101.5,False,False,,,0.0,True,False,1.0,,9.852216748768484,85.0,,,,,,,85.0,6
6217,2026-05-13,bull,321.0,341.0,311.0,341.0,6189099,2188534.7,2.827964756510372,1.0,312.0,False,False,,,0.0,True,False,1.0,,9.294871794871785,85.0,,,,,,,85.0,7
5228,2026-05-13,bull,45.65,49.9,44.25,49.15,6020778,1331005.85,4.523479742782498,0.8672566371681416,45.85,False,False,,,0.0,False,False,1.0,,7.19738276990185,85.0,,,,,,,85.0,8
2356,2026-05-13,bull,48.65,53.5,48.4,52.8,139195372,29629134.6,4.697922294362252,0.8627450980392152,51.0,False,False,,,1.0,False,False,1.0,,3.52941176470587,80.0,,,,,,,80.0,9
3236,2026-05-13,bull,35.65,38.85,34.9,38.85,20846133,5029297.2,4.144939575255167,1.0,37.9,False,False,,,0.0,True,False,1.0,,2.5065963060686203,80.0,,,,,,,80.0,10
3044,2026-05-13,bull,486.0,529.0,481.0,529.0,12239777,6231457.85,1.9641915735657267,1.0,513.0,False,False,,,0.0,True,False,1.0,,3.1189083820662766,80.0,,,,,,,80.0,11
3587,2026-05-13,bull,380.0,399.0,379.0,396.0,10474699,4521446.9,2.316669692615432,0.85,385.5,False,False,,,0.0,True,False,1.0,,2.7237354085603016,80.0,,,,,,,80.0,12
2481,2026-05-13,bull,115.0,122.0,113.0,121.0,67427334,28152223.1,2.3950980269121267,0.8888888888888888,119.5,False,False,,,0.0,True,False,1.0,,1.2552301255230214,77.0,,,,,,,77.0,13
3583,2026-05-13,bull,915.0,971.0,895.0,966.0,6906177,2842167.45,2.4298979991485017,0.9342105263157895,952.0,False,False,,,0.0,True,False,1.0,,1.4705882352941124,77.0,,,,,,,77.0,14
6449,2026-05-13,bull,198.5,218.0,190.0,218.0,5244189,1309725.0,4.004038252304873,1.0,198.5,False,False,,,3.0,False,False,1.0,,9.823677581863976,77.0,,,,,,,77.0,15
8069,2026-05-13,bull,208.0,215.0,204.5,215.0,38403100,11636529.25,3.300219436134705,1.0,195.5,False,False,,,23.0,False,False,1.0,,9.974424552429673,69.0,,,,,,,69.0,16
3481,2026-05-12,bull,34.7,35.5,33.6,35.5,833426756,366331096.1,2.275064183392429,1.0,33.3,True,False,,,0.0,True,False,1.0,,6.606606606606613,85.0,,,,,,,85.0,1
2303,2026-05-12,bull,96.7,104.5,94.3,104.5,383024476,231751362.0,1.6527388348207421,1.0,98.8,False,True,,,0.0,True,True,1.0,,5.769230769230771,85.0,,,,,,,85.0,2
2492,2026-05-12,bull,175.0,188.5,167.5,188.5,41347149,17682621.0,2.338293005318612,1.0,171.5,False,True,,,0.0,True,True,1.0,,9.912536443148689,85.0,,,,,,,85.0,3
3035,2026-05-12,bull,200.5,210.5,187.0,208.5,40874239,15646959.9,2.6122799100418224,0.9148936170212766,198.5,False,True,,,0.0,True,True,1.0,,5.037783375314864,85.0,,,,,,,85.0,4
4977,2026-05-12,bull,240.0,270.5,239.5,270.5,23093017,12711408.5,1.8167158265742147,1.0,257.0,False,True,,,0.0,True,True,1.0,,5.252918287937747,85.0,,,,,,,85.0,5
1721,2026-05-12,bull,32.0,34.45,29.3,34.45,20915270,7068172.6,2.9590774283016237,1.0,31.35,False,True,,,0.0,True,True,1.0,,9.888357256778324,85.0,,,,,,,85.0,6
4973,2026-05-12,bull,115.5,120.0,114.5,120.0,12716282,7918004.5,1.6059958036144082,1.0,109.5,False,True,,,0.0,True,True,1.0,,9.589041095890405,85.0,,,,,,,85.0,7
3430,2026-05-12,bull,155.0,179.5,151.5,178.0,9099386,2728814.8,3.334556086400587,0.9464285714285714,168.0,False,True,,,0.0,True,True,1.0,,5.952380952380953,85.0,,,,,,,85.0,8
3209,2026-05-12,bull,64.7,66.5,64.1,66.5,8106266,4997957.95,1.6219156065528721,1.0,60.5,False,True,,,0.0,True,True,1.0,,9.917355371900815,85.0,,,,,,,85.0,9
4722,2026-05-12,bull,235.0,258.5,230.0,258.5,7263601,3855030.75,1.884187564522021,1.0,245.0,False,True,,,0.0,True,True,1.0,,5.5102040816326525,85.0,,,,,,,85.0,10
6166,2026-05-12,bull,96.5,101.5,93.2,101.5,5663520,2725992.6,2.0775991835047534,1.0,93.4,True,False,,,0.0,True,False,1.0,,8.672376873661669,85.0,,,,,,,85.0,11
3055,2026-05-12,bull,106.5,110.0,106.0,110.0,4419858,2230714.2,1.9813645333857648,1.0,100.0,True,False,,,0.0,True,False,1.0,,10.000000000000009,85.0,,,,,,,85.0,12
3691,2026-05-12,bull,147.0,155.0,144.0,155.0,3053181,1556384.8,1.9617134528684679,1.0,147.0,True,False,,,0.0,True,False,1.0,,5.442176870748305,85.0,,,,,,,85.0,13
3229,2026-05-12,bull,45.3,49.25,41.5,49.0,2226346,908166.0,2.4514747303906996,0.967741935483871,44.95,False,True,,,0.0,True,True,1.0,,9.010011123470507,85.0,,,,,,,85.0,14
3583,2026-05-12,bull,906.0,952.0,847.0,952.0,5891822,2894006.1,2.0358706223874234,1.0,931.0,False,True,,,0.0,True,False,1.0,,2.2556390977443552,80.0,,,,,,,80.0,15
5228,2026-05-12,bull,41.4,45.85,39.75,45.85,4251624,1361151.55,3.123549321161189,1.0,43.9,False,True,,,0.0,True,False,1.0,,4.441913439635536,80.0,,,,,,,80.0,16
3141,2026-05-12,bull,57.6,63.0,56.5,63.0,3953897,1392806.2,2.838799109308962,1.0,59.1,True,False,,,2.0,False,False,1.0,,6.5989847715735905,77.0,,,,,,,77.0,17
3048,2026-05-12,bull,45.0,47.0,43.6,46.9,19697233,5959501.45,3.3051813419728253,0.9705882352941172,45.4,False,True,,,2.0,False,False,1.0,,3.3039647577092435,72.0,,,,,,,72.0,18
5269,2026-05-12,bull,1435.0,1525.0,1385.0,1525.0,5518944,2029684.6,2.7191140928989657,1.0,1445.0,False,True,,,17.0,False,False,1.0,,5.536332179930792,69.0,,,,,,,69.0,19
8114,2026-05-12,bull,222.5,239.5,219.5,239.5,5332818,1009546.25,5.282390975153441,1.0,218.0,False,True,,,22.0,False,False,1.0,,9.86238532110091,69.0,,,,,,,69.0,20
3305,2026-05-12,bull,117.0,128.5,116.5,128.5,22543144,5373524.65,4.195224823245204,1.0,125.0,False,True,,,6.0,False,False,1.0,,2.8000000000000025,64.0,,,,,,,64.0,21
