bucket,n,mean_10d_net_pct,win_rate_10d_pct,mean_20d_net_pct,win_rate_20d_pct
all,1709,1.595,45.11,5.444,50.44
top5,895,2.222,46.48,6.543,50.73
top10,1364,1.778,45.23,5.396,49.78
top20,1678,1.531,45.17,5.448,50.48
