ticker,trade_date,market_regime,open,high,low,close,volume,avg_volume_20,volume_ratio,close_pos,prior_high_60,breakout_next_not_low_open,breakout_next_low_open,ret_10d_net,ret_20d_net,breakout_strength_pct,pre_rank_score,intraday_rows,intraday_strong_attack,below_open_after_1130,intraday_attack_failure,intraday_close_pos,intraday_return_pct,scanner_score,rank_in_date
2486,2026-05-04,bull,280.0,297.5,279.0,297.5,16433973,10441761.25,1.5738698296707367,1.0,278.0,False,False,,,7.014388489208634,75.0,211.0,True,False,False,1.0,6.25,89.0,1
2855,2026-05-04,bull,35.85,37.6,35.65,37.55,10983622,6604047.25,1.663165265814838,0.9743589743589722,36.6,False,False,,,2.595628415300544,75.0,253.0,True,False,False,0.974,4.742,89.0,2
2395,2026-05-04,bull,369.0,395.0,364.5,395.0,8477702,2815556.15,3.0110221740738505,1.0,376.5,False,False,,,4.913678618857897,75.0,260.0,True,False,False,1.0,7.046,89.0,3
3498,2026-05-04,bull,92.0,96.4,89.0,96.4,7723983,4126560.6,1.8717725846556088,1.0,91.9,False,False,,,4.896626768226331,75.0,140.0,True,False,False,1.0,4.783,89.0,4
2465,2026-05-04,bull,76.1,81.4,75.0,81.4,6841042,2017335.15,3.3911281424903543,1.0,75.0,False,False,,,8.53333333333335,75.0,209.0,True,False,False,1.0,6.965,89.0,5
6166,2026-05-04,bull,77.6,82.5,77.1,82.3,4452902,1639227.75,2.7164632858368827,0.9629629629629625,81.0,False,False,,,1.6049382716049276,75.0,231.0,True,False,False,0.963,6.057,89.0,6
3580,2026-05-04,bull,90.0,94.4,87.8,94.4,3063026,1577610.05,1.9415609072723643,1.0,89.1,False,False,,,5.948372615039288,75.0,149.0,True,False,False,1.0,4.889,89.0,7
6414,2026-05-04,bull,323.0,334.5,323.0,334.0,2405527,1602629.5,1.5009875956981948,0.9565217391304348,326.0,False,False,,,2.4539877300613577,75.0,224.0,True,False,False,0.957,3.406,89.0,8
3526,2026-05-04,bull,350.0,363.0,350.0,363.0,2318517,1024486.6,2.2631013426627544,1.0,334.5,False,False,,,8.520179372197312,75.0,169.0,True,False,False,1.0,3.714,89.0,9
6207,2026-04-30,bull,59.2,64.6,58.7,64.5,14952808,2543613.0,5.878570364281044,0.983050847457628,63.2,True,False,,,2.0569620253164445,85.0,266.0,True,False,False,0.983,8.953,99.0,1
4576,2026-04-30,bull,198.0,222.0,193.5,222.0,10276060,4234116.0,2.4269670457776784,1.0,215.0,True,False,,,3.2558139534883734,85.0,212.0,True,False,False,1.0,12.121,99.0,2
2417,2026-04-30,bull,47.1,47.15,44.7,47.15,11980273,1242248.15,9.644025632076813,1.0,43.5,True,False,,,8.390804597701141,85.0,245.0,True,True,False,1.0,0.106,89.0,3
2464,2026-04-28,bull,95.6,106.5,93.8,106.5,31112681,10901056.45,2.8540977787524437,1.0,100.5,True,False,,,5.970149253731338,85.0,246.0,True,False,False,1.0,11.402,99.0,1
6405,2026-04-28,bull,38.3,42.1,36.0,42.1,6822437,1691911.45,4.032384200721616,1.0,40.5,True,False,,,3.9506172839506304,85.0,183.0,True,False,False,1.0,9.922,99.0,2
4958,2026-04-28,bull,362.0,394.0,354.0,394.0,75673830,48556666.4,1.5584642771110828,1.0,378.5,False,True,,,4.095112285336855,75.0,265.0,True,False,False,1.0,8.84,89.0,3
3605,2026-04-28,bull,76.8,84.1,75.5,83.6,25016004,4925633.55,5.078738348288212,0.9418604651162791,78.5,False,True,,,6.496815286624202,75.0,265.0,True,False,False,0.942,8.854,89.0,4
8103,2026-04-28,bull,122.5,128.0,120.0,128.0,10241784,2538011.1,4.035358237794941,1.0,116.5,False,True,,,9.871244635193133,75.0,216.0,True,False,False,1.0,4.49,89.0,5
2243,2026-04-28,bull,25.0,27.4,25.0,27.4,3411621,1451405.1,2.350564291113487,1.0,26.2,False,True,,,4.580152671755733,75.0,193.0,True,False,False,1.0,9.6,89.0,6
8103,2026-04-27,bull,106.5,116.5,101.0,116.5,6729023,2252686.8,2.987109881409169,1.0,111.0,True,False,,,4.954954954954949,85.0,243.0,True,False,False,1.0,9.39,99.0,1
5483,2026-04-27,bull,140.0,143.0,139.0,143.0,31950166,11502967.6,2.777558549326002,1.0,141.0,True,False,,,1.4184397163120588,79.0,245.0,True,False,False,1.0,2.143,93.0,2
4927,2026-04-27,bull,53.8,58.6,53.7,58.6,48691111,18436525.55,2.6410133985359296,1.0,57.5,False,True,,,1.9130434782608674,75.0,265.0,True,False,False,1.0,8.922,89.0,3
3374,2026-04-27,bull,217.5,218.0,213.5,218.0,19926653,7573989.6,2.6309321840103927,1.0,203.5,True,False,,,7.125307125307123,85.0,255.0,False,False,False,1.0,0.23,89.0,4
6435,2026-04-27,bull,197.0,200.5,193.5,200.5,2304352,951506.0,2.4217945026095475,1.0,198.5,False,True,,,1.0075566750629816,69.0,174.0,False,False,True,1.0,1.777,63.0,5
3189,2026-04-24,bull,499.0,526.0,498.5,526.0,57209204,24777593.3,2.308908831754858,1.0,509.0,True,False,,,3.3398821218074692,85.0,264.0,True,False,False,1.0,5.411,99.0,1
2454,2026-04-24,bull,2340.0,2435.0,2330.0,2435.0,22985015,13178774.05,1.7440935638470862,1.0,2335.0,True,False,,,4.282655246252687,85.0,266.0,True,False,False,1.0,4.06,99.0,2
2855,2026-04-24,bull,34.65,35.35,34.25,35.25,16783159,5689989.1,2.9495942268149515,0.909090909090908,34.65,True,False,,,1.7316017316017396,85.0,262.0,True,False,False,0.909,1.732,99.0,3
3209,2026-04-24,bull,50.3,54.5,50.1,54.5,13248712,3635409.05,3.6443524835258914,1.0,51.9,True,False,,,5.009633911368017,85.0,263.0,True,False,False,1.0,8.35,99.0,4
3390,2026-04-24,bull,27.85,28.75,27.7,28.75,9527967,911968.9,10.44768851218501,1.0,28.1,True,False,,,2.313167259786475,85.0,183.0,True,False,False,1.0,3.232,99.0,5
6669,2026-04-24,bull,4335.0,4675.0,4320.0,4635.0,5019268,2068779.8,2.426197316891822,0.8873239436619719,4480.0,True,False,,,3.459821428571419,85.0,262.0,True,False,False,0.887,6.92,95.0,6
7711,2026-04-24,bull,391.5,409.0,381.5,405.0,4762106,846989.55,5.622390500567569,0.8545454545454545,372.0,True,False,,,8.870967741935477,85.0,248.0,True,False,False,0.855,3.448,95.0,7
4720,2026-04-24,bull,26.6,27.35,26.6,27.35,12006332,7146755.65,1.679969567729659,1.0,27.0,True,False,,,1.2962962962963065,79.0,183.0,True,False,False,1.0,2.82,93.0,8
6658,2026-04-24,bull,103.0,110.5,102.5,110.5,8773691,2215839.9,3.959532906686986,1.0,100.5,True,False,,,9.950248756218905,85.0,245.0,True,False,True,1.0,7.282,89.0,9
8210,2026-04-24,bull,1165.0,1210.0,1130.0,1210.0,5363957,3309046.0,1.6209980157423016,1.0,1145.0,True,False,,,5.676855895196509,85.0,195.0,True,False,True,1.0,3.863,89.0,10
6190,2026-04-24,bull,70.0,75.0,65.7,74.5,36805735,14347434.7,2.5653181749626643,0.9462365591397849,71.9,False,True,,,3.616133518776077,75.0,265.0,True,True,False,0.946,6.429,79.0,11
6789,2026-04-24,bull,546.0,566.0,532.0,566.0,19370855,7040932.8,2.751177372407247,1.0,538.0,True,False,,,5.2044609665427455,85.0,262.0,False,False,True,1.0,3.663,79.0,12
1595,2026-04-24,bull,65.8,66.6,60.8,66.6,6556805,1453237.15,4.511861673781186,1.0,60.6,True,False,,,9.900990099009888,85.0,143.0,False,False,True,1.0,1.216,79.0,13
3228,2026-04-24,bull,211.5,220.5,201.5,218.5,3132652,837656.7,3.73978027036613,0.8947368421052632,201.5,False,True,,,8.436724565756816,75.0,230.0,False,False,True,0.895,3.31,65.0,14
2474,2026-04-23,bull,220.0,231.5,218.0,231.5,17155472,3431987.45,4.998698931722492,1.0,227.0,True,False,,,1.982378854625555,85.0,265.0,True,False,False,1.0,5.227,99.0,1
