ticker,trade_date,market_regime,open,high,low,close,volume,avg_volume_20,volume_ratio,close_pos,prior_high_60,breakout_next_not_low_open,breakout_next_low_open,ret_10d_net,ret_20d_net,overhead_supply_layer,breakout_strength_pct,pre_rank_score,intraday_rows,intraday_strong_attack,below_open_after_1130,intraday_attack_failure,intraday_close_pos,intraday_return_pct,scanner_score,rank_in_date
4919,2026-05-11,bull,163.0,184.0,156.0,184.0,50067134,20545022.45,2.436947154564925,1.0,179.0,False,False,,,0.0,2.7932960893854775,83.0,,,,,,,83.0,1
5425,2026-05-11,bull,77.4,80.3,72.3,80.3,37393342,10238542.35,3.652213442277748,1.0,74.9,False,False,,,0.0,7.20961281708945,83.0,,,,,,,83.0,2
5483,2026-05-11,bull,151.0,163.5,150.0,163.5,33877465,20242501.55,1.6735809512634074,1.0,158.0,False,False,,,0.0,3.4810126582278444,83.0,,,,,,,83.0,3
2492,2026-05-11,bull,158.5,171.5,151.5,171.5,30310516,16602134.2,1.825699975368227,1.0,164.5,False,False,,,0.0,4.255319148936176,83.0,,,,,,,83.0,4
6173,2026-05-11,bull,120.0,134.0,115.5,134.0,29078982,13253082.7,2.194129672185627,1.0,122.0,False,False,,,0.0,9.836065573770503,83.0,,,,,,,83.0,5
2855,2026-05-11,bull,40.7,44.0,40.7,43.7,20966805,8046751.9,2.6056233944531084,0.9090909090909098,40.55,False,False,,,0.0,7.768187422934658,83.0,,,,,,,83.0,6
2472,2026-05-11,bull,219.0,228.0,203.5,225.0,16591811,5446341.15,3.0464141968043994,0.8775510204081632,221.5,False,False,,,0.0,1.5801354401805856,83.0,,,,,,,83.0,7
6016,2026-05-11,bull,23.6,24.05,23.6,24.05,15507962,8147639.3,1.9033687463312225,1.0,22.25,False,False,,,0.0,8.089887640449444,83.0,,,,,,,83.0,8
1809,2026-05-11,bull,36.25,39.6,35.2,39.6,12762844,7980764.8,1.5992006179658371,1.0,37.4,False,False,,,0.0,5.882352941176472,83.0,,,,,,,83.0,9
1721,2026-05-11,bull,28.9,31.35,27.1,31.35,12326720,6537694.75,1.8854841762075234,1.0,30.0,False,False,,,0.0,4.500000000000015,83.0,,,,,,,83.0,10
4749,2026-05-11,bull,1145.0,1190.0,1075.0,1175.0,9112557,3323602.9,2.741770685059879,0.8695652173913043,1085.0,False,False,,,0.0,8.294930875576046,83.0,,,,,,,83.0,11
8213,2026-05-11,bull,39.0,41.8,39.0,41.8,6809218,1128814.7,6.032184024534763,1.0,39.8,False,False,,,0.0,5.025125628140703,83.0,,,,,,,83.0,12
1560,2026-05-11,bull,584.0,629.0,581.0,629.0,4553067,2865296.3,1.589038802025466,1.0,617.0,False,False,,,0.0,1.944894651539708,83.0,,,,,,,83.0,13
3356,2026-05-11,bull,54.8,59.9,54.3,59.7,3170822,946863.85,3.3487623379010616,0.9642857142857151,57.6,False,False,,,0.0,3.645833333333326,83.0,,,,,,,83.0,14
5464,2026-05-11,bull,52.6,57.6,50.5,57.6,2779145,1350077.65,2.058507523622808,1.0,52.4,False,False,,,0.0,9.92366412213741,83.0,,,,,,,83.0,15
3003,2026-05-11,bull,56.4,59.3,56.0,59.1,2446931,904915.95,2.7040422925466174,0.9393939393939407,57.1,False,False,,,0.0,3.5026269702276736,83.0,,,,,,,83.0,16
6138,2026-05-11,bull,265.0,286.0,254.0,285.0,2370897,887879.75,2.670290655913709,0.96875,274.0,False,False,,,0.0,4.014598540145986,83.0,,,,,,,83.0,17
6432,2026-05-11,bull,44.35,48.6,42.7,48.6,3042570,1458460.3,2.086152087924505,1.0,47.9,False,False,,,0.0,1.4613778705636848,77.0,,,,,,,77.0,18
2302,2026-05-11,bull,20.0,21.5,19.95,21.5,4993779,1420629.4,3.515187704829986,1.0,20.65,False,False,,,3.0,4.1162227602905554,75.0,,,,,,,75.0,19
5009,2026-05-11,bull,38.55,40.15,38.5,40.15,18608056,4089940.95,4.549712630936639,1.0,37.15,False,False,,,4.0,8.075370121130554,67.0,,,,,,,67.0,20
4966,2026-05-11,bull,700.0,735.0,695.0,735.0,7155634,2628082.35,2.7227586685021494,1.0,669.0,False,False,,,13.0,9.865470852017943,67.0,,,,,,,67.0,21
6206,2026-05-11,bull,128.0,130.5,127.0,130.5,5058880,1404370.9,3.602239265994475,1.0,123.5,False,False,,,4.0,5.668016194331993,67.0,,,,,,,67.0,22
3032,2026-05-11,bull,71.0,77.7,70.7,77.7,4040512,836824.05,4.828388954643452,1.0,76.3,False,False,,,32.0,1.8348623853211121,67.0,,,,,,,67.0,23
