策略,樣本數,均報,中位數,勝率,平均持有(日),被停損出%,最大虧損
A 固定停損 (prior_high_60×0.995),60,+35.2%,-6.2%,43.3%,25.6,56.7%,-20.1%
B Rolling Min N=5,60,+6.4%,-4.6%,41.7%,8.9,98.3%,-15.8%
C Rolling Min N=10,60,+22.9%,-5.0%,45.0%,17.6,88.3%,-20.1%
D Rolling Min N=20,60,+33.1%,-5.0%,43.3%,23.5,68.3%,-20.1%
