variant,ticker,trade_date,open,high,low,close,volume,key_level,stop_price,actual_entry_open,actual_ret_10d_net,actual_ret_10d_stop_net,actual_stop_hit_10d
base_signal,1533,2025-04-11,25.55,27.45,25.5,26.75,205786,25.6,25.3725,26.8,0.08183656716417911,0.08183656716417911,False
base_signal,1536,2025-04-11,48.9,51.5,46.5,51.5,9507255,47.25,46.2675,52.1,0.13618454894433776,0.13618454894433776,False
base_signal,1536,2025-11-05,57.1,57.7,56.0,57.1,1278435,56.9,55.72,57.7,-0.03531273830155988,-0.040165424610052104,True
base_signal,1538,2026-02-25,25.5,25.5,23.0,23.8,102036,23.1,22.885,23.3,-0.2547770386266095,-0.023661158798283212,True
base_signal,1538,2026-03-02,22.95,23.0,22.95,23.0,13020,23.0,22.83525,23.0,-0.24498043478260864,-0.013013043478260912,True
base_signal,1538,2026-03-17,17.5,17.6,16.25,17.6,111840,16.5,16.16875,17.45,-0.2665949856733524,-0.0792740687679083,True
base_signal,1539,2025-04-11,16.65,17.7,15.8,17.45,304174,15.95,15.721,17.9,0.04442932960893877,0.04442932960893877,False
base_signal,1563,2025-11-21,41.35,41.35,40.5,40.85,493433,40.75,40.2975,41.0,0.01610121951219514,0.01610121951219514,False
base_signal,1569,2026-01-09,51.9,52.0,50.4,51.1,541102,51.0,50.147999999999996,51.1,0.09786819960861051,-0.02448013698630145,True
base_signal,1569,2026-01-13,50.1,50.3,48.6,49.9,1484910,49.7,48.357,50.1,0.10991846307385225,0.10991846307385225,False
base_signal,1570,2025-04-11,19.6,22.0,19.6,21.8,155046,19.7,19.502000000000002,23.15,0.0006294816414688315,0.0006294816414688315,False
base_signal,1582,2025-04-11,71.3,73.8,69.4,73.7,2409379,70.8,69.05300000000001,75.0,0.03281666666666685,0.03281666666666685,False
base_signal,1583,2026-03-09,42.85,44.8,42.85,43.85,36081,43.55,42.63575,44.95,-0.034771023359288146,-0.05733498331479423,True
base_signal,1589,2025-09-12,19.75,20.15,19.5,19.75,915624,19.65,19.4025,19.85,0.17551020151133492,-0.028394080604534057,True
base_signal,1589,2026-03-10,5.99,7.31,5.99,7.31,9205657,6.65,5.96005,6.58,0.18108009118541016,0.18108009118541016,False
base_signal,1591,2025-04-11,36.0,36.0,33.35,34.75,253072,33.8,33.18325,35.55,0.07994465541490872,0.07994465541490872,False
base_signal,1591,2026-03-24,41.0,42.05,40.4,40.7,188858,40.5,40.198,40.7,0.18456769041769042,-0.01818415233415236,True
base_signal,1593,2025-09-19,28.4,28.4,27.55,27.8,201926,27.6,27.41225,28.05,-0.0076325311942959445,-0.0076325311942959445,False
base_signal,1604,2025-04-11,25.2,25.65,24.6,25.5,1392739,25.1,24.477,25.55,-0.021505577299413027,-0.021505577299413027,False
base_signal,1609,2025-04-11,31.0,33.3,29.0,33.25,8938633,29.1,28.855,33.8,0.02077721893491149,0.02077721893491149,False
base_signal,1609,2026-02-06,38.0,38.0,36.7,37.65,7490059,37.05,36.5165,38.3,-0.022821279373368066,-0.022821279373368066,False
base_signal,1612,2025-11-10,38.0,38.1,35.25,35.45,6228412,35.45,35.07375,35.5,-0.03261056338028177,-0.01785704225352123,True
base_signal,1616,2025-11-11,30.9,31.1,30.2,30.3,1784522,30.25,30.049,30.45,-0.040332758620689725,-0.019019129720853824,True
base_signal,1616,2026-03-13,25.75,25.95,25.3,25.5,807254,25.4,25.1735,25.5,-0.07643823529411772,-0.01865392156862742,True
base_signal,1623,2026-02-06,222.0,226.5,215.0,223.5,289946,218.0,213.925,227.0,-0.10496894273127752,-0.06344911894273117,True
base_signal,1623,2026-03-05,211.5,217.5,199.0,203.5,404648,200.0,198.005,206.0,-0.030121844660194165,-0.044660679611650524,True
base_signal,1709,2025-09-02,16.7,16.75,16.6,16.7,307837,16.7,16.517000000000003,16.7,-0.03579011976047906,-0.016808083832335098,True
base_signal,1713,2025-08-12,44.2,45.05,43.5,44.7,560313,44.0,43.2825,45.05,0.16396132075471717,0.16396132075471717,False
base_signal,1736,2025-04-11,165.0,181.5,157.5,179.5,2937581,158.0,156.7125,181.0,-0.033474309392265235,-0.033474309392265235,False
base_signal,1736,2025-05-09,165.5,167.0,155.0,161.0,1354264,157.5,154.225,164.5,-0.10615395136778114,-0.0683120060790274,True
base_signal,1777,2025-07-25,78.3,79.3,78.3,78.7,44457,78.5,77.9085,78.4,-0.06962551020408167,-0.012119132653061283,True
base_signal,1784,2025-07-09,64.6,65.1,63.4,64.7,139884,64.3,63.083,64.7,0.04360904173106652,0.04360904173106652,False
base_signal,1784,2026-03-12,88.9,88.9,85.8,87.3,350954,87.0,85.371,86.0,-0.06398953488372092,-0.013163953488372161,True
base_signal,1785,2025-04-11,46.3,48.6,46.3,48.6,14229051,46.75,46.0685,49.95,0.04319904904904894,0.04319904904904894,False
base_signal,1786,2025-04-11,89.5,91.2,83.5,90.0,2106883,83.9,83.0825,90.5,0.020669337016574606,0.020669337016574606,False
base_signal,1786,2025-11-14,74.6,75.4,72.8,74.4,1328615,74.3,72.43599999999999,75.1,0.07404347536617842,0.07404347536617842,False
base_signal,1799,2025-11-11,35.1,35.5,34.35,35.0,178851,35.0,34.17825,35.6,-0.05219831460674149,-0.04578679775280912,True
base_signal,1815,2025-04-11,22.25,25.25,22.2,25.25,41718136,22.45,22.089,26.1,0.07844118773946365,0.07844118773946365,False
