ticker,signal_date,strength_pct,prior_high_60,entry_open,A_fixed_ret,A_fixed_days,A_fixed_stopped,B_roll5_ret,B_roll5_days,B_roll5_stopped,C_roll10_ret,C_roll10_days,C_roll10_stopped,D_roll20_ret,D_roll20_days,D_roll20_stopped,E1_trail10_ret,E1_trail10_days,E1_trail10_stopped,E2_trail15_ret,E2_trail15_days,E2_trail15_stopped,E3_trail20_ret,E3_trail20_days,E3_trail20_stopped,E4_trail25_ret,E4_trail25_days,E4_trail25_stopped,F_fixed_close_ret,F_fixed_close_days,F_fixed_close_stopped,G_trail25_close_ret,G_trail25_close_days,G_trail25_close_stopped,H_dynamic_close_ret,H_dynamic_close_days,H_dynamic_close_stopped
3026,2026-05-08,10.000000000000009,300.0,329.0,-0.012158054711246202,2,False,-0.012158054711246202,2,False,-0.012158054711246202,2,False,-0.012158054711246202,2,False,-0.012158054711246202,2,False,-0.012158054711246202,2,False,-0.012158054711246202,2,False,-0.012158054711246202,2,False,-0.012158054711246202,2,False,-0.012158054711246202,2,False,-0.012158054711246202,2,False
8103,2026-04-28,9.871244635193133,116.5,126.0,-0.08001984126984119,2,True,-0.08001984126984119,2,True,-0.08001984126984119,2,True,-0.08001984126984119,2,True,-0.08001984126984119,2,True,-0.08001984126984119,2,True,-0.08001984126984119,2,True,-0.08001984126984119,2,True,-0.08333333333333337,7,True,-0.08333333333333337,7,True,-0.08333333333333337,7,True
3221,2026-04-16,9.98796630565586,41.55,45.55,-0.09237650933040609,5,True,-0.09237650933040609,5,True,-0.09237650933040609,5,True,-0.09237650933040609,5,True,0.05905598243688259,4,True,0.00021953896816695462,4,True,-0.05861690450054868,5,True,-0.09237650933040609,5,True,-0.1097694840834248,6,True,-0.1097694840834248,6,True,-0.1097694840834248,6,True
6426,2026-04-13,9.898477157360407,197.0,210.0,-0.06659523809523815,1,True,-0.06659523809523815,1,True,-0.06659523809523815,1,True,-0.06659523809523815,1,True,-0.06659523809523815,1,True,-0.06659523809523815,1,True,-0.06659523809523815,1,True,-0.06659523809523815,1,True,0.3142857142857143,20,False,0.3142857142857143,20,False,0.3142857142857143,20,False
6640,2026-03-27,9.652509652509655,1295.0,1395.0,0.021505376344086002,29,False,0.14121863799283152,12,True,0.08772401433691757,16,True,-0.0335304659498209,26,True,0.13548387096774195,12,True,0.07240143369175622,14,True,0.00931899641577072,16,True,-0.053763440860215006,19,True,0.021505376344086002,29,False,0.021505376344086002,29,False,0.021505376344086002,29,False
2451,2026-03-18,10.000000000000009,285.0,307.0,-0.0895765472312704,2,True,-0.0895765472312704,2,True,-0.0895765472312704,2,True,-0.0895765472312704,2,True,-0.0895765472312704,2,True,-0.0895765472312704,2,True,-0.0895765472312704,2,True,-0.0895765472312704,2,True,-0.1140065146579805,2,True,-0.1140065146579805,2,True,-0.1140065146579805,2,True
8271,2026-03-16,9.798270893371752,173.5,186.0,-0.08870967741935487,4,True,-0.08870967741935487,4,True,-0.08870967741935487,4,True,-0.08870967741935487,4,True,-0.08870967741935487,4,True,-0.08870967741935487,4,True,-0.08870967741935487,4,True,-0.08870967741935487,4,True,-0.08870967741935487,4,True,-0.08870967741935487,4,True,-0.08870967741935487,4,True
3167,2026-03-13,10.000000000000009,355.0,366.5,-0.03622100954979535,1,True,-0.03622100954979535,1,True,-0.03622100954979535,1,True,-0.03622100954979535,1,True,-0.03622100954979535,1,True,-0.03622100954979535,1,True,-0.03622100954979535,1,True,-0.03622100954979535,1,True,-0.096862210095498,1,True,-0.096862210095498,1,True,-0.096862210095498,1,True
8039,2026-03-12,9.871244635193133,116.5,125.5,-0.07635458167330678,4,True,-0.07635458167330678,4,True,-0.07635458167330678,4,True,-0.07635458167330678,4,True,-0.07635458167330678,4,True,-0.07635458167330678,4,True,-0.07635458167330678,4,True,-0.07635458167330678,4,True,-0.12749003984063745,6,True,-0.12749003984063745,6,True,-0.12749003984063745,6,True
4764,2026-03-12,9.731543624161066,149.0,160.5,-0.07629283489096572,5,True,-0.07629283489096572,5,True,-0.07629283489096572,5,True,-0.07629283489096572,5,True,-0.07629283489096572,5,True,-0.07629283489096572,5,True,-0.07629283489096572,5,True,-0.07629283489096572,5,True,-0.10591900311526481,5,True,-0.10591900311526481,5,True,-0.10591900311526481,5,True
6223,2026-03-12,9.893455098934556,3285.0,3600.0,0.5888888888888888,40,False,0.012965277777777784,9,True,-0.010527777777777803,12,True,0.5888888888888888,40,False,-0.040277777777777746,10,True,0.5888888888888888,40,False,0.5888888888888888,40,False,0.5888888888888888,40,False,0.5888888888888888,40,False,0.5888888888888888,40,False,0.5888888888888888,40,False
2485,2026-03-03,9.898989898989896,49.5,54.0,0.24444444444444446,47,False,0.45012037037037045,21,True,0.3616759259259259,22,True,0.2879722222222223,32,True,-0.06333333333333324,4,True,0.2828703703703701,24,True,0.20740740740740748,34,True,0.13194444444444442,35,True,0.24444444444444446,47,False,0.12037037037037046,35,True,0.12037037037037046,35,True
3615,2026-03-03,9.89180834621328,32.35,35.5,-0.09328873239436608,2,True,-0.09328873239436608,2,True,-0.09328873239436608,2,True,-0.09328873239436608,2,True,-0.09328873239436608,2,True,-0.09328873239436608,2,True,-0.09328873239436608,2,True,-0.09328873239436608,2,True,-0.1676056338028169,3,True,-0.1676056338028169,3,True,-0.1676056338028169,3,True
2467,2026-03-03,9.915014164305958,353.0,374.0,-0.06086898395721918,4,True,-0.06086898395721918,4,True,-0.06086898395721918,4,True,-0.06086898395721918,4,True,-0.053475935828877,3,True,-0.06086898395721918,4,True,-0.06086898395721918,4,True,-0.06086898395721918,4,True,0.6737967914438503,47,False,0.6737967914438503,47,False,0.6737967914438503,47,False
3357,2026-03-02,9.809264305177102,183.5,196.0,-0.1428571428571429,1,True,-0.1428571428571429,1,True,-0.1428571428571429,1,True,-0.1428571428571429,1,True,-0.1428571428571429,1,True,-0.1428571428571429,1,True,-0.1428571428571429,1,True,-0.1428571428571429,1,True,-0.1658163265306123,1,True,-0.1658163265306123,1,True,-0.1658163265306123,1,True
