ticker,trade_date,open,high,low,close,volume,short_entry,cover_signal,market_regime,ret_5d_short,ret_10d_short,ret_20d_short,ret_close_basis_5d_short,ret_close_basis_10d_short,ret_close_basis_20d_short
1101,2025-06-02,29.05,29.05,27.65,27.7,93266178,True,False,bear,0.02941176470588247,0.04477611940298498,0.0980392156862746,0.018382352941176405,0.033582089552238736,0.08627450980392148
1101,2025-06-19,26.45,26.55,26.05,26.05,25906906,True,False,range,0.007751937984496138,0.02564102564102555,0.09936575052854124,0.009689922480620172,0.027613412228796763,0.10147991543340384
1101,2025-07-08,24.75,25.05,24.2,24.35,27641539,True,False,range,0.04282655246252687,0.025263157894736876,-0.004089979550102152,0.04282655246252687,0.025263157894736876,-0.004089979550102152
1101,2025-08-29,22.8,22.8,22.35,22.45,41530248,True,False,bull,-0.015452538631346435,-0.0022371364653244186,-0.06302521008403361,-0.008830022075055122,0.004474272930648615,-0.05672268907563027
1101,2025-11-03,22.1,22.15,21.5,21.5,44983386,True,False,range,-0.01826484018264829,0.0,-0.05701754385964919,-0.01826484018264829,0.0,-0.05701754385964919
1101,2025-11-18,21.35,21.35,20.85,20.85,34186331,True,False,bear,-0.01650943396226401,-0.08552631578947367,-0.06502242152466364,-0.01650943396226401,-0.08552631578947367,-0.06502242152466364
1102,2025-07-14,41.15,41.3,40.3,40.3,29493568,True,False,range,0.02281368821292773,-0.008599508599508643,0.020227560050569027,0.02154626108998725,-0.00982800982801002,0.01896333754740831
1102,2025-08-19,39.0,39.0,38.3,38.3,8674793,True,False,bull,0.021333333333333204,0.05509641873278248,0.05655172413793097,0.021333333333333204,0.05509641873278248,0.05655172413793097
1102,2025-09-01,37.05,37.05,36.3,36.35,5889823,True,False,bull,0.0027548209366392573,-0.010869565217391242,-0.04587155963302747,0.0013774104683197397,-0.012228260869565077,-0.047182175622542566
1102,2025-11-03,36.1,36.1,35.45,35.45,8469785,True,False,range,-0.04832214765100662,-0.05843293492695867,-0.09102564102564092,-0.04832214765100662,-0.05843293492695867,-0.09102564102564092
1102,2026-02-02,35.25,35.25,34.6,34.6,10349074,True,False,range,-0.015558698727015652,-0.027932960893854775,0.0014388489208632116,-0.021216407355021172,-0.03351955307262555,-0.004316546762589857
1103,2025-06-20,14.3,14.3,14.05,14.05,2554544,True,False,range,-0.04421768707482987,-0.03436426116838487,-0.02430555555555558,-0.04421768707482987,-0.03436426116838487,-0.02430555555555558
1104,2026-03-04,29.5,29.55,28.8,28.8,1270580,True,False,range,-0.020270270270270285,-0.013605442176870652,-0.020270270270270285,-0.027027027027027084,-0.020408163265306034,-0.027027027027027084
1109,2025-06-03,17.25,17.25,16.8,16.8,157175,True,False,bear,-0.0029325513196480912,0.0,0.00591715976331364,-0.014662756598240456,-0.0117647058823529,-0.005917159763313529
1109,2025-08-20,16.0,16.0,15.75,15.75,280021,True,False,bull,0.00952380952380949,0.0,0.01273885350318471,0.0,-0.009433962264150941,0.0031847133757962887
1110,2026-04-02,15.0,15.1,14.4,14.4,422179,True,False,range,-0.05280528052805289,-0.0741935483870968,-0.04651162790697683,-0.04950495049504955,-0.07096774193548383,-0.04318936877076418
1201,2025-06-03,16.2,16.2,15.85,15.9,581656,True,False,bear,-0.006230529595015688,0.0031446540880502027,-0.0031250000000000444,-0.009345794392523366,0.0,-0.006249999999999978
1201,2025-06-20,15.75,15.75,15.5,15.5,2671395,True,False,range,-0.04024767801857576,-0.051987767584097955,-0.043209876543209846,-0.04024767801857576,-0.051987767584097955,-0.043209876543209846
1201,2026-04-20,13.4,13.4,13.1,13.15,867932,True,False,bull,0.03543307086614189,0.06477732793522284,,0.03543307086614189,0.06477732793522284,
1210,2025-08-08,58.0,58.1,56.8,57.1,9332665,True,False,bull,0.04972375690607733,0.06542056074766345,0.0734463276836157,0.05156537753222845,0.06728971962616814,0.07532956685499048
