date,ticker,market_value
2024-12-31,00685L,1935634500
2024-12-31,00686R,174218240
2024-12-31,00687B,252230256860
2024-12-31,00688L,15685607850
2024-12-31,00689R,252380240
2024-12-31,00690,2825982000
2024-12-31,00692,31168172200
2024-12-31,00693U,668943420
2024-12-31,00694B,7870320640
2024-12-31,00695B,1172119960
2024-12-31,00696B,32995384620
2024-12-31,00697B,1816670160
2024-12-31,00700,993377110
2024-12-31,00701,4664199900
2024-12-31,00702,155318800
2024-12-31,00703,253606500
2024-12-31,00706L,5112704680
2024-12-31,00707R,0
2024-12-31,00708L,1803306560
2024-12-31,00709,243055800
2024-12-31,00710B,5837031070
2024-12-31,00711B,15260374710
2024-12-31,00712,35556422080
2024-12-31,00713,117595012800
2024-12-31,00714,595336280
2024-12-31,00715L,7358467680
2024-12-31,00717,2619316050
2024-12-31,00718B,6412791060
2024-12-31,00719B,13425702900
2024-12-31,00720B,152423721870
2024-12-31,00722B,59501831030
2024-12-31,00723B,50614172120
2024-12-31,00724B,100557702000
2024-12-31,00725B,127757674440
2024-12-31,00726B,39686609790
2024-12-31,00727B,3676159050
2024-12-31,00728,1587062120
2024-12-31,00730,2037126000
2024-12-31,00731,4404015000
2024-12-31,00733,7488706500
2024-12-31,00734B,467972190
2024-12-31,00735,730633420
2024-12-31,00736,121632290
2024-12-31,00737,609529440
2024-12-31,00738U,1582740180
2024-12-31,00739,783763280
2024-12-31,00740B,67133064340
2024-12-31,00741B,797672640
2024-12-31,00746B,87726704040
2024-12-31,00749B,29934190000
2024-12-31,00750B,5224450000
2024-12-31,00751B,158082137430
2024-12-31,00752,8249671680
2024-12-31,00753L,10697335320
2024-12-31,00754B,29775750000
2024-12-31,00755B,7424980200
2024-12-31,00756B,39909930000
2024-12-31,00757,43471373000
2024-12-31,00758B,293930000
2024-12-31,00759B,2725418750
2024-12-31,00760B,23295504000
2024-12-31,00761B,101567625620
2024-12-31,00762,3007898400
2024-12-31,00763U,713255100
2024-12-31,00764B,42649530000
2024-12-31,00768B,26319440000
2024-12-31,00770,3901178600
2024-12-31,00771,311251000
2024-12-31,00772B,126954193100
2024-12-31,00773B,100904209000
2024-12-31,00775B,0
2024-12-31,00777B,61583207000
2024-12-31,00778B,54326618500
2024-12-31,00779B,35663374500
2024-12-31,00780B,11547292320
2024-12-31,00781B,215470720
2024-12-31,00782B,627049020
2024-12-31,00783,299116900
2024-12-31,00784B,98323920
2024-12-31,00785B,34983450460
2024-12-31,00786B,1415737960
2024-12-31,00787B,621122580
2024-12-31,00788B,1254592000
2024-12-31,00789B,21652560000
2024-12-31,00790B,117915000
2024-12-31,00791B,14721480000
2024-12-31,00792B,59808933300
2024-12-31,00793B,129878760
2024-12-31,00794B,1348915590
2024-12-31,00795B,68824351800
2024-12-31,00799B,259482440
2024-12-31,00830,32000576700
2024-12-31,00834B,712787420
2024-12-31,00836B,12759213940
2024-12-31,00840B,1892877350
2024-12-31,00841B,2200312400
2024-12-31,00842B,326510810
2024-12-31,00844B,6314870500
2024-12-31,00845B,7698404110
2024-12-31,00846B,2710057500
2024-12-31,00847B,255608350
2024-12-31,00848B,4833070740
2024-12-31,00849B,18468643900
2024-12-31,00850,19561320240
2024-12-31,00851,332448750
2024-12-31,00852L,681050250
2024-12-31,00853B,3143455380
2024-12-31,00856B,305680160
2024-12-31,00857B,22308641040
2024-12-31,00858,1358988840
2024-12-31,00859B,194424100
2024-12-31,00860B,164754500
2024-12-31,00861,4168535040
2024-12-31,00862B,24237330630
2024-12-31,00863B,17045449960
2024-12-31,00864B,6471907220
2024-12-31,00865B,767853880
2024-12-31,00867B,17800180000
2024-12-31,00870B,17599074300
2024-12-31,00875,571192680
2024-12-31,00876,3946597600
2024-12-31,00877,3398774480
2024-12-31,00878,377099702200
2024-12-31,00881,61911388730
2024-12-31,00882,39540064350
2024-12-31,00883B,317330160
2024-12-31,00884B,2304019600
2024-12-31,00885,19115650320
2024-12-31,00886,245300790
2024-12-31,00887,3752354760
2024-12-31,00888,5925834800
2024-12-31,00890B,746940480
2024-12-31,00891,19593017500
2024-12-31,00892,6276170880
2024-12-31,00893,13565144320
2024-12-31,00894,1844590800
2024-12-31,00895,6803702080
2024-12-31,00896,3754960000
2024-12-31,00897,1608728480
2024-12-31,00898,1567832000
2024-12-31,00899,468199200
2024-12-31,00900,26989723250
2024-12-31,00901,1713317320
2024-12-31,00902,4889221380
2024-12-31,00903,1814971690
2024-12-31,00904,1952765880
2024-12-31,00905,7268853950
2024-12-31,00907,4940932140
2024-12-31,00908,507358400
2024-12-31,00909,4303922280
2024-12-31,00910,470648570
2024-12-31,00911,811139490
2024-12-31,00912,1525445610
2024-12-31,00913,266554080
2024-12-31,00915,40851542140
2024-12-31,00916,1948081540
2024-12-31,00917,678085200
2024-12-31,00918,64626760200
2024-12-31,00919,306140876300
2024-12-31,00920,158903200
2024-12-31,00921,2831101800
2024-12-31,00922,20225172940
2024-12-31,00923,18887716770
2024-12-31,00924,5138012080
2024-12-31,00925,107083620
2024-12-31,00926,2590478100
2024-12-31,00927,14902083340
2024-12-31,00928,767629440
2024-12-31,00929,234468387560
2024-12-31,00930,8735022000
2024-12-31,00931B,34813367120
2024-12-31,00932,7071462540
2024-12-31,00933B,76436955660
2024-12-31,00934,23547427940
2024-12-31,00935,8929466000
2024-12-31,00936,17048000490
2024-12-31,00937B,253110620950
2024-12-31,00938,3592399440
2024-12-31,00939,42785300880
2024-12-31,00940,154219219650
2024-12-31,00941,17175558660
2024-12-31,00942B,12181327620
2024-12-31,00943,2534947180
2024-12-31,00944,2607516120
2024-12-31,00945B,11568744460
2024-12-31,00946,13266775500
2024-12-31,00947,3071314400
2024-12-31,00948B,35419654270
2024-12-31,00949,5657246880
2024-12-31,00950B,16377768820
2024-12-31,00951,3055752260
2024-12-31,00952,3686744750
2024-12-31,00953B,16302547750
2024-12-31,00954,880812030
2024-12-31,00955,621594500
2024-12-31,00956,366516200
2024-12-31,00957B,3132076650
2024-12-31,00958B,2572979920
2024-12-31,00959B,7027376400
2024-12-31,00960,3479803250
2024-12-31,00961,687763620
2024-12-31,00962,1141139200
2024-12-31,00963,717891340
2024-12-31,00964,270499840
2024-12-31,00965,14950008600
2024-12-31,00966B,3944344320
2024-12-31,00967B,1945131270
2024-12-31,00968B,5341877030
2024-12-31,00969B,2178006310
2024-12-31,00970B,4300062520
2024-12-31,1101,239372461221
2024-12-31,1101B,9320000000
2024-12-31,1102,143281140392
2024-12-31,1103,13434206803
2024-12-31,1104,19639099938
2024-12-31,1108,5848464808
2024-12-31,1109,6038511964
2024-12-31,1110,11726016339
2024-12-31,1201,9058526161
2024-12-31,1203,9588000000
2024-12-31,1210,46080511933
2024-12-31,1213,877650719
2024-12-31,1215,26619545849
2024-12-31,1216,459675047559
2024-12-31,1217,5785806031
2024-12-31,1218,9874981001
2024-12-31,1219,5192355933
2024-12-31,1220,3160841300
2024-12-31,1225,9403684454
2024-12-31,1227,33538033510
2024-12-31,1229,86719243712
2024-12-31,1231,37578131625
2024-12-31,1232,23516312505
2024-12-31,1233,2731347232
2024-12-31,1234,16516901963
2024-12-31,1235,11707540677
2024-12-31,1236,1971833682
2024-12-31,1240,2157878365
2024-12-31,1256,4450244040
2024-12-31,1259,2056733250
2024-12-31,1264,0
2024-12-31,1268,6375783230
2024-12-31,1294,2572391112
2024-12-31,1301,225983797726
2024-12-31,1303,237131565511
2024-12-31,1304,12779207625
2024-12-31,1305,6943553403
2024-12-31,1307,14659597943
2024-12-31,1308,8074917298
2024-12-31,1309,5446939818
2024-12-31,1310,5035877549
2024-12-31,1312,11564182428
2024-12-31,1312A,452000000
2024-12-31,1313,12173025608
2024-12-31,1314,27818648456
2024-12-31,1315,6927020100
2024-12-31,1316,4499945310
2024-12-31,1319,66245431616
2024-12-31,1321,7430364364
2024-12-31,1323,2227099118
2024-12-31,1324,954047901
2024-12-31,1325,2464626622
2024-12-31,1326,160010385744
2024-12-31,1336,1933674549
2024-12-31,1337,1764343022
2024-12-31,1338,2276256000
2024-12-31,1339,4054575963
2024-12-31,1340,1391597981
2024-12-31,1341,3556847668
2024-12-31,1342,7848021700
2024-12-31,1402,169150857173
2024-12-31,1409,23871536969
2024-12-31,1410,2236500000
2024-12-31,1413,1440025749
2024-12-31,1414,5434000000
2024-12-31,1416,2400181076
2024-12-31,1417,1855731777
2024-12-31,1418,1608410945
2024-12-31,1419,13261824576
2024-12-31,1423,3667046400
2024-12-31,1432,2262600000
2024-12-31,1434,30913596089
2024-12-31,1435,5004126864
2024-12-31,1436,14190652380
2024-12-31,1437,6833275142
2024-12-31,1438,6082955017
2024-12-31,1439,2967000000
2024-12-31,1440,23278262791
2024-12-31,1441,1022357515
2024-12-31,1442,27868684344
2024-12-31,1443,4243003395
2024-12-31,1444,8820972223
2024-12-31,1445,2175589466
2024-12-31,1446,5597891703
2024-12-31,1447,6479707243
2024-12-31,1449,2336890294
2024-12-31,1451,4020940000
2024-12-31,1452,2036045490
2024-12-31,1453,1632678884
2024-12-31,1454,1934524335
2024-12-31,1455,5199912356
2024-12-31,1456,1438602000
2024-12-31,1457,6223744932
2024-12-31,1459,3586289070
2024-12-31,1460,5001433085
2024-12-31,1463,4314382687
2024-12-31,1464,6787199190
2024-12-31,1465,1481583918
2024-12-31,1466,1294982778
2024-12-31,1467,2418015303
2024-12-31,1468,2125369483
2024-12-31,1470,1904027400
2024-12-31,1471,2000513329
2024-12-31,1472,1310338566
2024-12-31,1473,5159219750
2024-12-31,1474,1630206961
2024-12-31,1475,3716742969
2024-12-31,1476,139652859499
2024-12-31,1477,79188681873
2024-12-31,1503,100026666816
2024-12-31,1504,111645183355
2024-12-31,1506,3905050513
2024-12-31,1512,685320816
2024-12-31,1513,77479327310
2024-12-31,1514,26881211270
2024-12-31,1515,5489573375
2024-12-31,1516,716146691
2024-12-31,1517,3125737347
2024-12-31,1519,161673558889
2024-12-31,1521,2267842500
2024-12-31,1522,19775146079
2024-12-31,1522A,1425000000
2024-12-31,1524,6290060606
2024-12-31,1525,4418688127
2024-12-31,1526,1476000000
2024-12-31,1527,5819966880
2024-12-31,1528,2783866050
2024-12-31,1529,3737791283
2024-12-31,1530,3052375804
2024-12-31,1531,2567723928
2024-12-31,1532,11877981204
2024-12-31,1533,3882770948
2024-12-31,1535,7560669927
2024-12-31,1536,18867432128
2024-12-31,1537,12719733070
2024-12-31,1538,910860000
2024-12-31,1539,1467556500
2024-12-31,1540,3175344686
2024-12-31,1541,2155180000
2024-12-31,1558,7385455041
2024-12-31,1560,41584902000
2024-12-31,1563,14314605228
2024-12-31,1565,9957261910
2024-12-31,1568,2860652012
2024-12-31,1569,6157385259
2024-12-31,1570,1496099373
2024-12-31,1580,7408960695
2024-12-31,1582,12974974762
2024-12-31,1583,7507225296
2024-12-31,1584,6706774877
2024-12-31,1586,2379675396
2024-12-31,1587,2761920684
2024-12-31,1589,4633130747
2024-12-31,1590,168799998312
2024-12-31,1591,1910546491
2024-12-31,1593,1448165701
2024-12-31,1595,2527820275
2024-12-31,1597,10666785578
2024-12-31,1598,4529550693
2024-12-31,1599,2280580178
2024-12-31,1603,6919936800
2024-12-31,1604,10776810000
2024-12-31,1605,95542590868
2024-12-31,1608,16388833805
2024-12-31,1609,34273008954
2024-12-31,1611,5083087937
2024-12-31,1612,10715114136
2024-12-31,1614,10320499120
2024-12-31,1615,10357621649
2024-12-31,1616,3815018320
2024-12-31,1617,2825868441
2024-12-31,1618,9085415871
2024-12-31,1626,2067539750
2024-12-31,1702,14633114860
2024-12-31,1707,22146537264
2024-12-31,1708,9250411335
2024-12-31,1709,9707281135
2024-12-31,1710,12665553315
2024-12-31,1711,11502796746
2024-12-31,1712,18165279672
2024-12-31,1713,6913587860
2024-12-31,1714,8124430216
2024-12-31,1717,32755780427
2024-12-31,1718,12425125341
2024-12-31,1720,11061287909
2024-12-31,1721,2958145472
2024-12-31,1722,50078000000
2024-12-31,1723,21818902608
2024-12-31,1725,6491330215
2024-12-31,1726,12312000000
2024-12-31,1727,3612831499
2024-12-31,1730,3446244880
2024-12-31,1731,3043759088
2024-12-31,1732,1192675192
2024-12-31,1733,3008500779
2024-12-31,1734,5651561261
2024-12-31,1735,2082178600
2024-12-31,1736,55976306837
2024-12-31,1737,6490000000
2024-12-31,1742,1609219960
2024-12-31,1752,4155675623
2024-12-31,1760,7039172967
2024-12-31,1762,2629284000
2024-12-31,1773,39625000000
2024-12-31,1776,1139026740
2024-12-31,1777,4200539365
2024-12-31,1781,850966510
2024-12-31,1783,4359982129
2024-12-31,1784,4223134685
2024-12-31,1785,37378996436
2024-12-31,1786,7271518280
2024-12-31,1788,6210675455
2024-12-31,1789,17435799845
2024-12-31,1795,71648815084
2024-12-31,1796,1948610271
2024-12-31,1799,7835969333
2024-12-31,1802,47546794080
2024-12-31,1805,1733213994
2024-12-31,1806,3837670042
2024-12-31,1808,37110430238
2024-12-31,1809,3282374062
2024-12-31,1810,5229854339
2024-12-31,1813,853429833
2024-12-31,1815,13616532626
2024-12-31,1817,2991120000
2024-12-31,1903,13470026468
2024-12-31,1904,21057215918
2024-12-31,1905,18251924480
2024-12-31,1906,2068700000
2024-12-31,1907,49313033402
2024-12-31,1909,15401154433
2024-12-31,2002,309190018591
2024-12-31,2002A,1561334359
2024-12-31,2006,49581518242
2024-12-31,2007,4982818646
2024-12-31,2008,5725568790
2024-12-31,2009,13359963430
2024-12-31,2010,11625414251
2024-12-31,2012,7402986150
2024-12-31,2013,10120000000
2024-12-31,2014,25480913917
2024-12-31,2015,40479319910
2024-12-31,2017,4870934132
2024-12-31,2020,7476876960
2024-12-31,2022,2869300854
2024-12-31,2023,30060890792
2024-12-31,2024,1867125000
2024-12-31,2025,2628913900
2024-12-31,2027,73636383604
2024-12-31,2028,6807439320
2024-12-31,2029,7676202000
2024-12-31,2030,4642705747
2024-12-31,2031,14836960954
2024-12-31,2032,1755514780
2024-12-31,2033,1807557606
2024-12-31,2034,10170411125
2024-12-31,2035,10972500000
2024-12-31,2038,2892981770
2024-12-31,2049,116397646960
2024-12-31,2059,147710461600
2024-12-31,2061,1032804936
2024-12-31,2062,6619806431
2024-12-31,2063,1696369693
2024-12-31,2064,1026084000
2024-12-31,2065,2946582757
2024-12-31,2066,3740978621
2024-12-31,2067,496519947
2024-12-31,2069,2637231351
2024-12-31,2070,2640770640
2024-12-31,2073,0
2024-12-31,2101,37944038132
2024-12-31,2102,8969588473
2024-12-31,2103,16638056057
2024-12-31,2104,12506117038
2024-12-31,2105,158991432041
2024-12-31,2106,25925263500
2024-12-31,2107,7832709720
2024-12-31,2108,16742166406
2024-12-31,2109,5042251869
2024-12-31,2114,7331220458
2024-12-31,2115,3193818788
2024-12-31,2201,54249063426
2024-12-31,2204,43957455155
2024-12-31,2206,55106531636
2024-12-31,2207,344846613392
2024-12-31,2208,19181818707
2024-12-31,2211,37204558500
2024-12-31,2221,1218960000
2024-12-31,2227,22680000000
2024-12-31,2228,7857591763
2024-12-31,2230,5817474702
2024-12-31,2231,15007725252
2024-12-31,2233,17031385143
2024-12-31,2235,1679090400
2024-12-31,2236,6614753250
2024-12-31,2239,4170009447
2024-12-31,2241,2897483876
2024-12-31,2243,1172413772
2024-12-31,2247,24091557398
2024-12-31,2250,4200284672
2024-12-31,2254,5119005168
2024-12-31,2258,71655071100
2024-12-31,2301,233551371319
2024-12-31,2302,3109863875
2024-12-31,2303,540738841192
2024-12-31,2305,3054063281
2024-12-31,2308,1118242403135
2024-12-31,2312,39503315649
2024-12-31,2313,83546623289
2024-12-31,2314,10131538464
2024-12-31,2316,8652764380
2024-12-31,2317,2550790272056
2024-12-31,2321,467701303
2024-12-31,2323,11056885529
2024-12-31,2324,165929070431
2024-12-31,2327,280679676187
2024-12-31,2328,21252197562
2024-12-31,2329,19442699155
2024-12-31,2330,27877688235150
2024-12-31,2331,12430086186
2024-12-31,2332,15331779188
2024-12-31,2337,36745363532
2024-12-31,2338,12629988894
2024-12-31,2340,12961305099
2024-12-31,2342,4989318285
2024-12-31,2344,66600002856
2024-12-31,2345,433327100881
2024-12-31,2347,118090645334
2024-12-31,2348,30531669453
2024-12-31,2348A,1068000000
2024-12-31,2349,9642147316
2024-12-31,2351,17194039506
2024-12-31,2352,64762217789
2024-12-31,2353,121304582354
2024-12-31,2354,105237698285
2024-12-31,2355,15422822296
2024-12-31,2356,179732500807
2024-12-31,2357,457540332480
2024-12-31,2359,28807136736
2024-12-31,2360,173956715178
2024-12-31,2362,32687997100
2024-12-31,2363,36667157063
2024-12-31,2364,3256155968
2024-12-31,2365,10566909259
2024-12-31,2367,23339496058
2024-12-31,2368,118779240458
2024-12-31,2369,6746816606
2024-12-31,2371,112063807212
2024-12-31,2373,14833518130
2024-12-31,2374,19012299638
2024-12-31,2375,7498598046
2024-12-31,2376,182544721435
2024-12-31,2377,155031112517
2024-12-31,2379,291306548088
2024-12-31,2380,939324584
2024-12-31,2382,1108574072984
2024-12-31,2383,213347108862
2024-12-31,2385,115528082144
2024-12-31,2387,11910314111
2024-12-31,2388,55783524071
2024-12-31,2390,2263278444
2024-12-31,2392,37194935844
2024-12-31,2393,37688412310
2024-12-31,2395,298145078847
2024-12-31,2397,8529419847
2024-12-31,2399,4550455000
2024-12-31,2401,18144644267
2024-12-31,2402,11824779694
2024-12-31,2404,91862788436
2024-12-31,2405,7177630633
2024-12-31,2406,5158313628
2024-12-31,2408,90634310150
2024-12-31,2409,112334456240
2024-12-31,2412,958044648308
2024-12-31,2413,3317707160
2024-12-31,2414,5976139510
2024-12-31,2415,2745000000
2024-12-31,2417,7857300370
2024-12-31,2419,9768043762
2024-12-31,2420,9983224195
2024-12-31,2421,26688102094
2024-12-31,2423,5954191213
2024-12-31,2424,3646487500
2024-12-31,2425,3261660488
2024-12-31,2426,6884249571
2024-12-31,2427,5195901823
2024-12-31,2428,19409077989
2024-12-31,2429,2723175000
2024-12-31,2430,3521520000
2024-12-31,2431,1541885495
2024-12-31,2432,1800126000
2024-12-31,2433,7239250151
2024-12-31,2434,1226550000
2024-12-31,2436,9861842308
2024-12-31,2438,2102559422
2024-12-31,2439,27377331912
2024-12-31,2440,1787656932
2024-12-31,2441,33391255563
2024-12-31,2442,6597842756
2024-12-31,2444,1924743408
2024-12-31,2449,136336074748
2024-12-31,2450,8328648188
2024-12-31,2451,37225414855
2024-12-31,2453,5820000000
2024-12-31,2454,2266388505850
2024-12-31,2455,30786835347
2024-12-31,2457,16148755179
2024-12-31,2458,45885939192
2024-12-31,2459,7391693050
2024-12-31,2460,3925440000
2024-12-31,2461,3450411080
2024-12-31,2462,3918760331
2024-12-31,2464,17139716739
2024-12-31,2465,6304346928
2024-12-31,2466,12002108790
2024-12-31,2467,32369979362
2024-12-31,2468,1738537038
2024-12-31,2471,2528083115
2024-12-31,2472,13392966638
2024-12-31,2474,131990629192
2024-12-31,2476,17748683598
2024-12-31,2477,4432122170
2024-12-31,2478,6708297563
2024-12-31,2480,14677720158
2024-12-31,2481,19602495755
2024-12-31,2482,2102833197
2024-12-31,2483,2443701277
2024-12-31,2484,4152917623
2024-12-31,2485,4955948977
2024-12-31,2486,26437319427
2024-12-31,2488,4431968588
2024-12-31,2489,12614000000
2024-12-31,2491,1111208400
2024-12-31,2492,44936941595
2024-12-31,2493,11077539352
2024-12-31,2495,8739971639
2024-12-31,2496,1583426476
2024-12-31,2497,7281948856
2024-12-31,2498,40950598411
2024-12-31,2501,27829465416
2024-12-31,2504,58410000000
2024-12-31,2505,8740000000
2024-12-31,2506,4353750000
2024-12-31,2509,3626491059
2024-12-31,2511,16639093007
2024-12-31,2514,7835376168
2024-12-31,2515,16304083104
2024-12-31,2516,2907678172
2024-12-31,2520,28207258090
2024-12-31,2524,25526894360
2024-12-31,2527,10244597400
2024-12-31,2528,16503818833
2024-12-31,2530,32927529600
2024-12-31,2534,12092813235
2024-12-31,2535,14514556631
2024-12-31,2536,10849562055
2024-12-31,2537,3666805099
2024-12-31,2538,6452869678
2024-12-31,2539,52695364003
2024-12-31,2540,57866663685
2024-12-31,2542,89965647381
2024-12-31,2543,30872133485
2024-12-31,2545,21204442078
2024-12-31,2546,8521013345
2024-12-31,2547,10315022209
2024-12-31,2548,34712315772
2024-12-31,2596,4195000000
2024-12-31,2597,38710035000
2024-12-31,2601,5938387682
2024-12-31,2603,483805809000
2024-12-31,2605,14663100090
2024-12-31,2606,49097736867
2024-12-31,2607,33348159188
2024-12-31,2608,18072919273
2024-12-31,2609,264352293239
2024-12-31,2610,155222020032
2024-12-31,2611,4016298280
2024-12-31,2612,8067245624
2024-12-31,2613,5105766955
2024-12-31,2614,4984034962
2024-12-31,2615,227578464362
2024-12-31,2616,2347519242
2024-12-31,2617,12372781540
2024-12-31,2618,239509706257
2024-12-31,2630,8241393327
2024-12-31,2633,156466547012
2024-12-31,2634,42242739480
2024-12-31,2636,11442620154
2024-12-31,2637,50382620933
2024-12-31,2640,7793341714
2024-12-31,2641,5379850386
2024-12-31,2642,3474998800
2024-12-31,2643,2632000000
2024-12-31,2645,36408297506
2024-12-31,2646,83041086000
2024-12-31,2701,5557102799
2024-12-31,2702,2544965296
2024-12-31,2704,20217476199
2024-12-31,2705,3367105808
2024-12-31,2706,7249976017
2024-12-31,2707,24334018458
2024-12-31,2712,2824500000
2024-12-31,2718,6638260800
2024-12-31,2719,3096831605
2024-12-31,2722,4853452694
2024-12-31,2723,17424000000
2024-12-31,2724,2266941110
2024-12-31,2726,807800000
2024-12-31,2727,19972687279
2024-12-31,2729,8097701720
2024-12-31,2731,11519800767
2024-12-31,2732,4721228855
2024-12-31,2734,1503068700
2024-12-31,2736,1220434881
2024-12-31,2739,4594605200
2024-12-31,2740,499647180
2024-12-31,2743,3539950110
2024-12-31,2745,3583703756
2024-12-31,2748,6198634164
2024-12-31,2751,1283800000
2024-12-31,2752,6326445057
2024-12-31,2753,9841229808
2024-12-31,2754,4020673800
2024-12-31,2755,3074280000
2024-12-31,2756,1666457478
2024-12-31,2762,10743750000
2024-12-31,2801,200022786315
2024-12-31,2809,56339577236
2024-12-31,2812,103476687806
2024-12-31,2816,6998930400
2024-12-31,2820,20211548000
2024-12-31,2832,10377041460
2024-12-31,2834,136144545709
2024-12-31,2836,20542762455
2024-12-31,2836A,878000000
2024-12-31,2838,61763611313
2024-12-31,2838A,10700000000
2024-12-31,2845,56435276542
2024-12-31,2849,27504411353
2024-12-31,2850,33650091450
2024-12-31,2851,20690049188
2024-12-31,2852,7529094600
2024-12-31,2855,37487657082
2024-12-31,2867,35963851588
2024-12-31,2880,360325383259
2024-12-31,2881,1234014688022
2024-12-31,2881A,37920000000
2024-12-31,2881B,40332930000
2024-12-31,2881C,17733156000
2024-12-31,2882,1001907051742
2024-12-31,2882A,50831300000
2024-12-31,2882B,42070000000
2024-12-31,2883,289099238936
2024-12-31,2883B,12483103331
2024-12-31,2884,431086810000
2024-12-31,2885,440057376850
2024-12-31,2886,574051739513
2024-12-31,2887,225784911029
2024-12-31,2887E,25800000000
2024-12-31,2887F,13935000000
2024-12-31,2887Z1,4800000000
2024-12-31,2888,202460022696
2024-12-31,2888A,2658750000
2024-12-31,2888B,7847700000
2024-12-31,2889,52806234954
2024-12-31,2890,290734986526
2024-12-31,2891,767154350243
2024-12-31,2891B,20833125000
2024-12-31,2891C,9616282000
2024-12-31,2892,380179122371
2024-12-31,2897,27088633857
2024-12-31,2897B,2975000000
2024-12-31,2901,2005038118
2024-12-31,2903,31881163253
2024-12-31,2904,1381561168
2024-12-31,2905,17174184256
2024-12-31,2906,3669997172
2024-12-31,2908,10248739916
2024-12-31,2910,3972877950
2024-12-31,2911,841007992
2024-12-31,2912,273420653065
2024-12-31,2913,15879000000
2024-12-31,2915,79952679093
2024-12-31,2916,3205493149
2024-12-31,2923,44377573041
2024-12-31,2924,1436191778
2024-12-31,2926,2205988208
2024-12-31,2929,1598610035
2024-12-31,2937,1478447983
2024-12-31,2939,1475776746
2024-12-31,2941,0
2024-12-31,2945,2686500000
2024-12-31,2947,1618562400
2024-12-31,2948,1332800000
2024-12-31,2949,0
2024-12-31,3002,1489200000
2024-12-31,3003,12125515931
2024-12-31,3004,5029239338
2024-12-31,3005,64846655400
2024-12-31,3006,17742678756
2024-12-31,3008,357027426975
2024-12-31,3010,30844355391
2024-12-31,3011,2502367372
2024-12-31,3013,28157107923
2024-12-31,3014,24905268600
2024-12-31,3015,11479157535
2024-12-31,3016,13604746766
2024-12-31,3017,238802227811
2024-12-31,3018,2027791457
2024-12-31,3019,52637475339
2024-12-31,3021,2603413500
2024-12-31,3022,13933565631
2024-12-31,3023,62888687658
2024-12-31,3024,5265992424
2024-12-31,3025,4255233000
2024-12-31,3026,14200211221
2024-12-31,3027,3407096925
2024-12-31,3028,6684345749
2024-12-31,3029,23127313362
2024-12-31,3030,28818352000
2024-12-31,3031,3966353830
2024-12-31,3032,10127734964
2024-12-31,3033,14329579971
2024-12-31,3034,305472757438
2024-12-31,3035,62792625433
2024-12-31,3036,122805831610
2024-12-31,3036A,6723000000
2024-12-31,3037,215038634277
2024-12-31,3038,4493987066
2024-12-31,3040,3383100000
2024-12-31,3041,4437091221
2024-12-31,3042,33644144001
2024-12-31,3043,1473278965
2024-12-31,3044,103807164855
2024-12-31,3045,422590215549
2024-12-31,3046,3816495832
2024-12-31,3047,6580162614
2024-12-31,3048,8310757655
2024-12-31,3049,7282255603
2024-12-31,3050,2673481763
2024-12-31,3051,5686500000
2024-12-31,3052,2670039501
2024-12-31,3054,1988048161
2024-12-31,3055,7151439900
2024-12-31,3056,11835892941
2024-12-31,3057,1051902882
2024-12-31,3058,3288395159
2024-12-31,3059,11666270954
2024-12-31,3060,3356541836
2024-12-31,3062,11115450316
2024-12-31,3064,3079376642
