scan_date,ticker,market_regime,signal_close,key_level,confirm_price,confirm_status,close_pos,ret_5d_past_pct,volume_ratio,reclaim_pct,scanner_score,stop_price_atr14,stop_price_box20,stop_price_simple
2026-05-04,6199,bull,91.2,88.8,88.8,pending_next_close,94.44,-7.879,1.5711442997321063,2.703,45,83.02857142857142,88.356,87.36099999999999
2026-05-04,2880,bull,32.05,32.05,32.05,pending_next_close,50.0,-8.429,1.462130117786163,0.0,10,30.789285714285715,31.889749999999996,31.641000000000002
2026-04-28,4130,bull,27.9,27.9,27.9,pending_next_close,69.23,-12.813,0.1770441554180957,0.0,20,26.11785714285714,27.760499999999997,27.312749999999998
2026-04-27,3050,bull,12.35,12.2,12.2,pending_next_close,100.0,-7.143,1.2539443833126798,1.23,45,11.321428571428571,12.139,11.641499999999999
2026-04-27,2332,bull,14.05,14.05,14.05,pending_next_close,78.57,-7.566,1.6907039721270436,0.0,35,13.04642857142857,13.979750000000001,13.4325
2026-04-27,3060,bull,27.35,26.55,26.55,pending_next_close,100.0,-9.885,0.5479854482367694,3.013,35,24.55,26.41725,25.91975
2026-04-27,2331,bull,20.25,20.05,20.05,pending_next_close,71.43,-7.11,0.9766888930196491,0.998,25,19.042857142857144,19.94975,19.65125
2026-04-27,3543,bull,39.9,39.5,39.5,pending_next_close,53.33,-7.746,1.3651030429164295,1.013,20,36.54642857142858,39.3025,38.5065
2026-04-27,7821,bull,43.25,43.0,43.0,pending_next_close,20.59,-16.506,0.8922369294911836,0.581,20,39.04285714285714,42.785,42.6855
2026-04-27,6869,bull,81.2,80.9,80.9,pending_next_close,50.0,-7.937,1.4703257325384105,0.371,10,78.02857142857142,80.4955,79.8985
2026-04-27,3372,bull,18.3,18.15,18.15,pending_next_close,52.0,-8.5,1.4442355894013603,0.826,10,16.75,18.05925,17.56175
2026-04-27,8011,bull,19.65,19.3,19.3,pending_next_close,45.0,-8.605,0.8934340608957364,1.813,10,18.267857142857142,19.701,19.104
2026-04-27,4533,bull,29.3,29.0,29.0,pending_next_close,60.0,-8.15,0.6162513572935675,1.034,10,26.557142857142857,28.855,27.959500000000002
2026-04-27,6133,bull,21.25,21.05,21.05,pending_next_close,35.0,-7.809,0.6828789160232609,0.95,0,19.907142857142855,21.293,20.795499999999997
2026-04-24,3060,bull,27.0,26.95,26.95,pending_next_close,27.27,-10.744,0.786861295605348,0.186,20,25.075,26.81525,26.41725
2026-04-24,4128,bull,15.6,15.55,15.55,pending_next_close,20.0,-9.038,0.825711312524699,0.322,0,14.910714285714286,15.47225,15.4225
2026-04-24,6550,bull,17.45,17.4,17.4,pending_next_close,25.0,-7.181,0.7123028071728741,0.287,0,16.53214285714286,17.313,17.263250000000003
2026-04-23,3060,bull,27.65,27.1,27.1,pending_next_close,20.59,-10.081,1.5938110494547935,2.03,40,25.42142857142857,28.10875,26.81525
2026-04-20,2020,bull,23.05,23.05,23.05,pending_next_close,40.0,-8.532,1.0762443244684652,0.0,0,22.360714285714284,22.93475,22.83525
2026-04-20,2344,bull,85.7,85.2,85.2,pending_next_close,41.3,-9.216,0.9347278251621923,0.587,0,78.04285714285714,84.774,83.381
2026-04-16,2020,bull,23.4,23.25,23.25,pending_next_close,100.0,-8.415,1.6255069264412516,0.645,35,22.610714285714284,23.73075,23.084
2026-04-15,6806,bull,20.45,18.6,18.6,pending_next_close,100.0,-27.482,5.23556338807888,9.946,65,14.45,18.507,16.66625
2026-04-15,6589,bull,51.5,51.1,51.1,pending_next_close,83.33,-7.706,1.3168953084693877,0.783,35,48.75714285714286,50.844500000000004,50.2475
2026-04-13,3508,bull,26.05,23.15,23.15,pending_next_close,98.94,-27.739,1.6275503652356542,12.527,65,17.52857142857143,23.63125,21.293
2026-04-13,3712,bull,16.95,16.7,16.7,pending_next_close,46.67,-13.959,1.591301612095614,1.497,40,15.571428571428573,16.6165,16.517000000000003
2026-04-13,6890,bull,151.0,150.0,150.0,pending_next_close,57.14,-10.119,0.5851640962144824,0.667,20,140.5,149.25,148.255
2026-04-10,2314,bull,13.65,12.45,12.45,pending_next_close,100.0,-27.394,3.808916842742915,9.639,65,10.085714285714287,12.387749999999999,11.243500000000001
2026-04-10,6550,bull,18.55,18.55,18.55,pending_next_close,31.82,-8.621,0.7506653901727309,0.0,0,17.17142857142857,18.457250000000002,18.108999999999998
