ticker,trade_date,open,high,low,close,volume,avg_volume_20,volume_ratio,close_pos,body_pct,prior_low_20,ma60,ret_10d,ret_20d,is_attention_stock,is_disposition_stock,short_suspension_start,days_to_suspension,short_sale_balance,short_sale_utilization,pre_rank_score,scanner_score,rank_in_date
4123,2026-05-06,38.6,38.65,37.9,38.0,4260762,2591422.0,1.6441791417993672,0.13333333333333522,0.015544041450777238,38.6,41.619166666666665,,,,,,,,,66.0,66.0,1
2884,2026-05-04,32.15,32.15,31.3,31.3,59013659,31670792.3,1.863346468916725,0.0,0.026438569206842857,31.8,33.00666666666667,,,,,,,,,72.0,72.0,1
2915,2026-05-04,44.7,44.95,43.5,43.55,4104230,2345827.25,1.7495874856087548,0.03448275862068763,0.02572706935123055,43.8,48.91833333333333,,,,,,,,,72.0,72.0,2
9945,2026-05-04,23.7,23.7,23.3,23.3,8200104,5539551.4,1.4802830424138675,0.0,0.016877637130801627,23.6,26.758333333333333,,,,,,,,,66.0,66.0,3
2101,2026-04-24,34.35,34.35,33.35,33.4,5487670,1956076.65,2.8054473223224665,0.04999999999999716,0.027656477438136907,33.6,35.19583333333333,0.0029850746268658135,,0.0,,,,,,72.0,72.0,1
9910,2026-04-24,76.1,76.4,72.5,73.0,5056311,1739514.1,2.906737576890006,0.12820512820512803,0.04073587385019704,75.7,86.94166666666666,0.026206896551724146,,0.0,,,,,,72.0,72.0,2
9938,2026-04-24,44.35,44.35,43.15,43.25,2165897,1572771.1,1.3771215658782132,0.08333333333333431,0.02480270574971818,43.7,48.8975,0.04503464203233265,,0.0,,,,,,72.0,72.0,3
3047,2026-04-24,15.2,15.35,14.5,14.75,2144934,1216360.8,1.763402766679097,0.29411764705882365,0.02960526315789469,15.0,16.95,-0.010135135135135198,,0.0,,,,,,72.0,72.0,4
6143,2026-04-24,92.2,92.5,89.0,89.3,1585636,959412.6,1.6527154219154512,0.0857142857142849,0.03145336225596535,89.6,100.885,0.0929451287793952,,0.0,,,,,,72.0,72.0,5
2618,2026-04-23,34.85,34.9,33.6,33.75,64643619,19883776.5,3.2510735070875496,0.11538461538461454,0.03156384505021525,33.85,36.0675,0.054733727810651,,0.0,,,,,,72.0,72.0,1
1319,2026-04-23,78.6,78.7,74.6,75.6,4488514,2376581.8,1.8886427557427228,0.24390243902438974,0.03816793893129771,77.0,92.76,0.049738219895287816,,0.0,,,,,,72.0,72.0,2
2331,2026-04-23,22.15,22.2,20.35,20.75,4066036,1908150.4,2.1308781530009377,0.2162162162162157,0.06320541760722341,20.85,24.453333333333333,-0.02631578947368407,,0.0,,,,,,72.0,72.0,3
2006,2026-04-23,69.2,69.2,66.5,67.2,3629915,2824318.3,1.2852358036273746,0.25925925925926,0.028901734104046242,67.6,72.615,0.0,,0.0,,,,,,72.0,72.0,4
2641,2026-04-23,18.0,18.0,17.2,17.35,3295856,1314127.15,2.5080191060659542,0.1875000000000025,0.03611111111111103,17.6,19.16916666666667,0.037356321839080664,,0.0,,,,,,72.0,72.0,5
9938,2026-04-23,44.9,45.0,43.7,43.95,3179421,1472461.9,2.159255190236162,0.19230769230769273,0.021158129175946453,44.6,49.06666666666667,0.01014656144306647,,0.0,,,,,,72.0,72.0,6
