ticker,signal_date,strength,t1_ret,t1_days,t1_stopped,t1_entry,t2_ret,t2_days,t2_stopped,t2_entry,t3_ret,t3_days,t3_stopped,t3_entry
8103,2026-04-28,9.871244635193133,-0.08333333333333337,7,True,126.0,-0.125,6.0,True,132.0,-0.04938271604938271,5.0,True,121.5
3221,2026-04-16,9.98796630565586,-0.1097694840834248,6,True,45.55,-0.13354700854700852,5.0,True,46.8,-0.21718146718146725,4.0,True,51.8
6426,2026-04-13,9.898477157360407,0.3142857142857143,20,False,210.0,0.3869346733668342,19.0,False,199.0,0.3869346733668342,18.0,False,199.0
6640,2026-03-27,9.652509652509655,0.021505376344086002,29,False,1395.0,0.032608695652173836,28.0,False,1380.0,0.0035211267605634866,27.0,False,1420.0
2451,2026-03-18,10.000000000000009,-0.1140065146579805,2,True,307.0,-0.18805970149253737,1.0,True,335.0,-0.0948121645796064,1.0,True,279.5
8271,2026-03-16,9.798270893371752,-0.08870967741935487,4,True,186.0,-0.12628865979381443,3.0,True,194.0,-0.14393939393939392,2.0,True,198.0
3167,2026-03-13,10.000000000000009,-0.096862210095498,1,True,366.5,-0.016901408450704203,1.0,True,355.0,,,,
8039,2026-03-12,9.871244635193133,-0.12749003984063745,6,True,125.5,-0.14453125,5.0,True,128.0,-0.10612244897959189,4.0,True,122.5
4764,2026-03-12,9.731543624161066,-0.10591900311526481,5,True,160.5,-0.1483679525222552,4.0,True,168.5,-0.10312500000000002,3.0,True,160.0
6223,2026-03-12,9.893455098934556,0.5888888888888888,40,False,3600.0,0.5692729766803841,39.0,False,3645.0,0.5844875346260388,38.0,False,3610.0
2485,2026-03-03,9.898989898989896,0.24444444444444446,47,False,54.0,0.25373134328358216,46.0,False,53.6,0.33069306930693076,45.0,False,50.5
3615,2026-03-03,9.89180834621328,-0.1676056338028169,3,True,35.5,-0.1557142857142857,2.0,True,35.0,-0.10993975903614461,1.0,True,33.2
2467,2026-03-03,9.915014164305958,0.6737967914438503,47,False,374.0,0.5989782886334611,46.0,False,391.5,0.596938775510204,45.0,False,392.0
3357,2026-03-02,9.809264305177102,-0.1658163265306123,1,True,196.0,,,,,,,,
6830,2026-03-02,10.000000000000009,1.391025641025641,48,False,312.0,1.4866666666666668,47.0,False,300.0,1.2268656716417912,46.0,False,335.0
3576,2026-02-26,9.950248756218905,-0.07906976744186045,6,True,21.5,-0.2556390977443609,5.0,True,26.6,-0.2399232245681382,4.0,True,26.05
4977,2026-02-26,9.84126984126985,-0.09337349397590367,5,True,166.0,-0.1544943820224719,4.0,True,178.0,-0.10149253731343288,3.0,True,167.5
3030,2026-02-26,9.024390243902449,0.8904109589041096,49,False,219.0,0.6559999999999999,48.0,False,250.0,0.7178423236514522,47.0,False,241.0
4577,2026-02-26,9.783989834815763,0.7044100119189509,49,False,83.9,0.5577342047930283,48.0,False,91.8,0.5995525727069351,47.0,False,89.4
3709,2026-02-26,9.942363112391917,-0.12037037037037035,2,True,75.6,-0.12729658792650922,1.0,True,76.2,-0.00587371512481627,1.0,True,68.1
8046,2026-02-25,9.940357852882698,-0.08759124087591241,2,True,548.0,-0.07407407407407407,1.0,True,540.0,-0.17431192660550454,1.0,True,545.0
5475,2026-02-25,9.92366412213741,-0.07692307692307687,2,True,208.0,-0.07246376811594202,1.0,True,207.0,-0.1953488372093023,1.0,True,215.0
7610,2026-02-10,9.9585062240664,2.25,54,False,264.0,2.0642857142857145,53.0,False,280.0,2.0425531914893615,52.0,False,282.0
5386,2026-02-09,9.795918367346946,2.0970149253731343,55,False,134.0,1.902097902097902,54.0,False,143.0,1.4411764705882355,53.0,False,170.0
6244,2026-02-05,9.83302411873841,-0.13103448275862073,1,True,29.0,,,,,,,,
4991,2026-02-05,9.981167608286244,-0.07360861759425497,1,True,278.5,,,,,,,,
6830,2026-02-05,9.903381642512077,2.3229398663697105,57,False,224.5,,,,,2.2863436123348015,55.0,False,227.0
6568,2026-02-04,9.90099009900991,0.3283132530120483,58,False,166.0,0.36111111111111116,57.0,False,162.0,0.3086053412462908,56.0,False,168.5
3081,2026-01-29,10.000000000000009,1.860082304526749,60,False,972.0,2.139773895169579,60.0,False,973.0,1.835,60.0,False,1000.0
2489,2026-01-22,9.976247030878849,-0.12121212121212122,5,True,23.1,-0.08558558558558549,4.0,True,22.2,-0.15767634854771784,3.0,True,24.1
3037,2026-01-19,9.85401459854014,1.7777777777777777,60,False,297.0,1.5695999999999999,60.0,False,312.5,1.6318926974664678,60.0,False,335.5
3189,2026-01-19,9.870129870129873,1.424821002386635,60,False,209.5,1.466019417475728,60.0,False,206.0,1.526315789473684,60.0,False,209.0
5475,2026-01-19,9.313725490196068,2.095890410958904,60,False,109.5,2.3904761904761904,60.0,False,105.0,2.3302325581395347,60.0,False,107.5
1721,2026-01-16,9.866666666666667,-0.07268170426065157,4,True,19.95,-0.15909090909090906,3.0,True,22.0,-0.08866995073891626,2.0,True,20.3
2337,2026-01-07,9.92366412213741,1.425828970331588,60,False,57.3,1.0695102685624014,60.0,False,63.3,1.0083333333333333,60.0,False,60.0
5475,2025-12-29,9.4420600858369,-0.11199999999999999,3,True,100.0,-0.07979274611398968,2.0,True,96.5,-0.07015706806282729,1.0,True,95.5
6163,2025-12-23,9.845559845559858,-0.08525754884547065,33,True,56.3,-0.0964912280701754,32.0,True,57.0,-0.13590604026845643,31.0,True,59.6
4991,2025-12-23,9.92907801418439,-0.07912087912087917,9,True,227.5,-0.09503239740820735,8.0,True,231.5,-0.08913043478260874,7.0,True,230.0
8110,2025-11-13,9.921671018276768,-0.11250000000000004,2,True,40.0,,,,,-0.03026315789473677,1.0,True,38.0
