group,n,mean_intraday_return_pct,mean_intraday_close_pos,mean_intraday_drawdown_pct,strong_attack_rate_pct,attack_failure_rate_pct,below_open_after_1130_rate_pct,low_after_high_break_open_rate_pct,mean_close_basis_10d_pct,mean_10d_net_pct
next_low_open,99,5.336,0.924,-1.979,91.92,11.11,15.15,12.12,4.421,5.709
next_not_low_open,100,5.708,0.953,-1.243,95.0,7.0,6.0,9.0,13.216,8.687
