analysis_variant,ticker,trade_date,market_regime,close_pos,ret_5d_past,volume_ratio,reclaim_pct,close_vs_ma20_pct,ret_10d_net_actual,ret_20d_net_actual
tradable_filter,6550,2026-03-09,range,0.7142857142857143,-0.0938967136150235,0.9039697633039196,0.006956521739130306,-0.06905699815097688,-0.3380533898305085,-0.3566974576271187
tradable_filter,3712,2025-11-10,bear,0.6499999999999986,-0.08016304347826075,0.4404131641666998,0.016516516516516644,-0.08698583951449768,-0.23103518518518526,-0.23547962962962962
tradable_filter,4174,2025-04-11,bear,0.6666666666666666,-0.24354838709677418,1.7010814349363579,0.017353579175704903,-0.19026243093922657,-0.21418333333333336,-0.1923083333333334
tradable_filter,6438,2025-11-10,bear,0.8333333333333334,-0.08385093167701863,0.8937650561915467,0.00340136054421758,-0.06467977171845274,-0.19440218855218858,-0.05972205387205385
tradable_filter,6550,2026-03-17,bull,1.0,-0.17474048442906565,6.60394099812815,0.09907834101382496,-0.19282511210762332,-0.1732413043478261,-0.21019782608695645
tradable_filter,6415,2025-09-25,bull,0.6666666666666666,-0.07534246575342463,1.30728123952999,0.0037174721189590088,-0.06152241918665269,-0.14212992633517493,-0.15870451197053412
tradable_filter,2348,2025-06-09,range,0.4,-0.092741935483871,3.1114865257608515,0.0,-0.09927942353883112,-0.14036327433628323,-0.06779690265486724
tradable_filter,6890,2026-02-09,range,0.8571428571428571,-0.07317073170731703,1.136405073991987,0.014563106796116498,-0.10358138537422268,-0.13982129186602874,-0.18527583732057415
tradable_filter,6873,2025-09-02,bull,0.3333333333333333,-0.09815950920245398,0.8750241870512202,0.006849315068493178,-0.1409788166544923,-0.13554283276450516,-0.15260767918088733
tradable_filter,6415,2025-11-05,range,0.6,-0.08695652173913049,1.1589510152485551,0.012048192771084265,-0.09638554216867468,-0.13526176470588233,-0.059967647058823494
tradable_filter,3040,2026-02-06,range,0.34444444444444383,-0.1479690522243715,2.0355448929977316,0.004561003420752385,-0.11794152983580297,-0.13226083521444684,0.07880011286681712
tradable_filter,2241,2026-01-23,bull,0.2812500000000015,-0.08602150537634412,1.1270248780415266,0.007407407407407307,-0.046417052306829354,-0.12790882352941177,-0.18232058823529415
tradable_filter,8932,2026-03-10,range,0.20238095238095258,-0.5224274406332454,1.647629612346718,0.007795100222717233,-0.5125629493981095,-0.12412956989247312,-0.11982849462365583
tradable_filter,7780,2026-03-10,range,0.5652173913043473,-0.13186813186813184,1.896555766772539,0.0050890585241731845,-0.18590272052761736,-0.12218663366336621,0.02385297029702973
tradable_filter,2241,2026-01-26,bull,0.3333333333333333,-0.10053619302949057,0.8509670607460973,0.0,-0.054729872508276434,-0.12157700296735904,-0.1141586053412463
tradable_filter,4933,2025-07-23,bull,1.0,-0.07911802853437089,0.91914758766746,0.021582733812949728,-0.06511291065902947,-0.12134295774647894,-0.14528661971830978
tradable_filter,3230,2025-11-10,bear,0.5999999999999991,-0.07545164718384689,0.8057500670577812,0.011627906976744207,-0.1062256009862339,-0.11619482758620678,-0.06217183908045985
tradable_filter,6873,2025-09-04,bull,0.5,-0.11250000000000004,1.130004561846587,0.007092198581560183,-0.14547916353242074,-0.1146219298245614,-0.15672719298245616
