group,ticker,trade_date,market_regime,open,high,low,close,volume,ret_10d_net,ret_20d_net,ret_close_basis_10d,ret_close_basis_20d
next_not_low_open,1711,2026-04-17,bull,43.0,47.95,43.0,47.95,73476393,0.09871273764258551,,0.21167883211678817,
next_not_low_open,1815,2026-04-17,bull,115.5,127.0,115.5,127.0,128213671,-0.15760097276264592,,-0.1417322834645669,
next_not_low_open,2388,2026-04-17,bull,62.0,65.9,61.1,65.3,14663038,0.2628522900763358,,0.2725880551301685,
next_not_low_open,2402,2026-04-17,bull,70.7,77.7,70.7,77.7,39487468,-0.0848308917197452,,-0.06949806949806958,
next_not_low_open,2476,2026-04-17,bull,108.5,116.0,108.0,115.0,10760275,-0.051875104602510415,,-0.008695652173912993,
next_not_low_open,3045,2026-04-17,bull,110.0,112.5,109.5,112.5,19150988,-0.023627777777777782,,-0.01777777777777778,
next_not_low_open,3088,2026-04-17,bull,95.0,98.4,94.3,97.8,3033702,0.1358421508664628,,0.14519427402862983,
next_not_low_open,3363,2026-04-17,bull,852.0,912.0,850.0,899.0,6431868,-0.08395781078107808,,-0.06785317018909898,
next_not_low_open,3437,2026-04-17,bull,24.3,27.2,24.3,27.2,14367910,-0.08110083612040128,,0.016544117647058876,
next_not_low_open,3450,2026-04-17,bull,350.0,372.5,350.0,366.0,24421627,-0.12051666666666669,,-0.09289617486338797,
next_not_low_open,3504,2026-04-17,bull,61.6,67.4,61.4,67.4,2374578,-0.048876706231454105,,-0.043026706231454104,
next_not_low_open,3518,2026-04-17,bull,26.0,27.5,25.8,27.05,4220702,0.21914999999999987,,0.2680221811460257,
next_not_low_open,3581,2026-04-17,bull,118.5,119.0,113.5,119.0,3444890,0.5037285440613027,,0.6554621848739495,
next_not_low_open,4540,2026-04-17,bull,52.7,58.1,52.6,57.9,16717104,0.15939701873935266,,0.18134715025906756,
next_not_low_open,4707,2026-04-17,bull,14.15,15.05,14.15,15.05,8271400,-0.015783774834437138,,-0.006644518272425293,
next_not_low_open,4958,2026-04-17,bull,260.0,282.0,258.0,282.0,42796308,0.4727824786324787,,0.5336879432624113,
next_not_low_open,5228,2026-04-17,bull,35.4,37.1,34.25,37.1,3323415,-0.14425399002493774,,-0.06873315363881416,
next_not_low_open,5244,2026-04-17,bull,46.0,46.2,45.25,46.2,4216354,-0.17184999999999992,,-0.09740259740259738,
next_not_low_open,6139,2026-04-17,bull,660.0,729.0,652.0,723.0,9661479,-0.08409933687002655,,-0.0387275242047026,
next_not_low_open,6173,2026-04-17,bull,84.3,92.2,81.8,92.2,40774355,-0.04328315508021394,,-0.02386117136659438,
next_not_low_open,6187,2026-04-17,bull,1105.0,1215.0,1105.0,1215.0,5909301,0.03728725490196085,,0.09465020576131677,
next_not_low_open,6205,2026-04-17,bull,69.5,75.0,68.5,75.0,6738285,0.1396045454545455,,0.26,
next_not_low_open,6213,2026-04-17,bull,253.0,276.5,250.5,270.5,66569559,0.05642106227106227,,0.07208872458410354,
next_not_low_open,6214,2026-04-17,bull,122.0,127.0,121.5,126.0,3728158,-0.049157086614173263,,-0.0357142857142857,
next_not_low_open,6245,2026-04-17,bull,79.0,83.4,79.0,82.8,3045853,-0.03946344537815125,,-0.02777777777777779,
next_not_low_open,6278,2026-04-17,bull,145.0,157.0,143.0,157.0,27549290,0.10526111111111117,,0.14649681528662417,
next_not_low_open,6415,2026-04-17,bull,310.0,332.5,306.0,332.5,16101903,0.19913614958448758,,0.30827067669172936,
next_not_low_open,6435,2026-04-17,bull,166.0,180.0,164.5,178.5,2111826,0.09779145658263314,,0.10364145658263313,
next_not_low_open,6465,2026-04-17,bull,44.6,49.05,44.5,49.05,1046566,-0.13400533980582527,,-0.08460754332313958,
next_not_low_open,6667,2026-04-17,bull,280.5,290.0,276.0,288.5,2244170,-0.10246016949152545,,-0.0762564991334489,
next_not_low_open,6788,2026-04-17,bull,389.5,431.0,384.0,431.0,4712745,-0.07583939554612937,,0.01740139211136893,
next_not_low_open,6829,2026-04-17,bull,185.5,197.0,185.5,197.0,4232694,0.2587870023419204,,0.37055837563451766,
next_not_low_open,6854,2026-04-17,bull,153.5,167.5,153.5,167.5,2008834,-0.09887325581395354,,-0.06865671641791049,
next_not_low_open,6877,2026-04-17,bull,154.0,157.5,146.0,157.5,1680827,0.05646454005934722,,0.13650793650793647,
next_not_low_open,2351,2026-04-07,range,102.0,109.5,100.5,109.0,9167317,0.3668772727272728,,0.3853211009174311,
next_not_low_open,2461,2026-04-07,range,18.0,19.2,18.0,19.0,1697403,-0.061113157894736904,,-0.0552631578947369,
next_not_low_open,3105,2026-04-07,range,396.5,413.0,391.0,407.0,37457551,0.42736718931475026,,0.5159705159705159,
next_not_low_open,3163,2026-04-07,range,983.0,1045.0,955.0,1045.0,11325482,0.1292851351351351,,0.20574162679425845,
next_not_low_open,3167,2026-04-07,range,484.0,490.0,480.0,490.0,7050218,0.22886400394477327,,0.27755102040816326,
next_not_low_open,3673,2026-04-07,range,45.9,48.7,45.3,48.7,13184293,0.35477378167641327,,0.43326488706365485,
next_not_low_open,5434,2026-04-07,range,333.0,363.0,332.5,360.5,2248967,0.1718976255088195,,0.20388349514563098,
next_not_low_open,5475,2026-04-07,range,256.5,271.0,239.0,271.0,9332255,0.3716097495527727,,0.4206642066420665,
next_not_low_open,6213,2026-04-07,range,180.5,187.0,177.0,187.0,26964783,0.4683768041237114,,0.5294117647058822,
next_not_low_open,6218,2026-04-07,range,28.0,28.95,26.5,28.6,2470183,0.19414999999999996,,0.2377622377622377,
next_not_low_open,6261,2026-04-07,range,74.1,79.2,73.0,79.2,2474168,0.13242160493827174,,0.16414141414141414,
next_not_low_open,7610,2026-04-07,range,385.0,415.5,385.0,415.5,1289315,0.43286706758304694,,0.5114320096269556,
next_not_low_open,8438,2026-04-07,range,71.3,78.3,70.1,78.3,7190968,0.10164999999999993,,0.1315453384418901,
next_not_low_open,3167,2026-04-02,range,418.0,445.5,416.0,445.5,12708323,0.37844752066115694,,0.5039281705948373,
next_not_low_open,3455,2026-04-02,range,129.0,139.0,128.5,139.0,4138137,0.3810352459016394,,0.5215827338129497,
next_not_low_open,3714,2026-04-02,range,51.7,54.2,50.0,54.2,45397542,0.3912619133574008,,0.4280442804428044,
next_not_low_open,5475,2026-04-02,range,224.0,246.5,224.0,246.5,8537481,0.5536041910331383,,0.6227180527383367,
next_not_low_open,6147,2026-04-02,range,80.0,84.0,79.7,84.0,72957837,0.38425989010989003,,0.5059523809523809,
next_not_low_open,6664,2026-04-02,range,345.5,354.5,345.0,354.5,2529519,0.12262682119205306,,0.20169252468265153,
next_not_low_open,6727,2026-04-02,range,333.0,358.0,321.5,358.0,2838548,0.1403950592885376,,0.21508379888268148,
next_not_low_open,6830,2026-04-02,range,533.0,565.0,533.0,565.0,5759569,0.4114986088379705,,0.5327433628318583,
next_not_low_open,1227,2026-04-01,range,30.95,31.1,30.65,31.05,1469915,-0.021850000000000015,-0.07944999999999999,-0.009661835748792313,-0.06763285024154597
next_not_low_open,3062,2026-04-01,range,31.5,32.6,31.5,32.6,17579110,-0.12202647058823532,-0.24849705882352943,-0.07822085889570551,-0.21012269938650308
next_not_low_open,4906,2026-04-01,range,37.6,39.65,36.3,39.65,114141049,-0.09730607701564373,-0.18154193742478938,-0.047919293820933184,-0.1361916771752837
next_not_low_open,6213,2026-04-01,range,156.0,163.0,155.0,163.0,26771551,0.6090753731343282,0.7254932835820894,0.6595092024539877,0.7791411042944785
next_not_low_open,1905,2026-03-30,range,16.0,16.9,16.0,16.9,18041618,-0.21197813370473537,-0.26768844011142057,-0.15680473372781056,-0.21597633136094663
next_not_low_open,3062,2026-03-30,range,28.55,30.7,28.5,30.7,80433269,-0.00585,-0.1866317589576548,0.0,-0.1807817589576548
next_not_low_open,4707,2026-03-30,range,10.6,11.65,10.6,11.65,4246611,0.13931129032258052,0.211891935483871,0.2188841201716738,0.296137339055794
next_not_low_open,4741,2026-03-30,range,31.65,35.35,31.45,35.35,3811169,0.4254686813186813,0.49140274725274724,0.4738330975954739,0.5417256011315417
next_not_low_open,8027,2026-03-30,range,131.5,144.0,130.5,144.0,13961301,0.07748333333333327,0.21637222222222233,0.08333333333333326,0.22222222222222232
next_not_low_open,2351,2026-03-24,range,98.5,104.5,97.3,102.5,15898061,0.11915,0.44607307692307685,0.14146341463414625,0.47317073170731705
