ticker,signal_date,strength_pct,prior_high_60,entry_open,A_fixed_ret,A_fixed_days,A_fixed_stopped,B_roll5_ret,B_roll5_days,B_roll5_stopped,C_roll10_ret,C_roll10_days,C_roll10_stopped,D_roll20_ret,D_roll20_days,D_roll20_stopped
3026,2026-05-08,10.000000000000009,300.0,329.0,0.003039513677811634,1,False,0.003039513677811634,1,False,0.003039513677811634,1,False,0.003039513677811634,1,False
8103,2026-04-28,9.871244635193133,116.5,126.0,-0.07539682539682535,7,True,-0.04761904761904767,6,True,-0.07539682539682535,7,True,-0.07539682539682535,7,True
3221,2026-04-16,9.98796630565586,41.55,45.55,-0.07793633369923159,6,True,-0.07793633369923159,6,True,-0.07793633369923159,6,True,-0.07793633369923159,6,True
6426,2026-04-13,9.898477157360407,197.0,210.0,0.26428571428571423,19,False,0.011904761904761862,8,True,0.26428571428571423,19,False,0.26428571428571423,19,False
6640,2026-03-27,9.652509652509655,1295.0,1395.0,0.057347670250896154,28,False,0.13978494623655924,13,True,0.10035842293906816,16,True,0.057347670250896154,28,False
2451,2026-03-18,10.000000000000009,285.0,307.0,-0.1140065146579805,2,True,-0.1140065146579805,2,True,-0.1140065146579805,2,True,-0.1140065146579805,2,True
8271,2026-03-16,9.798270893371752,173.5,186.0,-0.08602150537634412,4,True,-0.08602150537634412,4,True,-0.08602150537634412,4,True,-0.08602150537634412,4,True
3167,2026-03-13,10.000000000000009,355.0,366.5,-0.06684856753069579,1,True,-0.06684856753069579,1,True,-0.06684856753069579,1,True,-0.06684856753069579,1,True
8039,2026-03-12,9.871244635193133,116.5,125.5,-0.0916334661354582,6,True,-0.0916334661354582,6,True,-0.0916334661354582,6,True,-0.0916334661354582,6,True
4764,2026-03-12,9.731543624161066,149.0,160.5,-0.1339563862928349,5,True,-0.1339563862928349,5,True,-0.1339563862928349,5,True,-0.1339563862928349,5,True
6223,2026-03-12,9.893455098934556,3285.0,3600.0,0.5222222222222221,39,False,0.08333333333333326,12,True,0.5222222222222221,39,False,0.5222222222222221,39,False
2485,2026-03-03,9.898989898989896,49.5,54.0,0.25370370370370376,46,False,0.4296296296296296,22,True,0.4296296296296296,22,True,0.1611111111111112,34,True
3615,2026-03-03,9.89180834621328,32.35,35.5,-0.13239436619718303,3,True,-0.13239436619718303,3,True,-0.13239436619718303,3,True,-0.13239436619718303,3,True
2467,2026-03-03,9.915014164305958,353.0,374.0,0.7352941176470589,46,False,-0.010695187165775444,13,True,0.39037433155080214,36,True,0.7352941176470589,46,False
3357,2026-03-02,9.809264305177102,183.5,196.0,-0.15816326530612246,1,True,-0.15816326530612246,1,True,-0.15816326530612246,1,True,-0.15816326530612246,1,True
6830,2026-03-02,10.000000000000009,285.0,312.0,1.5,47,False,0.06730769230769229,8,True,1.0865384615384617,37,True,1.5,47,False
3576,2026-02-26,9.950248756218905,20.1,21.5,-0.07906976744186045,6,True,-0.07906976744186045,6,True,-0.07906976744186045,6,True,-0.07906976744186045,6,True
4977,2026-02-26,9.84126984126985,157.5,166.0,-0.04518072289156627,5,True,-0.04518072289156627,5,True,-0.04518072289156627,5,True,-0.04518072289156627,5,True
3030,2026-02-26,9.024390243902449,205.0,219.0,0.8630136986301369,48,False,0.14155251141552516,15,True,0.1095890410958904,16,True,0.8630136986301369,48,False
4577,2026-02-26,9.783989834815763,78.7,83.9,0.7044100119189509,48,False,0.05721096543504167,13,True,0.8116805721096543,45,True,0.7044100119189509,48,False
3709,2026-02-26,9.942363112391917,69.4,75.6,-0.08730158730158721,2,True,-0.08730158730158721,2,True,-0.08730158730158721,2,True,-0.08730158730158721,2,True
8046,2026-02-25,9.940357852882698,503.0,548.0,-0.14963503649635035,2,True,-0.14963503649635035,2,True,-0.14963503649635035,2,True,-0.14963503649635035,2,True
5475,2026-02-25,9.92366412213741,196.5,208.0,-0.125,2,True,-0.125,2,True,-0.125,2,True,-0.125,2,True
7610,2026-02-10,9.9585062240664,241.0,264.0,2.0113636363636362,53,False,0.08522727272727271,7,True,2.0113636363636362,53,False,2.0113636363636362,53,False
5386,2026-02-09,9.795918367346946,122.5,134.0,2.343283582089552,54,False,1.4813432835820897,22,True,0.9813432835820894,25,True,2.343283582089552,54,False
6244,2026-02-05,9.83302411873841,26.95,29.0,-0.12413793103448278,1,True,-0.12413793103448278,1,True,-0.12413793103448278,1,True,-0.12413793103448278,1,True
4991,2026-02-05,9.981167608286244,265.5,278.5,-0.07899461400359065,1,True,-0.07899461400359065,1,True,-0.07899461400359065,1,True,-0.07899461400359065,1,True
6830,2026-02-05,9.903381642512077,207.0,224.5,2.4743875278396437,56,False,0.4832962138084633,17,True,1.8997772828507795,46,True,2.4743875278396437,56,False
6568,2026-02-04,9.90099009900991,151.5,166.0,0.3644578313253013,57,False,0.2349397590361446,38,True,0.2349397590361446,38,True,0.3644578313253013,57,False
3081,2026-01-29,10.000000000000009,900.0,972.0,1.860082304526749,60,False,0.4609053497942386,18,True,1.860082304526749,60,False,1.860082304526749,60,False
2489,2026-01-22,9.976247030878849,21.05,23.1,-0.1341991341991342,5,True,-0.1341991341991342,5,True,-0.1341991341991342,5,True,-0.1341991341991342,5,True
3037,2026-01-19,9.85401459854014,274.0,297.0,1.7777777777777777,60,False,0.19528619528619529,13,True,0.6296296296296295,42,True,1.7777777777777777,60,False
3189,2026-01-19,9.870129870129873,192.5,209.5,1.424821002386635,60,False,0.4701670644391409,23,True,0.5990453460620524,42,True,1.424821002386635,60,False
5475,2026-01-19,9.313725490196068,102.0,109.5,2.095890410958904,60,False,0.7214611872146119,23,True,2.095890410958904,60,False,2.095890410958904,60,False
1721,2026-01-16,9.866666666666667,18.75,19.95,-0.07017543859649111,4,True,-0.07017543859649111,4,True,-0.07017543859649111,4,True,-0.07017543859649111,4,True
2337,2026-01-07,9.92366412213741,52.4,57.3,1.425828970331588,60,False,0.549738219895288,21,True,0.7068062827225132,34,True,1.425828970331588,60,False
5475,2025-12-29,9.4420600858369,93.2,100.0,-0.11299999999999999,3,True,-0.11299999999999999,3,True,-0.11299999999999999,3,True,-0.11299999999999999,3,True
6163,2025-12-23,9.845559845559858,51.8,56.3,-0.056838365896980436,33,True,-0.06216696269982236,6,True,0.18117229129662538,22,True,-0.035523978685612745,30,True
4991,2025-12-23,9.92907801418439,211.5,227.5,-0.0945054945054945,9,True,-0.04175824175824172,6,True,-0.0945054945054945,9,True,-0.0945054945054945,9,True
8110,2025-11-13,9.921671018276768,38.3,40.0,-0.135,2,True,-0.135,2,True,-0.135,2,True,-0.135,2,True
8150,2025-11-13,10.000000000000009,40.0,43.5,0.21839080459770122,60,False,0.051724137931034475,6,True,0.35632183908045967,53,True,0.23678160919540225,58,True
2451,2025-11-13,9.92366412213741,196.5,206.0,-0.08737864077669899,5,True,-0.08737864077669899,5,True,-0.08737864077669899,5,True,-0.08737864077669899,5,True
6127,2025-10-21,9.999999999999986,29.0,31.65,-0.12480252764612954,2,True,-0.12480252764612954,2,True,-0.12480252764612954,2,True,-0.12480252764612954,2,True
8271,2025-10-16,9.756097560975618,102.5,111.5,-0.20089686098654713,11,True,-0.0717488789237668,6,True,-0.20089686098654713,11,True,-0.20089686098654713,11,True
3189,2025-10-09,9.126984126984116,126.0,131.0,-0.03053435114503822,1,True,-0.03053435114503822,1,True,-0.03053435114503822,1,True,-0.03053435114503822,1,True
8271,2025-10-09,9.114249037227196,77.9,81.1,0.5659679408138103,60,False,0.276202219482121,10,True,0.09864364981504314,15,True,0.15043156596794094,41,True
5289,2025-10-09,9.905020352781555,368.5,394.5,0.6349809885931559,60,False,0.376425855513308,26,True,0.17363751584283893,35,True,0.15209125475285168,37,True
6584,2025-08-27,9.871244635193133,233.0,254.0,-0.13188976377952755,14,True,-0.09448818897637801,13,True,-0.09448818897637801,13,True,-0.13188976377952755,14,True
3653,2025-08-26,9.77653631284916,1790.0,1935.0,0.3410852713178294,60,False,0.193798449612403,12,True,0.13178294573643412,20,True,0.10852713178294571,39,True
4722,2025-08-20,9.81308411214954,107.0,116.0,0.2844827586206897,60,False,0.15517241379310343,8,True,0.10344827586206895,13,True,0.4913793103448276,50,True
3305,2025-08-19,9.567901234567898,97.2,102.0,-0.09411764705882353,1,True,-0.09411764705882353,1,True,-0.09411764705882353,1,True,-0.09411764705882353,1,True
5475,2025-08-14,9.932279909706557,44.3,47.55,-0.10620399579390105,5,True,-0.10620399579390105,5,True,-0.10620399579390105,5,True,-0.10620399579390105,5,True
4989,2025-08-14,9.90712074303406,32.3,35.3,-0.12464589235127477,6,True,-0.12464589235127477,6,True,-0.12464589235127477,6,True,-0.12464589235127477,6,True
6831,2025-07-11,10.843373493975903,166.0,173.67,-0.055219669488109524,1,True,-0.055219669488109524,1,True,-0.055219669488109524,1,True,-0.055219669488109524,1,True
2360,2025-06-26,9.554140127388532,392.5,417.0,0.43405275779376495,60,False,0.031175059952038398,7,True,-0.013189448441247031,18,True,0.43405275779376495,60,False
6925,2025-06-20,9.708737864077666,154.5,164.0,-0.07926829268292679,19,True,-0.030487804878048808,9,True,-0.054878048780487854,17,True,-0.07926829268292679,19,True
5475,2025-06-18,9.486166007905128,25.3,26.65,1.0637898686679175,60,False,-0.05628517823639778,6,True,1.0637898686679175,60,False,1.0637898686679175,60,False
8210,2025-06-18,9.704142011834316,422.5,463.0,0.3822894168466522,60,False,0.13606911447084236,24,True,0.09719222462203025,27,True,0.04643628509719222,32,True
5251,2025-04-25,9.836065573770504,48.8,52.0,-0.14519230769230762,4,True,-0.14519230769230762,4,True,-0.14519230769230762,4,True,-0.14519230769230762,4,True
5201,2025-04-15,9.090909090909085,41.25,44.7,-0.09619686800894867,34,True,0.19686800894854573,16,True,0.11185682326621915,18,True,-0.032438478747203625,27,True
