bucket,n,mean_10d_net_pct,win_rate_10d_pct,mean_20d_net_pct,win_rate_20d_pct
all,1868,1.582,45.02,5.444,50.32
top5,993,2.177,47.43,6.46,50.76
top10,1499,1.902,46.23,5.833,50.77
top20,1837,1.65,45.24,5.575,50.63
