ticker,name,season,side,entry_date,entry_close,exit_date,exit_close,exit_reason,days_held,return_pct,censored
1109,信大,春,long,2026-05-12,15.3,2026-05-14,15.2,season_change,2,-0.6535947712418394,False
1218,泰山,春,long,2026-05-13,18.9,2026-05-15,18.45,season_change,2,-2.3809523809523774,False
1268,漢來美食,春,long,2026-05-14,159.0,2026-05-15,158.0,season_change,1,-0.628930817610063,False
1301,台塑,立夏,long,2026-04-13,51.4,2026-04-24,50.2,season_change,11,-2.3346303501945442,False
1307,三芳,春,long,2026-05-13,31.85,2026-05-14,31.9,season_change,1,0.15698587127157662,False
1313,聯成,立夏,long,2026-01-26,11.0,2026-02-02,10.25,ma20_break,7,-6.8181818181818175,False
1315,達新,春,long,2026-05-12,61.5,2026-05-13,61.7,season_change,1,0.325203252032525,False
1423,利華,春,long,2026-05-13,39.95,2026-05-14,40.55,season_change,1,1.50187734668334,False
1467,南緯,立夏,long,2026-04-22,7.67,2026-04-27,7.36,season_change,5,-4.041720990873529,False
1467,南緯,盛夏,long,2026-04-23,8.0,2026-04-27,7.36,season_change,4,-7.9999999999999964,False
1471,首利,立夏,long,2026-01-07,9.6,2026-01-08,10.05,season_change,1,4.687500000000011,False
1471,首利,秋,short,2026-03-16,13.75,2026-03-17,13.3,season_change,1,3.2727272727272676,False
1504,東元,秋,short,2026-01-14,90.5,2026-01-15,85.8,season_change,1,5.1933701657458595,False
1514,亞力,立夏,long,2026-01-14,108.5,2026-01-15,104.0,season_change,1,-4.147465437788019,False
1519,華城,秋,short,2026-04-21,919.0,2026-04-23,877.0,season_change,2,4.570184983677911,False
1526,日馳,立夏,long,2026-01-16,18.7,2026-01-21,23.55,season_change,5,25.935828877005356,False
1527,鑽全,立夏,long,2026-01-16,35.55,2026-01-20,36.15,season_change,4,1.6877637130801728,False
1536,和大,立夏,long,2026-01-16,64.7,2026-01-21,62.1,ma20_break,5,-4.018547140649152,False
1558,伸興,春,long,2026-05-13,90.9,2026-05-14,90.5,season_change,1,-0.4400440044004463,False
1569,濱川,立夏,long,2026-04-10,56.1,2026-04-17,52.5,season_change,7,-6.417112299465242,False
1603,華電,春,long,2026-05-13,32.2,2026-05-14,32.05,season_change,1,-0.46583850931678783,False
1713,國化,春,long,2026-05-12,47.5,2026-05-14,47.3,season_change,2,-0.42105263157895334,False
1714,和桐,立夏,long,2026-01-08,8.97,2026-01-09,8.95,warning_signals,1,-0.22296544035675975,False
1720,生達,立夏,long,2026-02-25,64.7,2026-03-10,63.0,season_change,13,-2.62751159196291,False
1730,花仙子,春,long,2026-05-13,52.8,2026-05-14,52.8,season_change,1,0.0,False
1736,喬山,立夏,long,2026-04-28,134.0,2026-04-29,128.5,season_change,1,-4.104477611940299,False
1785,光洋科,立夏,long,2026-03-10,74.0,2026-03-17,90.6,warning_signals,7,22.432432432432424,False
1799,易威,立夏,long,2026-03-18,43.6,2026-03-19,40.7,season_change,1,-6.651376146788987,False
2015,豐興,春,long,2026-05-12,63.9,2026-05-15,62.6,season_change,3,-2.034428794992171,False
2017,官田鋼,立夏,long,2026-02-26,9.73,2026-03-05,9.55,season_change,7,-1.8499486125385374,False
2034,允強,立夏,long,2026-04-29,22.0,2026-05-05,20.75,ma20_break,6,-5.681818181818182,False
2049,上銀,立夏,long,2026-01-14,212.5,2026-01-21,231.5,ma20_break,7,8.941176470588236,False
2062,橋椿,立夏,long,2026-04-10,21.85,2026-04-21,22.65,warning_signals,11,3.6613272311212683,False
2103,台橡,立夏,long,2026-02-09,16.1,2026-03-02,18.9,trailing_stop,21,17.39130434782607,False
2104,國際中橡,立夏,long,2026-02-24,13.55,2026-03-03,12.55,season_change,7,-7.380073800738007,False
2104,國際中橡,盛夏,long,2026-02-25,13.7,2026-03-03,12.55,season_change,6,-8.394160583941595,False
2105,正新,春,long,2026-05-13,31.2,2026-05-14,31.9,season_change,1,2.2435897435897414,False
2108,南帝,立夏,long,2026-02-23,26.4,2026-03-04,24.55,ma20_break,9,-7.00757575757575,False
2208,台船,立夏,long,2026-05-08,21.7,2026-05-11,20.2,ma20_break,3,-6.912442396313365,False
2230,泰茂,立夏,long,2026-05-07,35.05,2026-05-08,33.85,season_change,1,-3.423680456490716,False
2331,精英,秋,short,2026-02-23,26.7,2026-02-24,28.15,new_high,1,-5.430711610486889,False
2332,友訊,立夏,long,2026-01-14,17.05,2026-01-15,16.65,season_change,1,-2.3460410557184876,False
2338,光罩,立夏,long,2026-02-25,44.75,2026-03-03,53.9,warning_signals,6,20.446927374301673,False
2342,茂矽,立夏,long,2026-03-18,33.9,2026-03-23,31.0,ma20_break,5,-8.554572271386427,False
2345,智邦,秋,short,2026-02-03,1185.0,2026-02-06,1190.0,new_high,3,-0.42194092827004215,False
2351,順德,立夏,long,2026-03-17,93.8,2026-03-30,97.1,trailing_stop,13,3.5181236673773957,False
2368,金像電,秋,short,2026-01-23,646.0,2026-01-26,666.0,new_high,3,-3.0959752321981426,False
2379,瑞昱,立夏,long,2026-01-13,576.0,2026-01-14,532.0,season_change,1,-7.638888888888889,False
2382,廣達,立夏,long,2026-04-08,307.5,2026-04-28,321.0,season_change,20,4.390243902439024,False
2392,正崴,立夏,long,2026-04-20,40.25,2026-04-21,39.8,season_change,1,-1.1180124223602554,False
2417,圓剛,立夏,long,2026-04-07,37.6,2026-04-27,38.65,ma20_break,20,2.792553191489354,False
2417,圓剛,盛夏,long,2026-04-08,39.95,2026-04-27,38.65,ma20_break,19,-3.254067584480611,False
2426,鼎元,立夏,long,2026-03-05,20.75,2026-03-09,25.05,season_change,4,20.722891566265066,False
2426,鼎元,盛夏,long,2026-03-10,25.55,2026-03-18,38.35,warning_signals,8,50.09784735812133,False
2433,互盛電,春,long,2026-05-12,45.5,2026-05-13,45.55,season_change,1,0.10989010989010364,False
2450,神腦,春,long,2026-05-12,29.75,2026-05-14,29.4,season_change,2,-1.176470588235299,False
2451,創見,秋,short,2026-04-27,262.0,2026-04-28,261.5,season_change,1,0.19083969465648853,False
2601,益航,立夏,long,2026-03-03,5.98,2026-03-05,7.19,season_change,2,20.23411371237458,False
2616,山隆,立夏,long,2026-03-02,14.95,2026-03-10,21.55,trailing_stop,8,44.14715719063546,False
2634,漢翔,立夏,long,2026-01-08,54.9,2026-01-09,53.1,season_change,1,-3.2786885245901587,False
2727,王品,立夏,long,2026-03-06,228.0,2026-03-09,224.5,season_change,3,-1.5350877192982455,False
2732,六角,春,long,2026-05-13,65.9,2026-05-15,65.8,season_change,2,-0.15174506828529366,False
2734,易飛網,立夏,long,2026-02-05,19.5,2026-02-06,18.55,season_change,1,-4.871794871794869,False
2801,彰銀,立夏,long,2026-02-23,21.65,2026-03-02,20.9,season_change,7,-3.4642032332563515,False
2820,華票,春,long,2026-05-13,16.9,2026-05-14,16.75,season_change,1,-0.8875739644970331,False
2855,統一證,立夏,long,2026-01-08,26.8,2026-01-09,26.5,season_change,1,-1.1194029850746294,False
2897,王道銀行,春,long,2026-05-13,10.15,2026-05-14,10.05,season_change,1,-0.9852216748768439,False
3006,晶豪科,秋,short,2026-04-28,184.5,2026-04-30,169.5,season_change,2,8.130081300813007,False
3023,信邦,立夏,long,2026-01-27,230.0,2026-02-04,234.5,warning_signals,8,1.956521739130435,False
3026,禾伸堂,立夏,long,2026-02-23,114.5,2026-03-04,105.5,ma20_break,9,-7.860262008733625,False
3035,智原,立夏,long,2026-04-20,174.5,2026-04-22,179.0,warning_signals,2,2.5787965616045847,False
3035,智原,盛夏,long,2026-04-21,180.0,2026-04-22,179.0,warning_signals,1,-0.5555555555555556,False
3036,文曄,秋,short,2026-05-08,240.5,2026-05-11,264.5,new_high,3,-9.97920997920998,False
3059,華晶科,立夏,long,2026-04-24,38.5,2026-04-27,38.7,season_change,3,0.5194805194805269,False
3062,建漢,立夏,long,2026-03-30,30.7,2026-04-09,30.8,season_change,10,0.32573289902280594,False
3062,建漢,盛夏,long,2026-03-31,29.65,2026-04-07,28.85,trailing_stop,7,-2.6981450252951,False
3114,好德,春,long,2026-05-12,26.05,2026-05-14,27.15,season_change,2,4.222648752399224,False
3122,笙泉,立夏,long,2026-04-23,30.0,2026-04-28,32.9,trailing_stop,5,9.666666666666663,False
3122,笙泉,盛夏,long,2026-04-24,33.0,2026-04-28,32.9,trailing_stop,4,-0.3030303030303073,False
3138,耀登,秋,short,2026-03-27,184.5,2026-03-30,178.0,season_change,3,3.523035230352303,False
3147,大綜,立夏,long,2026-04-23,184.0,2026-04-24,180.5,season_change,1,-1.9021739130434785,False
