ticker,name,season,side,entry_date,entry_close,exit_date,exit_close,exit_reason,days_held,return_pct,censored,max_dd_pct,kline_k1,kline_k2,kline_any
1109,信大,春,long,2026-05-12,15.3,2026-05-14,15.2,season_change,2,-0.6535947712418394,False,-2.2875816993464144,False,False,False
1301,台塑,立夏,long,2026-04-13,51.4,2026-04-24,50.2,season_change,11,-2.334630350194544,False,-8.268482490272373,False,False,False
1307,三芳,春,long,2026-05-13,31.85,2026-05-14,31.9,season_change,1,0.1569858712715766,False,-0.4709576138147633,False,False,False
1313,聯成,立夏,long,2026-01-26,11.0,2026-02-02,10.25,ma20_break,7,-6.8181818181818175,False,-7.27272727272728,False,False,False
1315,達新,春,long,2026-05-12,61.5,2026-05-13,61.7,season_change,1,0.325203252032525,False,-0.9756097560975632,False,False,False
1423,利華,春,long,2026-05-13,39.95,2026-05-14,40.55,season_change,1,1.50187734668334,False,-0.8760951188986267,False,False,False
1467,南緯,立夏,long,2026-04-22,7.67,2026-04-27,7.36,season_change,5,-4.041720990873529,False,-8.083441981747068,False,False,False
1467,南緯,盛夏,long,2026-04-23,8.0,2026-04-27,7.36,season_change,4,-7.9999999999999964,False,-9.250000000000004,False,False,False
1471,首利,立夏,long,2026-01-07,9.6,2026-01-08,10.05,season_change,1,4.687500000000011,False,-9.062499999999993,True,False,True
1471,首利,秋,short,2026-03-16,13.75,2026-03-17,13.3,season_change,1,3.2727272727272676,False,-6.181818181818179,False,False,False
1504,東元,秋,short,2026-01-14,90.5,2026-01-15,85.8,season_change,1,5.1933701657458595,False,-7.955801104972379,False,False,False
1514,亞力,立夏,long,2026-01-14,108.5,2026-01-15,104.0,season_change,1,-4.147465437788019,False,-7.373271889400922,False,False,False
1514,亞力,盛夏,long,2026-01-16,114.0,2026-01-27,133.0,trailing_stop,11,16.666666666666664,False,-7.017543859649122,False,False,False
1519,華城,秋,short,2026-04-21,919.0,2026-04-23,877.0,season_change,2,4.570184983677911,False,-5.8759521218716,False,False,False
1526,日馳,立夏,long,2026-01-16,18.7,2026-01-21,23.55,season_change,5,25.935828877005356,False,-8.823529411764698,False,False,False
1526,日馳,盛夏,long,2026-01-19,20.55,2026-01-21,23.55,season_change,2,14.5985401459854,False,-2.4330900243309,True,False,True
1527,鑽全,立夏,long,2026-01-16,35.55,2026-01-20,36.15,season_change,4,1.6877637130801728,False,-4.922644163150493,False,False,False
1527,鑽全,盛夏,long,2026-01-19,37.15,2026-01-20,36.15,season_change,1,-2.6917900403768504,False,-2.9609690444145396,False,False,False
1536,和大,立夏,long,2026-01-16,64.7,2026-01-23,64.4,season_change,7,-0.4636785162287436,False,-7.727975270479134,False,False,False
1558,伸興,春,long,2026-05-13,90.9,2026-05-14,90.5,season_change,1,-0.4400440044004463,False,-0.4400440044004463,False,False,False
1569,濱川,立夏,long,2026-04-10,56.1,2026-04-17,52.5,season_change,7,-6.417112299465242,False,-7.308377896613193,False,False,False
1603,華電,春,long,2026-05-13,32.2,2026-05-14,32.05,season_change,1,-0.4658385093167878,False,-0.9316770186335536,False,False,False
1713,國化,春,long,2026-05-12,47.5,2026-05-14,47.3,season_change,2,-0.4210526315789533,False,-0.8421052631578918,False,False,False
1714,和桐,立夏,long,2026-01-08,8.97,2026-01-09,8.95,season_change,1,-0.2229654403567597,False,-5.462653288740247,True,False,True
1720,生達,立夏,long,2026-02-25,64.7,2026-03-10,63.0,season_change,13,-2.62751159196291,False,-3.554868624420408,False,False,False
1730,花仙子,春,long,2026-05-13,52.8,2026-05-14,52.8,season_change,1,0.0,False,-0.18939393939392865,False,False,False
1736,喬山,立夏,long,2026-04-28,134.0,2026-04-29,128.5,season_change,1,-4.104477611940299,False,-8.955223880597014,False,False,False
1785,光洋科,立夏,long,2026-03-10,74.0,2026-03-23,90.8,trailing_stop,13,22.702702702702695,False,-8.108108108108109,False,False,False
1799,易威,立夏,long,2026-03-18,43.6,2026-03-19,40.7,season_change,1,-6.651376146788987,False,-9.97706422018349,False,False,False
2017,官田鋼,立夏,long,2026-02-26,9.73,2026-03-05,9.55,season_change,7,-1.8499486125385376,False,-7.810894141829391,False,False,False
2034,允強,立夏,long,2026-04-29,22.0,2026-05-05,20.75,ma20_break,6,-5.681818181818182,False,-6.363636363636357,False,False,False
2049,上銀,立夏,long,2026-01-14,212.5,2026-02-02,230.0,trailing_stop,19,8.235294117647058,False,-4.705882352941177,False,False,False
2062,橋椿,立夏,long,2026-04-10,21.85,2026-04-24,21.8,season_change,14,-0.2288329519450833,False,-1.601830663615567,False,False,False
2103,台橡,立夏,long,2026-02-09,16.1,2026-03-02,18.9,trailing_stop,21,17.39130434782607,False,-2.1739130434782696,False,False,False
2104,國際中橡,立夏,long,2026-02-24,13.55,2026-03-03,12.55,season_change,7,-7.380073800738007,False,-10.701107011070118,False,False,False
2104,國際中橡,盛夏,long,2026-02-25,13.7,2026-03-03,12.55,season_change,6,-8.394160583941595,False,-11.67883211678832,False,False,False
2105,正新,春,long,2026-05-13,31.2,2026-05-14,31.9,season_change,1,2.2435897435897414,False,-0.16025641025641252,False,False,False
2108,南帝,立夏,long,2026-02-23,26.4,2026-03-04,24.55,ma20_break,9,-7.00757575757575,False,-7.765151515151506,False,False,False
2208,台船,立夏,long,2026-05-08,21.7,2026-05-11,20.2,ma20_break,3,-6.912442396313365,False,-7.834101382488476,False,False,False
2230,泰茂,立夏,long,2026-05-07,35.05,2026-05-08,33.85,season_change,1,-3.423680456490716,False,-5.420827389443648,False,False,False
2331,精英,秋,short,2026-02-23,26.7,2026-02-24,28.15,new_high,1,-5.430711610486889,False,-5.056179775280891,False,False,False
2332,友訊,立夏,long,2026-01-14,17.05,2026-01-15,16.65,season_change,1,-2.3460410557184876,False,-8.79765395894428,False,False,False
2338,光罩,立夏,long,2026-02-25,44.75,2026-03-04,48.65,trailing_stop,7,8.715083798882677,False,0.0,False,False,False
2342,茂矽,立夏,long,2026-03-18,33.9,2026-03-23,31.0,ma20_break,5,-8.554572271386427,False,-10.029498525073741,False,False,False
2345,智邦,秋,short,2026-02-03,1185.0,2026-02-06,1190.0,new_high,3,-0.4219409282700421,False,-8.016877637130802,False,False,False
2351,順德,立夏,long,2026-03-17,93.8,2026-03-30,97.1,trailing_stop,13,3.5181236673773957,False,-6.503198294243065,False,False,False
2368,金像電,秋,short,2026-01-23,646.0,2026-01-26,666.0,new_high,3,-3.095975232198142,False,-2.0123839009287927,False,False,False
2379,瑞昱,立夏,long,2026-01-13,576.0,2026-01-14,532.0,season_change,1,-7.638888888888889,False,-8.854166666666668,False,False,False
2382,廣達,立夏,long,2026-04-08,307.5,2026-04-28,321.0,season_change,20,4.390243902439024,False,-4.5528455284552845,False,False,False
2392,正崴,立夏,long,2026-04-20,40.25,2026-04-21,39.8,season_change,1,-1.1180124223602554,False,-3.354037267080749,False,False,False
2417,圓剛,立夏,long,2026-04-07,37.6,2026-04-27,38.65,ma20_break,20,2.792553191489354,False,-4.7872340425532025,False,False,False
2417,圓剛,盛夏,long,2026-04-08,39.95,2026-04-27,38.65,ma20_break,19,-3.254067584480611,False,-6.132665832290369,False,False,False
2426,鼎元,立夏,long,2026-03-05,20.75,2026-03-09,25.05,season_change,4,20.722891566265066,False,-6.987951807228912,False,False,False
2426,鼎元,盛夏,long,2026-03-10,25.55,2026-03-19,34.7,trailing_stop,9,35.81213307240706,False,-3.1311154598825857,False,False,False
2433,互盛電,春,long,2026-05-12,45.5,2026-05-13,45.55,season_change,1,0.1098901098901036,False,-0.6593406593406531,False,False,False
2450,神腦,春,long,2026-05-12,29.75,2026-05-14,29.4,season_change,2,-1.176470588235299,False,-1.176470588235299,False,False,False
2451,創見,秋,short,2026-04-27,262.0,2026-04-28,261.5,season_change,1,0.1908396946564885,False,-4.3893129770992365,False,False,False
2601,益航,立夏,long,2026-03-03,5.98,2026-03-05,7.19,season_change,2,20.23411371237458,False,-9.364548494983286,False,False,False
2616,山隆,立夏,long,2026-03-02,14.95,2026-03-10,21.55,trailing_stop,8,44.14715719063546,False,-0.33444816053510995,False,False,False
2634,漢翔,立夏,long,2026-01-08,54.9,2026-01-09,53.1,season_change,1,-3.2786885245901587,False,-4.371584699453549,False,False,False
2727,王品,立夏,long,2026-03-06,228.0,2026-03-09,224.5,season_change,3,-1.5350877192982455,False,-1.9736842105263157,False,False,False
2734,易飛網,立夏,long,2026-02-05,19.5,2026-02-06,18.55,season_change,1,-4.871794871794869,False,-6.6666666666666705,False,False,False
2801,彰銀,立夏,long,2026-02-23,21.65,2026-03-02,20.9,season_change,7,-3.4642032332563515,False,-3.4642032332563515,False,False,False
2820,華票,春,long,2026-05-13,16.9,2026-05-14,16.75,season_change,1,-0.8875739644970331,False,-0.8875739644970331,False,False,False
2855,統一證,立夏,long,2026-01-08,26.8,2026-01-09,26.5,season_change,1,-1.1194029850746294,False,-4.664179104477611,False,False,False
2897,王道銀行,春,long,2026-05-13,10.15,2026-05-14,10.05,season_change,1,-0.985221674876844,False,-0.9852216748768439,False,False,False
3006,晶豪科,秋,short,2026-04-28,184.5,2026-04-30,169.5,season_change,2,8.130081300813007,False,-10.02710027100271,False,False,False
3023,信邦,立夏,long,2026-01-27,230.0,2026-03-04,221.5,ma20_break,36,-3.695652173913043,False,-7.173913043478261,False,False,False
3026,禾伸堂,立夏,long,2026-02-23,114.5,2026-03-04,105.5,ma20_break,9,-7.860262008733625,False,-9.170305676855897,False,False,False
3035,智原,立夏,long,2026-04-20,174.5,2026-04-28,176.5,season_change,8,1.146131805157593,False,-7.4498567335243555,False,False,False
3035,智原,盛夏,long,2026-04-21,180.0,2026-04-28,176.5,season_change,7,-1.9444444444444444,False,-8.333333333333332,False,False,False
3036,文曄,秋,short,2026-05-08,240.5,2026-05-11,264.5,new_high,3,-9.97920997920998,False,0.0,False,False,False
3059,華晶科,立夏,long,2026-04-24,38.5,2026-04-27,38.7,season_change,3,0.5194805194805269,False,-4.415584415584424,False,False,False
3062,建漢,立夏,long,2026-03-30,30.7,2026-04-09,30.8,season_change,10,0.3257328990228059,False,-7.1661237785016265,False,False,False
3062,建漢,盛夏,long,2026-03-31,29.65,2026-04-07,28.85,trailing_stop,7,-2.6981450252951,False,-3.541315345699822,False,False,False
3114,好德,春,long,2026-05-12,26.05,2026-05-14,27.15,season_change,2,4.222648752399224,False,-1.151631477927066,False,False,False
3122,笙泉,立夏,long,2026-04-23,30.0,2026-04-28,32.9,trailing_stop,5,9.666666666666664,False,-4.666666666666662,False,False,False
3122,笙泉,盛夏,long,2026-04-24,33.0,2026-04-28,32.9,trailing_stop,4,-0.3030303030303073,False,-5.9090909090909065,False,False,False
3138,耀登,秋,short,2026-03-27,184.5,2026-03-30,178.0,season_change,3,3.523035230352303,False,-6.775067750677506,False,False,False
3147,大綜,立夏,long,2026-04-23,184.0,2026-04-24,180.5,season_change,1,-1.9021739130434785,False,-4.619565217391304,False,False,False
3167,大量,秋,short,2026-01-09,220.5,2026-01-12,232.0,new_high,3,-5.215419501133787,False,-2.7210884353741496,False,False,False
3176,基亞,立夏,long,2026-04-27,35.05,2026-04-28,33.15,season_change,1,-5.420827389443648,False,-9.27246790299571,False,False,False
3228,金麗科,立夏,long,2026-01-26,144.0,2026-01-27,149.0,season_change,1,3.4722222222222223,False,-4.861111111111112,False,False,False
3234,光環,秋,short,2026-05-12,107.0,2026-05-13,101.0,season_change,1,5.607476635514018,False,-7.8504672897196315,False,False,False
3236,千如,秋,short,2026-04-28,30.65,2026-04-30,29.75,season_change,2,2.9363784665579074,False,-3.5889070146818858,False,False,False
3306,鼎天,立夏,long,2026-01-23,54.2,2026-01-26,51.8,season_change,3,-4.428044280442815,False,-8.948339483394836,False,False,False
3312,弘憶股,立夏,long,2026-01-02,38.3,2026-01-05,42.1,season_change,3,9.921671018276774,False,-8.355091383811999,False,False,False
3356,奇偶,立夏,long,2026-03-17,51.3,2026-03-24,49.75,season_change,7,-3.0214424951267005,False,-4.288499025341123,False,False,False
3362,先進光,立夏,long,2026-04-13,105.5,2026-04-14,112.0,season_change,1,6.161137440758294,False,-9.004739336492891,False,False,False
3363,上詮,秋,short,2026-01-20,415.0,2026-01-21,407.5,season_change,1,1.8072289156626504,False,-3.132530120481928,False,False,False
3374,精材,立夏,long,2026-04-16,184.5,2026-04-21,193.0,season_change,5,4.607046070460704,False,-4.878048780487805,False,False,False
3380,明泰,立夏,long,2026-01-14,34.8,2026-01-30,33.0,ma20_break,16,-5.17241379310344,False,-7.3275862068965445,False,False,False
3437,榮創,立夏,long,2026-01-07,15.45,2026-01-08,15.45,season_change,1,0.0,False,-7.1197411003236235,False,False,False
3437,榮創,立夏,long,2026-03-12,17.65,2026-03-19,24.75,season_change,7,40.22662889518415,False,-10.481586402266279,False,False,False
3443,創意,秋,short,2025-12-26,2115.0,2025-12-29,2055.0,season_change,3,2.8368794326241136,False,-3.309692671394799,False,False,False
3450,聯鈞,立夏,long,2026-02-24,280.0,2026-03-04,301.0,trailing_stop,8,7.5,False,-5.357142857142857,False,False,False
3466,德晉,立夏,long,2026-04-14,38.8,2026-04-21,43.7,season_change,7,12.62886597938146,False,-4.123711340206171,False,False,False
3481,群創,秋,short,2026-02-11,21.95,2026-02-23,23.35,new_high,12,-6.378132118451036,False,-2.9612756264236837,False,False,False
3498,陽程,立夏,long,2026-01-08,55.6,2026-01-09,53.7,season_change,1,-3.417266187050357,False,-8.633093525179863,True,False,True
3529,力旺,立夏,long,2026-01-27,1795.0,2026-01-29,1905.0,season_change,2,6.128133704735376,False,-9.192200557103064,False,False,False
3555,博士旺,秋,short,2026-01-23,84.8,2026-01-26,86.8,new_high,3,-2.358490566037736,False,-6.014150943396221,False,False,False
3591,艾笛森,立夏,long,2026-01-15,20.4,2026-01-16,21.2,season_change,1,3.921568627450984,False,-9.313725490196072,False,False,False
3594,磐儀,立夏,long,2026-01-29,40.35,2026-01-30,41.5,season_change,1,2.850061957868646,False,-10.0371747211896,False,False,False
3594,磐儀,立夏,long,2026-04-10,44.95,2026-04-13,45.0,season_change,3,0.1112347052280248,False,-6.117908787541713,False,False,False
3605,宏致,立夏,long,2026-04-08,66.6,2026-04-09,64.5,season_change,1,-3.153153153153146,False,-4.804804804804799,False,False,False
3622,洋華,立夏,long,2026-01-09,68.4,2026-01-12,67.7,season_change,3,-1.0233918128655013,False,-5.701754385964921,False,False,False
3663,鑫科,秋,short,2026-04-22,77.4,2026-04-23,71.4,season_change,1,7.751937984496124,False,-9.948320413436695,False,False,False
3675,德微,秋,short,2026-04-21,213.0,2026-04-22,234.0,new_high,1,-9.859154929577464,False,-5.633802816901409,False,False,False
3679,新至陞,春,long,2026-05-13,118.5,2026-05-14,117.5,season_change,1,-0.8438818565400843,False,-0.8438818565400843,False,False,False
3708,上緯投控,立夏,long,2026-03-11,130.0,2026-03-18,124.0,season_change,7,-4.615384615384616,False,-5.384615384615385,False,False,False
3711,日月光投控,秋,short,2026-03-25,352.0,2026-03-26,359.0,new_high,1,-1.9886363636363635,False,-1.4204545454545454,False,False,False
4106,雃博,立夏,long,2026-05-13,23.35,2026-05-14,22.9,season_change,1,-1.9271948608137168,False,-4.71092077087795,False,False,False
4306,炎洲,春,long,2026-05-12,13.15,2026-05-14,13.05,season_change,2,-0.7604562737642558,False,-0.7604562737642558,False,False,False
4523,永彰,春,long,2026-05-13,29.45,2026-05-14,29.0,season_change,1,-1.5280135823429517,False,-2.037351443123932,False,False,False
